date,Python,"Advanced Computing",Programmierung,Rechensysteme,Verschlüsselung,"Cloud Computing"
2015-05-28,50,0,0,0,0,30
2015-05-28,50,0,0,0,0,31
2015-05-29,54,0,0,0,0,32
2015-05-30,54,0,0,0,0,31
2015-05-31,55,0,0,0,0,31
2015-06-01,60,0,0,0,0,31
2015-06-02,59,0,0,0,0,31
2015-06-03,58,0,0,0,0,32
2015-06-04,56,0,0,0,0,34
2015-06-05,59,0,0,0,0,36
2015-06-06,58,0,0,0,0,36
2015-06-07,58,0,0,0,0,36
2015-06-08,58,0,0,0,0,36
2015-06-09,59,0,0,0,0,38
2015-06-10,60,0,0,0,0,43
2015-06-11,57,0,0,0,0,47
2015-06-12,48,0,0,0,0,47
2015-06-13,48,0,0,0,0,47
2015-06-14,48,0,0,0,0,47
2015-06-15,51,0,0,0,0,47
2015-06-16,53,0,0,0,0,46
2015-06-17,52,0,0,0,0,45
2015-06-18,60,0,0,0,0,48
2015-06-19,59,0,0,0,0,44
2015-06-20,57,0,0,0,0,42
2015-06-21,56,0,0,0,0,42
2015-06-22,58,0,0,0,0,46
2015-06-23,55,0,0,0,0,47
2015-06-24,57,0,0,0,0,47
2015-06-25,59,0,0,0,0,48
2015-06-26,64,0,0,0,0,52
