date,Siemens,"Powerserv Austria GmbH","ePunkt Internet Recruiting GmbH.","Engineering &amp; Competence Center","ISG International Service Group","APS Austria Personal Service GmbH &amp; Co.","See More","Trenkwalder Austria"
2015-05-28,6,8,6,14,8,7,5,5
2015-05-28,6,8,6,14,8,7,5,5
2015-05-29,6,9,5,14,8,7,5,
2015-05-30,6,10,6,15,8,7,6,
2015-05-31,6,10,6,14,8,7,6,
2015-06-01,6,10,7,11,8,7,6,
2015-06-02,6,10,7,11,8,7,6,
2015-06-03,7,10,8,10,9,7,7,
2015-06-04,7,7,7,9,9,7,7,
2015-06-05,7,7,7,9,9,7,7,
2015-06-06,7,7,7,8,9,7,7,
2015-06-07,7,7,8,8,9,7,7,
2015-06-08,7,7,8,8,9,7,7,
2015-06-09,7,7,8,8,9,7,7,
2015-06-10,7,5,8,8,9,7,5,
2015-06-11,7,5,8,8,9,7,5,
2015-06-12,7,5,8,8,9,7,5,
2015-06-13,7,5,8,8,9,7,5,
2015-06-14,7,5,8,8,9,7,5,
2015-06-15,8,7,8,8,8,7,7,
2015-06-16,8,7,8,8,8,7,7,
2015-06-17,8,8,8,10,8,7,7,
2015-06-18,8,8,8,10,9,7,7,
2015-06-19,8,8,8,10,9,7,7,
2015-06-20,8,,9,9,9,7,,
2015-06-21,8,,9,9,9,7,,
2015-06-22,8,,9,8,7,7,,
2015-06-23,10,,9,10,7,8,,
2015-06-24,10,,9,10,7,8,,
2015-06-25,9,5,9,10,7,8,5,
2015-06-26,9,9,9,10,7,8,7,
2015-06-27,9,9,9,9,8,8,8,
2015-06-28,9,9,9,9,8,8,8,
2015-06-29,9,9,9,9,8,8,8,
