date,"Advantage Consulting, s.r.o.","JOB LEADER CZECH s.r.o.","Jobs Contact","Kariéra s r.o.","European Active Projects Ltd. s.r.o.","OKIN BPS","ManMark Czech Republic s.r.o.","Personal Fabric- Agentura Prace, a.s.",Honeywell,"PREDVYBER.CZ s. r. o.","PEOPLE CONSULTING LIMITED","FONTES H, spol. s r.o.","People Consulting s.r.o.","See More","PROFI-MEN, s.r.o., personálně poradenská a vzdělávací společnost","DEKRA kvalifikace a poradenství s.r.o.","Grafton Recruitment"
2015-06-03,,,,,,,,,,,,,,,,,5
2015-06-04,,,,,,,,,,,,,,,,,5
2015-06-05,,,,,,,,,,,,,,,,,5
2015-06-06,,,,,,,,,,,,,,,,,5
2015-06-07,,,,,,,,,,,,,,,,,5
2015-06-08,,,,,,,,,,,,,,,,,5
2015-06-09,,,,,,,,,,,,,,,,,5
2015-06-10,,,,,,,,,,,,,,,,,5
2015-06-11,,,,,,,,,,,,,,,,,5
2015-06-12,,,,,,,,,,,,,,,,,5
2015-06-13,,,,,,,,,,,,,,,,,5
2015-06-14,,,,,,,,,,,,,,,,,5
2015-06-15,,,,,,,,,,,,,,,,,5
2015-06-16,,,,,,,,,,,,,,,,,5
2015-06-26,90,20,,,,,,,,,,,,,,,
2015-06-27,135,26,28,11,11,,,12,5,,,,,5,,5,
2015-06-28,155,34,35,12,11,7,6,19,5,,,8,8,5,8,5,
2015-06-29,156,34,35,12,11,10,6,19,7,,,8,8,5,8,5,
2015-06-30,164,35,38,12,11,10,6,12,6,7,5,6,8,5,8,,
2015-07-01,150,35,33,12,11,10,9,9,6,6,6,6,5,5,,,
