date,Deloitte,"Sopra Steria","Confidential Company - Undisclosed",Thales,"EADS Defence &amp; Security",SPIE
2015-05-27,7,,23,,,
2015-05-27,7,,23,,,
2015-05-28,7,,23,,,
2015-05-28,7,,23,,,
2015-05-29,7,,25,,,
2015-05-30,7,,27,,,
2015-05-31,7,,25,,,
2015-06-01,7,,21,,,
2015-06-02,7,,21,,,
2015-06-03,7,,,,,
2015-06-04,7,,,5,,
2015-06-05,7,,23,5,,
2015-06-06,7,,22,6,,
2015-06-07,7,,21,5,,
2015-06-08,7,,,5,,
2015-06-09,7,,22,,,
2015-06-10,7,,24,5,,
2015-06-11,7,,24,5,,
2015-06-12,7,,,7,,
2015-06-13,7,,22,7,,
2015-06-14,7,,,7,,
2015-06-15,7,,16,7,,
2015-06-16,7,,,7,,
2015-06-17,7,,21,8,,6
2015-06-18,7,,21,7,,6
2015-06-19,7,,,7,,
2015-06-20,7,,,7,,
2015-06-21,7,,14,7,,6
2015-06-22,7,,14,7,,6
2015-06-23,7,,15,6,,6
2015-06-25,6,5,,6,,
2015-06-26,6,,17,,,
2015-06-27,6,,,,,
2015-06-28,6,,19,5,5,
2015-06-29,7,5,,,,
