date,"Amazon UK",Amazon,Telefonica,VMware,"Provide Group Europe",VCE,FICO,"Zest 2 Recruitment",Salesforce,"Rackspace, the #1 managed cloud company","Seagate Technology","QA Apprenticeships","Alternative Networks plc","SHI International Corp.",Dell,"See More","JM Digital","Skyscape Cloud Services",EMC,Cisco,"Salesforce.com Germany GmbH","Xpat Jobs.com",CareerBuilder.com,Cloudreach,"techfolk Ltd","Tata Communications",IBM
2015-03-11,21,,144,33,24,33,24,,11,17,,,13,9,9,9,14,16,,,,,,24,,11,
2015-03-12,21,,157,35,27,31,22,,10,17,,,13,,9,9,14,13,,,,,,24,,10,10
2015-03-16,19,9,152,33,28,31,24,,12,10,,,16,10,9,9,,11,,,,,,24,12,,
2015-03-18,19,10,151,33,33,29,25,,12,10,,,17,12,9,9,,,,,,,,24,16,10,
2015-03-18,19,10,154,33,35,32,25,,12,10,,,17,12,9,9,,,,,,,,24,16,10,
2015-03-19,21,11,161,34,31,32,25,,13,17,,,17,14,11,11,,,,,,,,24,13,11,
2015-03-20,21,11,161,33,33,31,25,11,12,17,,,17,12,11,11,,,,,,,,24,13,,
2015-03-21,21,11,162,33,33,31,25,11,12,17,,,17,12,11,11,,,,,,,,24,13,,
2015-03-22,21,11,162,33,33,31,25,11,12,17,,,17,12,11,11,,,,,,,,24,13,,
2015-03-23,23,12,162,34,40,33,25,11,15,15,,,17,12,,11,,11,,,,,,24,13,,
2015-03-24,23,12,151,28,37,32,25,,14,15,11,,17,14,11,11,,,,,,,,24,13,,
2015-03-25,23,13,151,32,35,30,27,,14,15,11,,17,13,13,11,,,,,,,,24,13,,
2015-03-26,23,13,144,41,38,30,27,,13,15,,,16,15,13,11,,,11,,,,,24,18,,
2015-03-27,22,13,144,38,34,31,28,,12,15,11,13,16,13,,11,,,,,,,,23,18,,
2015-03-28,23,13,138,39,34,30,28,,13,15,,13,16,13,12,12,,,,,,,,24,17,,
2015-03-29,23,13,139,44,35,30,28,,13,15,,13,16,13,12,12,,,,,,,,24,17,,
2015-03-30,22,,134,44,37,30,28,,15,15,,13,16,13,12,12,,,12,,,,,24,17,,
2015-03-31,21,,131,36,32,30,28,,15,15,11,13,17,10,14,10,,,,,,,,22,17,,
2015-04-01,24,12,128,41,28,20,29,,14,15,,13,17,,11,11,,,12,,,,,21,16,,
2015-04-02,22,,130,41,29,23,26,12,14,13,11,13,17,,12,11,,,,,,,,19,17,,
2015-04-03,23,12,130,43,32,21,28,13,12,13,,13,17,13,,12,,,,,,,,20,16,,
2015-04-04,22,12,126,39,30,22,28,13,12,13,,13,17,13,,12,,,,,,,,19,16,,
2015-04-05,22,12,124,44,23,21,28,13,12,13,,13,17,13,11,11,,,,,,,,20,,,
2015-04-06,22,12,123,43,23,19,28,,11,13,11,13,17,11,11,11,,,,,,,,20,,,
2015-04-07,22,12,123,40,22,21,28,,,13,11,14,17,11,11,9,,,9,,,,,20,,,
2015-04-08,22,12,133,50,36,21,28,20,,13,,14,14,11,10,10,,,10,,,,,20,,,
2015-04-09,23,14,128,46,35,19,30,20,11,13,,14,14,13,,11,,,11,,,,,20,,,
2015-04-10,23,13,128,45,35,19,30,20,13,13,,14,14,11,,11,,,11,,,,,19,,,
2015-04-11,23,13,125,42,37,18,31,21,13,13,,13,14,11,,11,11,,,,,,,19,,,
2015-04-12,23,13,128,46,37,18,31,21,13,13,,13,14,11,,11,11,,,,,,,19,,,
