date,"QA Apprenticeships","Medidata Solutions","Confidential Company - Undisclosed","Language Recruitment Services Limited - LRSUK.com","Amazon UK",Hays,"IC Resources",Sky,"Do-it Trust","NHS Institute for Innovation and Improvement",TalentSpa,IBM,Google,ARM,Worldpay,"See More","NCR Corporation",Amazon,Thales,Microsoft,Cisco,"Thomson Reuters","Experis IT",Cognizant,MBDA,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,Monster,TipTopJob,"Job Heaven",Jobs.co.uk,Deloitte,"Page Personnel - UK","2M Employment Solutions Limited",upsell,Incite,"Go IT Recruitment Limited","Coal IT Services","Edgar Cowen","DCS Recruitment Limited","JPMorgan Chase &amp; Co.","Language Recruitment Services Limited",Symantec,"Baltic Training Services","QA Ltd"
2015-03-11,35,30,,,18,,,12,,,9,,9,10,,6,,17,,6,,,8,10,,,,,,,,,,,,,,,,,,8,23,30,,,7
2015-03-12,35,33,,,18,10,,12,,,11,,9,10,,8,,14,,,,,8,10,,,,,,,,,,8,,,,,,,,8,24,29,,,
2015-03-16,35,31,,,20,12,,14,,,14,,9,16,,8,,19,,,,,10,9,,,,,,,,,,8,,,,,,,,8,27,30,,,
2015-03-18,35,34,,,20,20,,14,,,15,,9,16,,9,,20,9,,,,12,9,,9,,,,,,,,,,,,,,,,,28,30,,,
2015-03-18,35,34,,,20,20,,14,,,15,,9,16,,9,,18,9,,,,12,9,,9,,,,,,,,,,,,,,,,,28,30,,,
2015-03-19,35,33,,,19,15,,14,,,16,,9,15,,9,,20,9,,,,,9,,11,,,,,,,,,,,,,,,,,26,29,,9,
2015-03-20,35,33,,,20,17,,15,,,16,,9,15,,9,,19,9,,,,,9,,11,,,,,,,,,,,,9,,,,,26,29,,,
2015-03-21,35,33,,,20,17,,15,,,16,,9,15,,9,,19,9,,,,,9,,11,,,,,,,,,,,,9,,,,,26,29,,,
2015-03-22,35,33,,,20,17,,15,,,16,,9,15,,9,,19,9,,,,,9,,11,,,,,,,,,,,,9,,,,,26,29,,,
2015-03-23,35,33,,,23,18,,15,,,16,,9,16,,9,,17,9,,,,,9,,,,,,,,,,,,,,9,,,,,26,29,,9,
2015-03-24,37,34,,,23,15,,15,,,17,,9,15,,8,,19,8,,,,8,9,,,,,,,,,,8,,,,,,,,,25,29,,,
2015-03-25,37,26,,,24,18,,15,,,19,,8,15,,8,,18,8,,,,,9,,,,,,,,,,8,,,,10,,,,,26,29,,,
2015-03-26,37,27,,,22,16,,17,,,18,,8,15,,8,,17,8,,,,,9,,,,,,,,,,8,,,,9,,,,,28,26,,,
2015-03-27,37,27,,,21,15,,17,,,18,,8,15,,8,,19,,,,,9,10,,,,,,,,,,8,,,,9,,,,,27,26,,,
2015-03-28,37,27,,,22,15,,17,,,18,,8,15,,8,,19,,,,,9,10,,,,,,,,,,8,,,,9,,,,,28,26,,,
2015-03-29,37,27,,,23,15,,17,,,16,,,15,,8,,19,,,,,9,10,,,,,,,,,,8,,,,9,,,,,28,24,8,,
2015-03-30,37,27,,,22,12,,17,,,16,,,15,,8,,20,,,,,9,10,,,,,,,,,,8,,,,9,,,,,28,27,8,,
2015-03-31,38,26,,,21,14,,17,,,11,,,14,,8,,17,9,,,,9,12,,,,,,,,,,8,,,,9,,,,,27,23,,,
2015-04-01,38,31,,10,21,15,,17,,,14,,8,15,,8,,18,10,,,,,12,,,,,23,,,,,8,,,,9,,,,,,,,,
2015-04-02,38,32,,26,22,15,,17,,,12,,9,16,,8,,11,,,,,9,11,8,,,,21,,,,,8,,,,,,,,,,,,,
2015-04-03,38,31,,27,22,13,,17,,,12,,10,16,,8,,9,,,,,9,11,9,,,,28,,,,,8,,,,,,,,,,,,,
2015-04-04,38,31,,25,22,13,,17,,,12,,10,16,,8,,9,,,,,10,11,9,,,,28,,,,,8,,,,,,,,,,,,,
2015-04-05,39,31,,27,22,13,,17,,,12,,10,16,,9,,9,,,,,9,11,9,,,,28,,,,,,,,,9,,,,,,,,,
2015-04-06,37,31,,27,22,14,,19,,,12,,10,16,,7,,12,,,,,,,9,,,,28,,,,,,,7,,9,,,,7,,,,,
2015-04-07,39,31,,28,23,13,,19,,,11,,9,16,,9,,12,,,,,,11,9,,,,27,,,,,,,,,9,,9,,,,,,,
2015-04-08,39,31,,25,23,13,,19,,,12,,9,16,,9,,11,,,,,,11,,,,,28,,,,,,,,,9,,11,10,,,,,,
2015-04-09,39,30,,23,23,16,,18,,,11,,9,15,,8,,9,,,,,,11,,,,,26,,,,,8,,,,9,10,,,,,,,,
2015-04-10,39,30,,23,23,18,,17,,,11,,9,14,,8,,11,,,,,,11,,,,,26,,,,,8,,,,9,10,,,,,,,,
2015-04-11,39,31,,,23,18,,18,,,10,,9,14,,8,,11,,,,,8,11,9,,,,,,,,,8,9,,,9,,,,,,,,,
2015-04-12,39,31,,,23,17,,18,,,10,,9,14,,8,,11,,,,,8,11,9,,,,,,,,,8,9,,,9,,,,,,,,,
2015-04-13,39,31,,,23,18,,18,8,,10,,9,14,,8,,10,,,,,,11,9,,,,,,,,,8,9,,,9,,,,,,,,,
2015-04-14,39,31,,19,21,17,,18,,,,,9,11,,8,,8,,,,,,11,10,,,,,,,,,8,9,8,8,,,,,,,,,,
2015-04-15,39,31,,18,21,21,,19,9,,,,9,14,,8,,9,,,,,10,11,10,,,,,,,,,8,9,,,,,,,,,,,,
2015-04-16,39,31,,28,20,16,,17,8,,,,9,15,,8,,8,,8,,,9,11,10,,,,,,,,,8,,,,,,,,,,,,,
2015-04-17,39,31,,,20,15,,16,9,,,,9,15,,8,,9,,8,,,9,11,10,,116,,,,,,,8,,,,,,,,,,,,,
2015-04-18,40,32,,29,20,15,,14,,,14,,,15,,13,,,,,,,,,,765,107,41,24,17,,13,13,,,,,,,,,,,,,,
2015-04-19,40,32,,29,20,15,,14,,,14,,,15,,14,,,,,,,,,,1312,125,33,27,17,16,14,,,,,,,,,,,,,,,
2015-04-20,40,32,,,20,12,,14,,,12,,,15,,12,,,,,,,,,,1227,131,39,27,17,15,14,12,,,,,,,,,,,,,,
2015-04-21,42,33,,29,20,15,,14,11,,13,,9,14,11,9,9,,,9,,,,11,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,42,35,,,20,18,,14,12,,11,,9,14,11,8,8,11,,10,,,,10,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,42,33,,29,19,15,,12,11,,11,,,12,11,10,,10,,10,10,,,11,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,41,33,,29,18,17,,14,11,,13,,,12,12,9,,11,,9,10,,,10,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-25,42,33,,,17,16,,14,11,,13,,9,12,12,9,,11,,9,10,,,10,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-26,42,33,,28,18,15,,14,11,,13,,,12,12,9,,11,,9,10,,,10,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,42,33,,29,18,21,,14,12,,13,9,9,12,11,9,,,,,9,,,10,10,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,42,33,,27,17,21,,15,12,,14,9,9,12,11,9,,9,,9,,,9,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,43,34,,27,17,21,,15,12,,16,9,9,12,12,8,,10,,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,43,32,,,19,20,,15,12,,16,8,9,12,12,8,,9,,9,11,8,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,43,32,,23,19,21,,15,12,,16,,10,12,12,9,9,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-02,43,32,,28,19,20,,14,12,,16,,10,12,12,9,9,9,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-03,43,33,,14,17,20,,12,12,,16,,9,12,12,9,9,9,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,43,33,21,29,18,16,,,12,,,,9,12,12,9,9,10,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,43,33,21,30,17,16,,9,12,,,,9,12,12,9,9,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,43,30,22,,16,17,,15,13,,11,10,10,11,11,9,9,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,44,30,21,29,17,22,,15,13,,11,10,10,11,11,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
