date,ARM,Hays,Google,Sky,Sainsbury&#39;s,"Bloomberg LP","Morgan Stanley","Goldman Sachs","Rackspace, the #1 managed cloud company",Facebook,"JPMorgan Chase &amp; Co.",Alcatel-Lucent,"Expedia, Inc.",Xcede,Sophos,"See More","IC Resources","Confidential Company - Undisclosed","NJF Global Holdings Ltd","Amazon UK",Amazon,"Bank of America",Framestore,Oracle,Turnitin,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai",Dell,Thales,"BAE Systems Applied Intelligence","Opus Recruitment Solutions",Microsoft,"Softweb LLC",Symantec,"Dell SecureWorks","Experis IT","Go IT Recruitment Limited",CGI,"Pro-Quest Resourcing Ltd","microTECH global","Edgar Cowen","Pro Quest",Cisco,Citi,mployability,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,TipTopJob,"Job Heaven","Credit Suisse",MOO,Incite,"techfolk Ltd","Skyscape Cloud Services",Markit,Deloitte,"Opus Resourcing Ltd"
2015-03-11,30,10,31,23,,14,,,,10,39,,,,,10,,,,16,13,,,,,,14,,,,,,,,,,10,13,,,,,,,,,,,,,,,,12,12,,,15
2015-03-12,30,,33,23,,14,,,,10,38,,,,,9,,,,14,,9,13,,,,14,,,,,,,,,,10,16,,,,,,,,,,,,,,,,10,10,,,15
2015-03-16,51,13,31,22,,14,,,,9,46,,,,,9,,,,16,18,15,14,,,,15,,,,,,,,9,,10,,,,,,,,,,,,,,,,,15,,,,
2015-03-18,56,15,30,22,,14,,,,,47,,,,,10,,,,16,17,18,13,,,,15,10,,,,,,,,,11,,,,,,,,,,,,,,,,,18,,,,12
2015-03-18,56,15,30,22,,14,,,,,47,,,,,10,,,,16,12,18,12,,,,14,10,,,,,,,,,11,,,,,,,,,,,,,,,,,18,,,,12
2015-03-19,55,12,32,23,,14,,,,,48,,,,,9,,,,18,16,18,12,,,,14,9,,,9,,,,,,11,,,,,,,,,,,,,,,,,15,,,,
2015-03-20,55,10,32,23,,14,,,,9,48,,,,,9,,,,18,16,18,12,,,,14,9,,,,,,,,,11,,,,,,,,,,,,,,,,,15,,,,
2015-03-21,55,10,32,23,,14,,,,,48,,,,,9,,,,17,15,18,12,,,,14,9,,,,,,,,,11,,,,,13,,,,,,,,,,,,15,,,,
2015-03-22,55,10,32,23,,14,,,,,48,,,,,9,,,,17,15,18,12,,,,14,9,,,,,,,,,11,,,,,13,,,,,,,,,,,,15,,,,
2015-03-23,53,10,31,23,,14,,,,,49,,,,,10,,,,17,10,18,12,,,,15,,,,,,,,,,11,,,,,12,,,,,,,,,,,,15,10,,,
2015-03-24,53,11,31,22,,14,,,,,47,,,,,11,,,,17,12,18,13,,,,15,,,,,,,,,,11,,,,,13,,,,,,,,,,,,15,,,,16
2015-03-25,53,9,30,22,,14,,,,,48,,,,,9,,,,16,12,18,13,,,,14,,,,,,,,,,10,,,,,,,,,,,,,,,,,15,10,,,16
2015-03-26,53,9,29,20,,14,,,,,51,,,,,9,,,,16,13,18,13,,,,16,,,,,,,,,,10,,,,,9,,,,,,,,,,,,21,10,,,
2015-03-27,50,,29,21,,13,,,,,48,,,,,7,,,,16,,14,13,,,,15,8,,,,,,,,,10,,,,,9,,,,,,,,,,,9,21,,,7,
2015-03-28,55,9,29,21,,14,,,,,51,,,,,9,,,,16,13,14,13,,,,14,,,,,,,,,,9,,,,,,,,,,,,,,,,9,17,10,,,
2015-03-29,55,9,29,21,,14,,,,,51,,,,,9,,,,16,13,15,13,,,,14,,,,,,,,,,9,,,,,9,,,,,,,,,,,,17,10,,,
2015-03-30,54,10,29,22,,15,,,,,51,,,,,9,,,,17,15,15,13,,,,14,,,,,,,,,,,,,,,9,,,,,,,,,,,9,17,10,,,
2015-03-31,62,10,27,21,,15,,,,,50,,,,,9,,,,16,11,15,13,,,,15,,,,,,,,,,10,,,,,9,,,,,,,,,,,,17,10,,,
2015-04-01,59,9,28,20,9,15,,,,,,,10,,,9,,,,16,11,15,13,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,10,,,
2015-04-02,54,,29,19,,16,,,,,,,,,,8,,,,14,10,14,13,,,,13,,,,,,,,8,,,,,,,10,,,,,,,,,,8,,18,10,8,,
2015-04-03,53,,32,20,,15,,,8,,,,11,,,6,,,,14,,16,13,,,,13,,,,8,,,,6,,,,,,,9,,,,,,,,,,8,,16,,,,
2015-04-04,53,,32,20,,15,,,9,,,,11,,,8,,,,14,,15,13,,,,13,,,,8,,,,9,,,,,,,11,,,,,,,,,,8,,16,,,,
2015-04-05,58,10,32,20,9,15,,,9,,,,11,,,9,,,,15,9,15,13,,,,13,,,,,,,,10,,,,,,,10,,,,,,,,,,,,,,,,
2015-04-06,58,10,32,21,9,15,,,9,,,,11,,,9,,,,15,14,15,13,,,,13,,,,,,,,10,,,,,,,11,,,,,,,,,,,,,,,,
