date,"Computer Futures",Cisco,"Amazon UK",Dell,"Intel Corporation",IBM,Microsoft,Google,"Volunteer Ireland","See More",Amazon,"DIGIT Game Studios",Gilt.com,Ammeon
2015-05-28,,,6,10,5,5,,7,7,5,5,,,5
2015-05-29,,,6,12,5,6,6,6,7,5,5,,,5
2015-05-30,,,6,14,5,6,6,6,7,5,5,5,,5
2015-05-31,,,6,14,5,6,6,6,7,5,5,5,,
2015-06-01,,,7,12,5,6,6,7,7,5,5,5,,
2015-06-02,,,7,12,5,5,5,7,7,5,5,5,,
2015-06-03,,,7,12,,5,,7,7,5,5,5,,
2015-06-04,,,7,10,,5,5,7,7,5,5,5,,
2015-06-05,,,7,11,,5,5,6,7,5,5,5,,
2015-06-06,,,8,11,,5,5,6,7,5,5,5,,
2015-06-07,,,7,11,,5,5,6,7,5,5,5,,
2015-06-08,,,7,11,,,5,5,6,5,5,5,,
2015-06-09,,,6,11,,,5,5,6,5,5,5,,
2015-06-10,,6,7,11,,,6,5,6,5,6,5,,
2015-06-11,,6,7,12,,,6,5,6,5,6,5,,
2015-06-12,,6,5,12,,6,6,5,6,5,6,5,5,
2015-06-13,,7,,12,,6,6,5,6,5,6,5,,
2015-06-14,,7,6,12,,6,6,5,6,5,6,5,,
2015-06-15,,8,6,11,,6,6,5,6,5,6,5,5,
2015-06-16,,8,6,15,,6,5,5,6,5,6,5,5,
2015-06-17,,8,5,13,,6,6,5,6,5,6,5,5,
2015-06-18,,8,6,13,,7,5,6,6,5,6,5,5,
2015-06-19,,8,8,14,,7,,6,6,5,6,5,5,
2015-06-20,,8,8,14,,7,,6,6,5,6,5,5,
2015-06-21,,8,8,14,,7,,6,6,5,6,5,5,
2015-06-22,,8,8,14,,6,,6,6,5,6,5,5,
2015-06-23,,7,9,12,,6,,6,6,5,6,5,5,
2015-06-24,,7,9,11,,6,,,6,5,6,5,5,
2015-06-25,,8,8,10,5,6,,6,6,5,6,5,5,
2015-06-26,,8,8,10,5,6,,6,6,5,6,5,,
2015-06-27,,8,8,10,5,6,,6,6,5,6,,,
2015-06-28,,8,7,10,5,6,,6,6,5,6,,,
2015-06-29,,8,10,8,5,5,5,6,5,5,6,,,
2015-06-30,12,8,10,7,6,5,5,6,5,5,6,,,
2015-07-01,12,8,10,7,6,5,5,6,5,5,7,,,
2015-07-02,12,8,8,7,6,5,5,5,5,5,,,,
