date,IBM,"Amazon UK","Intel Corporation",Amazon,Workday,Dell,Groupon,"Volunteer Ireland",Google,"Rational Group","DIGIT Game Studios",AOL,Oracle,EMC,Tyco,"See More",PADDYPOWER,"Groupon EMEA",Qualcomm,SAP,"GemPool Recruitment","Novartis Consumer Health",Hays
2015-05-28,17,26,21,19,21,23,9,11,11,15,,,,,9,5,6,6,,,,10,5
2015-05-29,18,28,21,21,20,26,9,11,11,13,,,,,7,6,6,6,6,,,10,
2015-05-30,18,28,22,21,19,30,9,11,11,13,8,,,,7,6,6,,6,,,8,
2015-05-31,18,28,21,21,19,30,9,11,11,13,8,,,,7,6,,6,6,,,8,
2015-06-01,18,27,20,21,19,26,9,11,11,11,8,,,,7,6,,6,6,,,8,
2015-06-02,19,27,19,20,19,26,9,11,11,6,8,,,,7,6,,7,6,,,8,
2015-06-03,19,28,20,20,19,26,10,11,11,,8,,,,7,6,,7,6,,6,9,
2015-06-04,21,28,20,20,19,23,10,11,11,,8,,,,7,6,,7,6,,6,9,
2015-06-05,21,28,21,20,19,21,10,11,11,,8,,,,7,6,,7,6,,6,6,
2015-06-06,22,28,21,20,19,21,10,11,11,6,8,,,,7,6,,7,6,,6,,
2015-06-07,22,27,21,20,19,21,10,11,11,,8,,,,7,6,,7,6,6,6,,
2015-06-08,22,27,20,20,19,21,10,11,11,7,8,,,,7,6,,7,6,6,,,
2015-06-09,22,26,21,19,19,17,10,11,11,,8,,,,7,6,6,7,6,7,,,
2015-06-10,22,25,23,19,19,14,10,11,11,,8,8,,,7,6,6,,6,7,,,
2015-06-11,23,24,23,19,19,12,10,11,11,,8,9,,,7,6,6,,6,6,,,
2015-06-12,23,22,23,18,20,12,10,11,11,,8,8,,,7,6,6,6,6,,,,
2015-06-13,23,19,22,18,20,12,10,11,11,,8,8,6,,7,6,6,,6,,,,
2015-06-14,24,21,22,18,20,12,10,11,11,,8,8,,,7,6,6,6,6,,,,
2015-06-15,24,22,23,18,20,11,10,11,11,,8,8,,,7,6,6,7,6,,,,
2015-06-16,24,22,23,17,20,17,10,11,11,6,8,7,,,7,6,6,7,,,,,
2015-06-17,25,23,23,17,20,15,10,11,11,,8,7,,,7,6,6,6,7,,,,
2015-06-18,24,23,22,17,19,16,10,11,12,8,8,7,,,7,6,6,,7,,,,
2015-06-19,23,24,21,17,19,16,10,11,12,8,8,7,6,,6,6,,,6,,,,
2015-06-20,22,23,21,17,19,16,10,11,12,8,8,7,,,6,6,6,,6,,,,
2015-06-21,22,22,21,17,19,16,10,11,12,8,8,7,,,6,6,6,,6,,,,
2015-06-22,22,22,21,17,19,16,10,11,12,8,8,7,,,6,6,6,6,,,,,
2015-06-23,22,22,21,17,19,13,11,11,12,9,8,7,6,6,6,6,,,,,,,
2015-06-24,24,22,20,17,17,12,11,11,9,9,8,7,6,6,6,6,,,,,,,
