date,RUPEAL,"AFFINITY Portugal","REDITUS SA","Randstad Technologies","PRIMEIT CONSULTING SA","iCreate Consulting","Bee Engineering Portugal","BOLD International","Bee Engineering","Vertente Humana",Novabase,"Gfi Portugal",agap2,"B.ON Engineering","Aubay Italia S.p.A.","See More","Smart Consulting - Delivering IT",Sogea-Satom,Glintt,"KCS iT Project Management",AdQuam,"agap2 IT","KCS iT","Milestone Consulting"
2015-05-28,,5,5,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,5,,,,,,,,,,,,,,,,,,,,,,5
2015-05-30,,,,,,,,,,,,,,,,,,,,,,,,5
2015-06-02,47,35,11,50,25,,18,,19,13,,9,,,,9,13,20,,10,11,12,10,
2015-06-03,49,37,17,49,26,,24,,19,14,,,10,,,10,13,20,,12,11,12,10,
2015-06-04,59,37,19,51,28,,24,,23,20,12,,12,,,12,16,20,,13,12,12,,
2015-06-05,140,91,68,56,58,27,40,30,25,27,28,23,22,29,,22,,,,22,,,,
2015-06-06,135,89,61,55,54,26,35,29,24,25,27,22,21,27,20,20,,,,,,,,
2015-06-07,138,89,57,52,53,26,39,30,24,24,27,23,21,27,,21,,,,21,,,,
2015-06-08,137,89,57,52,52,28,39,30,23,23,27,24,21,27,,21,,,,21,,,,
2015-06-09,121,78,60,53,47,31,36,27,20,23,26,20,21,27,,20,,20,,,,,,
2015-06-10,100,72,60,53,48,29,38,25,,24,22,20,21,29,,20,,20,20,,,,,
2015-06-11,94,67,51,50,45,30,36,25,,21,22,19,19,25,,17,,20,17,,,,,
2015-06-12,131,80,57,50,52,40,36,31,27,21,27,21,,25,21,21,21,,,,,,,
2015-06-13,124,81,56,56,50,37,34,30,27,27,27,22,20,25,22,20,,,,,,,,
2015-06-14,130,83,63,56,54,41,34,29,26,25,24,23,21,21,20,20,,,,,,,,
