date,Munich,"Frankfurt Am Main",Berlin,Stuttgart,Cologne,Hamburg,Erfurt,"See More",Leipzig,Bielefeld,Hannover,Karlsruhe,Mannheim
2015-05-27,80,63,16,18,44,14,,5,10,45,29,,5
2015-05-27,80,64,20,18,41,14,,5,10,44,28,,5
2015-05-28,79,66,20,18,41,14,,5,10,44,28,,5
2015-05-28,79,66,20,18,42,14,,5,10,44,28,,5
2015-05-29,78,66,18,21,38,13,,5,10,44,28,,5
2015-05-30,78,64,19,22,38,15,,10,10,34,31,,
2015-05-31,75,64,19,22,38,15,,10,10,34,31,,
2015-06-01,77,68,19,21,39,,,10,10,,,,
2015-06-02,75,64,15,20,33,15,,10,10,34,32,,
2015-06-03,84,66,19,22,37,,,10,10,,,,
2015-06-04,82,63,19,21,33,16,,10,10,39,28,,
2015-06-05,85,65,19,22,32,,,10,10,,,,
2015-06-06,83,63,20,22,29,16,,5,8,40,27,,5
2015-06-07,82,65,20,21,27,15,,10,10,38,24,,
2015-06-08,82,64,20,21,28,16,,9,9,38,25,,
2015-06-09,85,66,19,23,31,,5,5,9,,,,
2015-06-10,82,62,18,20,31,16,,9,9,39,30,,
2015-06-11,93,62,18,21,30,,,9,9,,,,
2015-06-12,98,63,20,21,30,,,9,9,,,,
2015-06-13,98,62,20,21,29,17,5,5,9,37,29,,5
2015-06-14,97,61,19,20,29,16,5,5,10,38,31,,5
2015-06-15,97,61,19,20,28,17,5,5,11,38,30,,5
2015-06-16,98,61,18,20,27,18,5,5,11,39,30,,
2015-06-17,99,64,17,20,28,18,,11,11,,,,
2015-06-18,94,65,17,19,23,18,5,5,11,41,21,,
2015-06-19,96,68,18,19,26,17,,11,11,,,,
2015-06-20,97,66,23,20,24,17,,11,11,,,,
2015-06-21,91,63,24,19,24,18,5,5,10,42,23,5,
2015-06-22,98,66,24,21,27,17,,11,11,,,,
2015-06-23,95,65,24,23,29,16,,11,11,,,,
2015-06-24,97,67,26,21,29,16,,11,11,,,,
2015-06-25,92,64,25,19,27,17,,17,,,,,
2015-06-26,86,61,26,25,27,17,5,5,10,43,23,5,
2015-06-27,89,62,25,27,29,17,,10,10,,,,
2015-06-28,91,62,26,27,29,17,,10,10,,,,
2015-06-29,92,62,27,30,29,16,,10,10,,,,
2015-06-30,89,61,27,29,29,15,,7,7,,,,
2015-07-01,90,57,29,26,29,14,,6,6,,,,
2015-07-02,89,56,30,26,29,14,,14,,,,,
2015-07-03,89,56,30,28,31,16,6,6,,,,,
2015-07-04,90,57,29,28,26,16,6,6,,,,,
2015-07-05,89,59,31,27,26,17,6,6,,,,,
2015-07-06,88,61,32,28,26,17,7,7,,,,,
