date,Munich,Stuttgart,Cologne,"Frankfurt Am Main",Berlin,Hamburg,Nürnberg,Leipzig,Bielefeld,Braunschweig,Hannover,Dresden,Mannheim,Regensburg,"See More",Freiburg,Dortmund
2015-05-27,356,279,210,182,152,110,92,59,72,59,61,61,72,,49,49,
2015-05-27,352,283,208,176,148,109,88,53,66,52,58,60,66,,46,46,
2015-05-28,351,279,200,170,145,108,75,51,65,51,58,57,66,,46,46,
2015-05-28,349,276,200,168,144,107,75,51,65,51,59,57,66,,46,46,
2015-05-29,371,322,218,187,158,115,82,52,65,64,59,62,70,,52,53,
2015-05-30,386,336,210,189,156,108,89,52,68,56,57,60,63,,48,48,
2015-05-31,392,337,205,191,161,112,101,54,73,71,61,56,61,,50,50,
2015-06-01,386,331,206,186,168,118,91,58,78,69,61,50,59,,50,,51
2015-06-02,371,325,194,178,167,111,91,58,72,65,61,,59,,48,49,48
2015-06-03,416,351,255,189,174,138,116,91,87,79,69,69,76,,56,,56
2015-06-04,425,378,258,224,156,138,120,94,88,72,71,72,76,67,67,,
2015-06-05,415,384,251,204,126,132,122,92,78,71,66,71,76,62,62,,
2015-06-06,422,390,260,209,138,138,127,93,81,78,74,72,76,,64,64,
2015-06-07,408,385,247,202,125,129,122,88,77,75,76,71,70,,63,63,
2015-06-08,405,376,245,208,127,122,121,86,79,78,76,71,68,64,64,,
