date,Berlin,Munich,Stuttgart,"Frankfurt Am Main",Hamburg,Cologne,"Kreisfreie Stadt Aachen",Mannheim,Ulm,Hannover,Nürnberg,Regensburg,Bielefeld,Dresden,"See More","Austria area",Braunschweig,Konstanz,Leipzig
2015-05-27,123,116,48,52,38,41,22,12,23,6,10,,5,13,5,,7,,
2015-05-27,118,111,50,49,37,41,22,11,23,5,10,,5,13,5,,6,,
2015-05-28,116,111,52,48,40,42,22,11,24,5,9,,5,13,5,,6,,
2015-05-28,115,111,52,48,40,42,22,11,24,5,9,,5,13,5,,6,,
2015-05-29,118,121,62,49,37,42,22,12,23,6,7,,5,13,5,,9,,
2015-05-30,121,119,64,51,36,42,22,10,24,7,8,,6,13,6,,7,,
2015-05-31,118,117,65,53,39,42,22,12,24,6,8,,6,12,6,,7,,
2015-06-01,120,117,65,52,41,41,21,12,24,,7,,6,12,6,,7,,
2015-06-02,125,119,67,52,42,45,20,12,24,,7,,6,10,6,,7,,
2015-06-03,137,132,67,51,44,52,15,12,23,,8,,,11,8,,,,
2015-06-04,135,121,73,52,44,47,23,12,24,,10,8,,10,7,,,7,9
2015-06-05,145,122,79,52,43,46,22,9,19,8,12,,,10,8,,,8,9
2015-06-06,149,120,81,54,43,46,21,13,18,,12,8,,10,8,,,8,9
2015-06-07,139,124,80,54,41,47,21,11,16,,13,8,,9,8,,,8,9
2015-06-08,149,129,82,56,40,55,17,,17,7,,,,9,7,,,,
2015-06-09,149,126,81,54,37,48,22,11,14,7,15,9,,8,7,,,8,
2015-06-10,148,123,82,54,40,56,,10,15,,11,,,8,7,,7,,
2015-06-11,159,126,88,54,43,53,,11,14,,14,,,8,7,,7,,
2015-06-12,151,122,84,51,38,47,22,12,19,9,13,10,,8,8,,,9,
2015-06-13,153,125,85,54,39,45,24,9,19,8,15,10,,8,8,,,9,
2015-06-14,152,124,82,53,37,44,23,7,20,7,14,10,,8,7,,,9,
2015-06-15,149,127,81,53,39,44,23,7,20,9,16,10,,8,7,,,9,
2015-06-16,152,132,84,53,45,51,,7,18,9,16,,,8,5,,5,,
2015-06-17,148,133,81,52,43,44,23,8,18,9,15,10,,9,8,,,9,
2015-06-18,150,128,79,52,45,44,23,8,16,9,17,10,,9,8,,,8,
2015-06-19,159,136,78,54,50,50,,7,,,18,,,9,7,,,9,
2015-06-20,156,133,74,52,44,39,23,,15,9,16,9,7,9,7,,,8,
2015-06-21,157,133,74,50,44,40,21,10,15,8,16,9,,9,8,,,8,
2015-06-22,160,141,79,50,50,47,,12,14,,16,,,,8,,,8,
2015-06-23,157,135,72,50,40,35,20,11,13,,15,10,7,8,7,,7,,
2015-06-24,163,132,67,49,38,33,20,11,15,11,15,10,7,8,7,,,,
2015-06-25,165,134,67,50,40,39,,,14,,15,,,,5,5,,,
2015-06-26,159,133,70,48,38,38,22,11,13,10,14,10,8,8,8,,,,
2015-06-27,156,134,73,47,39,39,,10,13,,14,,,,10,,,,
2015-06-28,159,133,75,48,39,40,,11,13,,14,,,,11,,,,
2015-06-29,157,127,74,48,40,36,17,12,12,11,11,10,9,8,8,,,,
