date,Copenhagen,"Central Region"
2015-05-28,13,9
2015-05-29,14,9
2015-05-30,14,8
2015-05-31,12,8
2015-06-01,11,8
2015-06-02,11,7
2015-06-03,12,8
2015-06-04,12,7
2015-06-05,12,7
2015-06-06,13,7
2015-06-07,13,6
2015-06-08,14,6
2015-06-09,15,6
2015-06-10,15,6
2015-06-11,13,6
2015-06-12,15,6
2015-06-13,15,6
2015-06-14,15,6
2015-06-16,16,6
2015-06-17,15,6
2015-06-18,15,7
2015-06-19,15,8
2015-06-20,13,8
2015-06-21,13,5
2015-06-22,13,5
2015-06-23,13,5
2015-06-24,14,
2015-06-25,12,
2015-06-26,11,
2015-06-27,12,
2015-06-28,12,
