date,London,Twickenham,Reading,Cambridge,"Milton Keynes",Edinburgh,Southall,Slough,Manchester,Guildford,"Hemel Hempstead","See More",Bristol,Portsmouth,Leeds,"Kingston upon Thames",Oxford,Sheffield,Glasgow,Belfast,Inverness,Birmingham,Llandudno,Shrewsbury,Dumfries,"Outer Hebrides",Harrogate,Redhill,Gloucester,"Newcastle upon Tyne","St Albans"
2015-03-11,251,,52,29,24,17,18,44,16,38,,9,13,,10,,,,,9,,15,,,,,,,,,19
2015-03-12,250,,52,28,25,18,18,46,17,40,,9,14,,9,,,,,,,14,,,,,,12,,,19
2015-03-16,268,,43,30,22,16,,52,16,41,,11,17,11,,,,,,11,,17,,,,,,11,,,11
2015-03-18,262,,44,29,27,16,,55,16,40,,11,15,11,,,,,,11,,16,,,,,,11,,,13
2015-03-18,263,,43,28,27,16,,56,16,40,,11,15,11,,,,,,11,,16,,,,,,12,,,13
2015-03-19,274,,42,28,26,19,18,58,17,41,,11,17,,,,,,,11,,13,,,,,,13,,,14
2015-03-20,272,,42,30,24,19,18,59,17,40,,11,16,,,,,,,11,,13,,,,,,15,,,13
2015-03-21,271,,41,30,24,19,18,60,17,40,,11,16,,,,,,,11,,13,,,,,,15,,,13
2015-03-22,268,,40,31,24,19,18,60,17,40,,11,16,,,,,,,11,,13,,,,,,15,,,13
2015-03-23,270,12,41,33,24,19,16,62,18,41,,12,16,,,,,,,,,13,,,,,,22,,,13
2015-03-24,277,14,44,32,25,20,16,59,18,36,,13,14,13,,,,,,,,13,,,,,,22,,,
2015-03-25,272,16,43,30,24,20,16,59,18,39,,12,,14,,,,,,,,14,,,,,,20,,,12
2015-03-26,283,16,43,36,25,20,16,53,19,41,,14,15,,,,,,,,,15,,,,,,19,,,14
2015-03-27,287,16,40,37,23,17,16,56,20,38,,11,15,14,,,,,,11,,16,,,,,,,,,
2015-03-28,283,15,43,36,26,17,16,57,19,40,,13,15,14,,,,,,,,16,,,,,,,,,13
2015-03-29,282,16,42,39,26,17,16,57,20,41,,13,15,14,,,,,,,,16,,,,,,,,,13
2015-03-30,286,18,40,39,27,17,16,51,20,42,,13,15,14,,,,,,,,16,,,,,,,,,13
2015-03-31,280,16,42,33,24,15,16,53,20,42,,11,15,14,,,,,,11,,16,,,,,,,,,
2015-04-01,263,16,41,38,29,17,16,51,15,41,,12,15,12,,,,,,,,16,,,,,,,,,13
2015-04-02,269,16,40,35,29,15,14,49,15,45,,12,14,12,,,,,,,,17,,,,,,,,,14
2015-04-03,275,16,37,35,30,16,14,50,19,46,,13,15,,13,,,,,,,16,,,,,,,,,14
2015-04-04,271,16,37,33,30,14,14,48,20,46,,14,15,,,,,,,,,17,,,,,,14,,,14
2015-04-05,276,16,36,35,28,15,14,45,18,46,,12,12,12,,,,,,,,15,,,,,,14,,,
2015-04-06,268,16,36,36,26,15,14,43,18,46,,12,13,12,,,,,,,,15,,,,,,,,,12
2015-04-07,264,15,37,34,25,14,14,44,17,46,,12,17,12,,,,,,,,15,,,,,,13,,,
2015-04-08,259,17,37,39,31,15,14,45,17,51,,14,21,14,,,,,,,,15,,,,,,31,,,
2015-04-09,253,17,36,37,30,15,14,45,17,47,,14,19,14,,,,,,,,14,,,,,,33,,,
2015-04-10,253,18,35,38,28,14,14,44,17,46,,13,18,13,,,,,,,,14,,,,,,33,,,
2015-04-11,256,18,33,34,28,14,14,45,14,49,,13,18,13,,,,,,,,17,,,,,,35,,,
2015-04-12,253,18,31,36,28,14,14,47,14,49,,12,17,12,,,,,,,,17,,,,,,35,,,
2015-04-13,252,18,32,36,28,16,14,48,15,53,,13,17,13,,,,,,,,18,,,,,,35,,,
2015-04-14,263,,30,49,28,24,,41,23,51,,21,23,21,,,,,,39,32,27,,,,,,25,,,
2015-04-15,255,,31,50,28,,,41,23,51,,20,24,21,,,,,,39,32,27,,20,,,,29,,,
2015-04-16,249,,32,49,27,,,42,24,52,,20,23,22,,,,,,39,32,28,,20,,,,28,,,
2015-04-17,271,,32,47,27,20,,40,25,51,,20,22,23,,,,,,39,32,27,,,,,,26,,,
2015-04-18,302,,42,53,22,21,,38,26,51,,20,24,22,,,,,,39,32,27,,,,,,20,,,
2015-04-19,312,,42,57,23,21,,39,26,54,,20,21,22,,,,,,40,32,29,,20,,,,,,,
2015-04-20,319,,41,61,23,20,,39,26,56,,20,21,23,,,,,,40,33,28,,20,,,,,,,
2015-04-21,253,,33,46,25,,17,37,24,53,,17,19,23,,,,,,36,29,23,,17,,,,,,,
2015-04-22,258,,34,45,23,,17,37,22,52,,17,19,25,,,,,,36,29,23,,17,,,,,,,
2015-04-23,259,,36,45,23,17,,37,20,51,,17,21,23,,,,,,40,33,24,,19,,,,,,,
2015-04-24,267,,36,45,24,,19,38,19,52,,19,21,23,,,,,,40,33,26,,19,,,,,,,
2015-04-25,267,,33,44,29,,18,40,19,51,,18,22,23,,,,,,41,33,26,,19,,,,,,,
2015-04-26,265,,31,40,29,,18,40,18,51,,17,22,22,,,,,,37,29,25,,17,,,,,,,
2015-04-27,267,,32,43,26,16,,40,18,51,,16,22,22,,,,,,37,29,25,,17,,,,,,,
2015-04-28,267,17,34,44,23,,,37,18,51,,17,22,21,,,,,,35,29,24,,18,,,,,,,
2015-04-29,269,,35,49,29,,,41,17,51,,17,22,20,,,,,,34,29,23,,18,,,,17,,,
2015-04-30,271,,35,50,24,,,33,17,53,,17,22,23,,,,,,34,29,23,,18,,,,17,,,
2015-05-01,266,,38,49,21,17,18,40,17,51,,17,23,25,,,,,,35,29,23,,,,,,,,,
2015-05-02,258,,39,48,23,16,17,42,,54,,16,24,23,17,,,,,31,25,22,,,,,,,,,
2015-05-03,255,,40,48,25,,17,40,,55,,16,22,20,16,,,,,27,21,20,,,,,,23,,,
2015-05-04,260,,39,46,26,,16,38,,48,,15,26,20,15,,,,,27,21,20,,,,,,27,,,
2015-05-05,259,,39,46,25,,16,38,,45,,15,27,20,15,,,,,27,20,19,,,,,,25,,,
2015-05-06,260,16,39,45,29,,16,38,,47,,16,27,20,,,,,,27,20,19,,,,,,25,,,
2015-05-07,260,,41,43,29,16,16,37,,49,,16,26,20,,,,,,27,20,19,,,,,,26,,,
2015-05-08,258,,40,44,28,17,16,41,,44,,16,24,20,,,,,,29,20,17,,,,,,24,,,
2015-05-09,260,,37,45,28,17,15,45,,45,,15,23,20,,,,,,29,20,15,,,,,,26,,,
2015-05-10,261,,36,48,28,17,15,45,,49,,14,23,18,,,,,,29,20,14,,,,,,26,,,
2015-05-11,259,,38,52,28,17,14,45,,49,,13,23,18,,,,,,29,20,13,,,,,,25,,,
2015-05-12,284,,37,54,29,17,16,45,,51,,15,23,17,15,,,,,29,20,,,,,,,21,,,
2015-05-13,273,,39,53,30,17,16,46,,50,,15,25,15,16,,,,,29,20,,,,,,,24,,,
2015-05-14,273,,37,47,26,,17,43,,52,,15,26,15,15,,,,,26,20,15,,,,,,19,,,
2015-05-15,273,16,36,45,24,,16,44,,53,,15,27,15,,,,,,26,20,15,,,,,,17,,,
