date,London,Cambridge,Reading,Twickenham,Edinburgh,Manchester,Birmingham,Nottingham,Guildford,Leeds,"Kingston upon Thames","Milton Keynes",York,"See More",Slough,Bristol,Brighton,Oxford,Belfast,Redhill,Northampton,Chelmsford,Southampton,Stockport,Stevenage,Glasgow,"Hemel Hempstead",Coventry,Swindon
2015-03-11,507,55,44,21,25,27,15,,17,20,,,,15,18,20,,28,,,,,,,,16,,,16
2015-03-12,514,50,52,22,26,27,15,,15,19,,,,15,16,25,,31,,,,,,,,16,,,15
2015-03-16,524,62,50,21,25,26,,16,22,23,,19,,16,18,25,,34,,,,,,,,21,,,
2015-03-18,544,57,55,25,29,26,17,,19,23,16,,,16,18,24,,35,,,,,,,,21,,,
2015-03-18,548,56,56,24,29,26,17,,21,24,17,,,17,17,24,,35,,,,,,,,21,,,
2015-03-19,541,59,55,22,28,24,,,21,25,17,,,17,17,27,,40,,18,,,,,,20,,,
2015-03-20,537,61,52,22,29,25,17,,20,26,,,,17,18,24,,41,,17,,,,,,20,,,
2015-03-21,533,61,51,22,29,25,17,,20,25,,,,17,19,24,,41,,17,,,,,,20,,,
2015-03-22,530,61,51,22,28,25,17,,20,25,,,,17,18,24,,40,,17,,,,,,20,,,
2015-03-23,534,58,53,23,28,27,17,,17,23,16,,,16,19,21,,38,,,,,,,,19,,,
2015-03-24,525,57,48,23,27,33,15,,19,26,,16,,15,22,21,,35,,,,,,,,18,,,
2015-03-25,519,54,48,23,26,30,15,,17,25,,16,,15,22,20,,39,,,,,,,,20,,,
2015-03-26,520,55,50,25,29,28,17,,19,26,,,,17,18,18,,38,,,,,,,,20,,17,
2015-03-27,518,58,51,25,30,28,17,,21,26,16,,,16,,21,,34,,,,,,,,19,,17,
2015-03-28,508,58,50,26,30,27,,,21,26,,18,,17,,21,17,34,,,,,,,,20,,17,
2015-03-29,507,57,54,26,30,29,17,,23,24,,18,,17,,21,17,34,,,,,,,,21,,,
2015-03-30,504,57,55,26,29,29,17,,21,24,,20,,17,,22,,30,,,,,,,,20,,18,
2015-03-31,510,54,51,26,28,28,17,,21,26,17,,,17,,22,,32,,,,,,,,20,,18,
2015-04-01,487,61,51,28,28,28,24,,16,23,22,,,16,18,22,,31,,,,,,,,,,26,
2015-04-02,492,67,51,26,25,33,24,,,22,23,,,17,18,22,,26,,,17,,,,,,,22,
2015-04-03,484,66,49,25,23,35,23,,,21,24,,,18,19,20,,23,,,18,,,,,,,20,
2015-04-04,478,66,47,25,20,33,24,,,19,24,,,18,20,21,,23,,,18,,,,,,,20,
2015-04-05,476,66,50,24,21,33,25,,,21,24,,,19,22,21,,26,,,19,,,,,,,19,
2015-04-06,483,71,48,24,21,34,24,,,21,23,,,19,22,20,,28,,,19,,,,,,,21,
2015-04-07,468,75,50,25,21,35,22,,22,20,22,,,20,24,23,,27,,,,,,,,,,22,
2015-04-08,472,84,52,30,,35,26,25,28,,32,,,24,24,24,,24,,27,,,,,,,,24,
2015-04-09,448,75,50,30,,34,25,26,31,23,30,24,,23,23,,,24,,25,,,,,,,,,
2015-04-10,452,76,50,33,,32,25,26,31,,28,24,,22,23,,,24,,26,,,,,,,,22,
2015-04-11,440,69,46,35,,30,20,25,34,22,27,,,20,25,25,,23,,27,,,,,,,,,
2015-04-12,436,71,46,35,,29,20,25,34,21,27,,,20,25,25,,23,,27,,,,,,,,,
2015-04-13,440,70,46,35,,31,21,23,35,21,28,,,21,26,27,,22,,28,,,,,,,,,
2015-04-14,451,71,46,34,19,31,20,24,30,23,23,,,19,26,22,,,,30,,,,,,,,,
2015-04-15,461,72,45,35,20,31,20,22,31,21,21,,,20,28,23,,,,32,,,,,,,,,
2015-04-16,472,70,45,37,22,30,21,22,33,,21,,,21,29,24,,23,,29,,,,,,,,,
2015-04-17,496,73,50,36,23,37,29,23,36,22,,,,22,33,25,,24,,32,,,,,,,,,
2015-04-18,755,99,77,44,37,63,47,41,63,,,,,37,47,37,,46,,68,,,,,,,,41,
2015-04-19,886,93,92,47,,78,65,59,77,49,,,,47,63,51,,80,,70,53,,,,,,,,
2015-04-20,853,94,88,,46,76,65,56,76,53,,,,46,63,54,,73,,64,48,,,,,,,,
2015-04-21,479,65,45,36,25,36,23,21,33,,,,,19,27,23,,,,27,22,,,,,,19,,
2015-04-22,458,70,46,34,26,34,22,21,33,,,,,19,26,22,,,,28,22,,,,,,19,,
2015-04-23,484,67,50,34,25,35,19,19,33,,,,,17,26,23,,,,27,20,,,,,,17,,
2015-04-24,493,67,46,34,24,35,19,,33,,,,,17,23,25,17,,,28,20,,,,,,18,,
2015-04-25,466,69,47,35,23,36,19,,34,,,,,17,25,24,,,,25,19,,,,,,18,17,
2015-04-26,492,67,44,35,23,36,19,18,32,,,,,18,25,25,,,,25,19,,,,,,18,,
2015-04-27,498,66,45,34,23,36,18,19,32,,,,,18,24,25,,,,26,,,,,,19,,18,
2015-04-28,503,67,44,35,26,36,19,18,30,,,,,18,24,26,,,,27,18,,,,,,,18,
2015-04-29,512,71,41,38,26,35,20,19,29,,,,,17,23,26,,,,27,19,,,,,,,17,
2015-04-30,485,69,39,40,28,37,20,21,30,,,,,18,23,25,,19,,27,18,,,,,,,,
2015-05-01,495,69,35,36,28,34,19,19,31,,,,,18,22,27,,18,,28,18,,,,,,,,
2015-05-02,496,72,38,36,26,35,19,20,30,,,,,17,21,28,,,,24,18,,,,,,17,,
2015-05-03,481,73,38,33,25,34,21,22,23,,20,,,19,23,28,,,,19,20,,,,,,,,
2015-05-04,503,72,33,34,25,33,22,21,21,,19,,,19,23,29,,,,,19,,,,,,19,,
