date,London,Cambridge,Manchester,Reading,Birmingham,Bristol,Nottingham,Guildford,Redhill,Coventry,Glasgow,Sheffield,Southall,"Kingston upon Thames","See More",Edinburgh,Belfast,Oxford,Leeds,"Newcastle upon Tyne",Twickenham,Southampton,Brighton,Northampton,Watford,Slough,Bath,"Milton Keynes"
2015-03-11,1180,145,65,93,53,57,,49,38,45,55,,,,36,66,48,39,36,,,,,,,,,
2015-03-12,1193,143,66,96,55,61,,52,37,43,52,,,,36,69,53,45,36,,,,,,,,,
2015-03-16,1244,182,68,100,53,57,,54,44,55,51,,,,39,68,41,63,39,,,,,,,,,
2015-03-18,1246,182,69,105,50,59,,49,44,46,55,,40,,40,74,41,64,,,,,,,,,,
2015-03-18,1252,182,72,103,51,59,,49,44,46,55,,40,,40,74,41,64,,,,,,,,,,
2015-03-19,1269,187,72,97,51,58,,46,45,46,51,,39,,39,79,44,76,,,,,,,,,,
2015-03-20,1281,186,72,101,52,60,,46,48,44,52,,41,,41,77,42,78,,,,,,,,,,
2015-03-21,1271,185,72,104,53,60,,46,48,44,52,,39,,39,77,42,79,,,,,,,,,,
2015-03-22,1265,187,72,104,53,60,,46,48,44,52,,39,,39,77,41,77,,,,,,,,,,
2015-03-23,1283,179,70,99,53,58,,43,47,42,51,,,,39,82,43,77,,,,,,,,39,,
2015-03-24,1267,181,66,98,52,56,,47,49,38,49,,,,37,79,,72,37,,,,,,,41,,
2015-03-25,1249,181,66,92,53,51,,49,50,,45,,,,36,79,,74,,,37,,36,,,41,,
2015-03-26,1233,193,63,90,58,49,,49,47,42,52,,,,38,76,,84,,,38,,42,,,,,
2015-03-27,1261,187,70,95,61,49,,54,49,44,53,,,,40,83,,83,,,40,,43,,,,,
2015-03-28,1228,191,68,97,61,51,,54,49,44,53,,,,40,83,,73,,,40,,43,,,,,
2015-03-29,1224,191,68,99,63,50,,54,49,44,54,,,,41,83,,66,,,41,,42,,,,,
2015-03-30,1222,186,72,105,63,51,,51,49,45,52,,,,42,81,,63,,,,,42,,,,,42
2015-03-31,1238,189,70,96,60,52,,50,48,44,53,,,,41,81,,56,,,,,41,,,,,42
2015-04-01,1214,190,78,104,70,54,,51,51,59,,,,,44,84,,59,,,,,44,,,44,,47
2015-04-02,1200,195,78,108,63,57,,51,50,55,,,,,43,86,,57,,,,,46,,,43,,49
2015-04-03,1196,186,83,109,67,53,,51,52,59,,,,,43,87,,59,,,,,46,,,43,,50
2015-04-04,1216,192,80,118,66,55,,53,52,62,,,,,44,85,,60,,,,,49,,,44,,50
2015-04-05,1171,184,81,116,66,55,,55,52,56,,,,,39,87,,63,39,,,,,,,43,,51
2015-04-06,1180,196,78,117,64,56,,54,52,61,,,,,45,86,,63,,,,,45,,,45,,53
2015-04-07,1171,206,75,112,67,63,,70,62,58,,,,,46,84,,66,,,,,46,,,46,,55
2015-04-08,1188,222,79,115,73,79,,80,91,63,,,,,48,85,,67,,,,,,48,,48,,76
2015-04-09,1184,212,76,112,74,73,,77,92,60,,,,,46,77,,67,,,,,46,,,48,,73
2015-04-10,1177,220,75,112,73,70,,76,92,61,,,,,46,77,,66,,,,,46,,,49,,74
2015-04-11,1167,209,71,103,61,65,,75,85,42,,,,,42,80,,64,,,,,47,,,44,,66
2015-04-12,1161,208,72,101,61,64,43,74,85,,,,,,43,81,,64,,,,,46,,,44,,66
2015-04-13,1162,208,72,103,61,66,,74,84,42,,,,,42,79,,61,,,,,46,,,46,,68
2015-04-14,1137,224,72,100,63,65,46,74,90,,,,,,45,72,,57,,,,,45,,,46,,70
2015-04-15,1143,227,72,97,67,68,,78,92,45,,,,,45,67,,60,,,,,45,,,47,,69
2015-04-16,1145,229,73,101,76,62,,75,81,48,,,47,,47,72,,57,,,,,,,,48,,64
2015-04-17,1205,229,87,113,79,68,54,90,82,48,,,,,47,74,,64,,,,,,,,47,,73
2015-04-18,1492,273,129,147,126,93,70,104,123,95,,,,,70,86,,105,72,,,,,,,,,97
2015-04-19,1739,307,153,186,156,122,85,131,133,108,,,,,85,91,,127,103,,,,,,,,,110
2015-04-20,1766,301,154,181,148,116,,127,131,104,,,,,81,87,,109,100,,,,81,,,,,102
2015-04-21,1176,216,74,107,68,51,47,62,54,44,,,,,44,67,,49,,,44,,,,,,,50
2015-04-22,1177,212,75,98,66,51,45,64,55,,,,,,43,68,43,48,,,44,,,,,,,47
2015-04-23,1175,209,78,101,66,52,44,60,59,,,,,,41,73,42,45,,,,,,,,41,,47
2015-04-24,1188,203,76,98,68,51,44,58,61,,,,46,,42,77,42,44,,,,,,,,,,48
2015-04-25,1194,206,81,95,67,50,46,58,63,,,,46,,42,73,42,42,,,,,,,,,,45
2015-04-26,1181,203,81,91,68,49,49,57,64,,,,47,,42,75,42,,,,42,,,,,,,45
2015-04-27,1192,205,82,93,66,48,50,57,64,,,,47,,41,77,41,,,,42,,,,,,,46
2015-04-28,1196,207,81,96,66,47,54,61,60,,,,47,,43,77,44,43,,,,,,,,,,45
2015-04-29,1213,209,80,90,67,45,53,57,58,,,,46,,44,78,47,44,,,,,,,,,,46
2015-04-30,1214,211,79,90,66,49,54,59,58,,,,44,,44,78,47,47,,,,,,,,,,46
2015-05-01,1225,214,78,85,65,50,54,58,59,,,,45,,45,78,49,48,,,,,,,,,,51
2015-05-02,1202,215,78,83,68,51,55,57,62,,,,45,,45,80,47,47,,,,,,,,,,53
2015-05-03,1197,211,72,81,66,52,50,60,76,,,,,53,46,76,46,,,,52,,,,,,,60
2015-05-04,1212,224,70,80,67,52,48,63,83,,,,,54,47,81,47,,,,51,,,,,,,57
2015-05-05,1214,224,70,76,64,60,45,67,85,,,,,54,45,83,47,,,,52,,,,,,,61
2015-05-06,1221,221,69,78,66,59,,63,82,,,,47,,46,84,46,46,,,51,,,,,,,71
