date,London,Cambridge,Edinburgh,Reading,Bristol,Twickenham,Guildford,Gloucester,"Newcastle upon Tyne",Manchester,Watford,Nottingham,Sheffield,"See More",Belfast,Redhill,Exeter,Glasgow,Southall,Leeds,Cardiff,Slough,Oxford,"Kingston upon Thames",Birmingham,Coventry,Brighton,Southampton
2015-03-11,510,97,21,42,26,10,18,,,14,,,10,10,20,,,19,11,11,,,17,,,,,
2015-03-12,538,91,22,40,27,,18,,,14,,,10,9,19,,,21,,11,,9,25,,,10,,
2015-03-16,565,121,21,39,31,11,20,,,15,,,11,10,15,,,22,,,,10,22,,,10,,
2015-03-18,588,129,21,39,31,,16,,,13,,,12,10,17,,,22,12,,,,23,,,10,,11
2015-03-18,589,126,21,39,31,,16,,,13,,,12,11,17,,,23,12,11,,,23,,,,,11
2015-03-19,592,130,21,43,29,12,16,,,13,,,11,11,16,,,24,13,12,,,26,,,,,
2015-03-20,593,130,23,45,30,13,17,,,13,,,11,11,14,,,24,13,14,,,28,,,,,
2015-03-21,590,129,23,48,30,12,17,,,13,,,,12,14,,,24,13,14,,,27,,,,,12
2015-03-22,587,130,23,47,30,12,17,,,13,,,,12,13,,,24,13,14,,,27,,,,,12
2015-03-23,590,121,23,49,28,,17,,,13,,,11,11,13,,,24,16,13,,,27,,,,,12
2015-03-24,609,121,22,46,24,,18,,,13,,,11,10,,,,25,15,12,,,26,,,,10,11
2015-03-25,608,121,22,44,20,,20,,,13,,,11,11,11,,,24,13,12,,,27,,,,,12
2015-03-26,580,126,22,44,22,,19,,,13,,,11,10,11,,,28,16,,,,30,,,,10,13
2015-03-27,589,117,21,46,22,,19,10,,,,,,5,11,,,28,13,,5,,30,,,,,12
2015-03-28,575,126,21,45,22,,19,,,11,,,11,9,11,,,28,15,,,,29,,,,9,14
2015-03-29,578,127,21,44,23,,20,,,11,,,11,9,11,,,28,15,,,,29,,,,9,13
2015-03-30,577,124,22,47,21,,19,,,11,,,11,9,11,,,27,14,,,,29,,,,9,13
2015-03-31,575,124,23,47,22,,18,,,11,,,12,9,13,,,28,14,,,,28,,,,9,11
2015-04-01,546,120,25,45,22,,18,,,14,,,12,9,12,,9,9,14,,,,28,,,,9,
2015-04-02,539,112,26,45,22,9,15,,,14,,,11,9,12,,,10,12,10,,,24,,,,,
2015-04-03,544,107,25,42,21,,13,,,16,,,9,9,12,,9,9,12,11,,,23,,,,,
2015-04-04,547,110,23,41,21,10,13,,,16,,,,9,12,,9,9,13,11,,,22,,,,,
2015-04-05,549,121,23,39,20,10,15,,,11,,,9,9,13,,9,,14,9,,,25,,,,,
2015-04-06,549,128,22,38,21,10,16,,,11,,,9,9,13,,9,,14,11,,,25,,,,,
2015-04-07,542,142,22,39,26,11,17,,,11,,,,9,13,9,9,,14,11,,,25,,,,,
2015-04-08,551,154,22,41,27,14,22,,,11,,,,10,11,,10,,16,11,,,26,,10,,,
2015-04-09,549,144,20,43,24,12,21,,,,,,,10,10,10,10,,16,11,,,25,,10,,,
2015-04-10,553,153,22,40,23,11,19,,,,,,,10,10,10,10,,16,11,,,25,,10,,,
2015-04-11,549,148,25,41,20,13,20,,,,,,,9,10,10,10,,16,11,,,26,,9,,,
2015-04-12,544,149,25,41,19,13,20,,,,,,,9,10,10,10,,16,10,,,26,,9,,,
2015-04-13,542,146,23,42,19,14,20,,,,,,,9,10,10,10,,16,10,,,27,,9,,,
2015-04-14,542,158,24,42,24,16,18,,,,,11,,10,12,13,,,20,,,,19,,11,10,,
2015-04-15,550,166,23,41,26,14,16,,,,,11,,11,13,14,,,20,,,,21,,11,11,,
2015-04-16,552,165,23,41,23,15,15,,,,,,,11,15,12,,,22,,11,,24,,12,12,,
2015-04-17,589,167,27,45,26,17,17,,,,,12,,12,16,13,,,22,,,,27,,13,12,,
2015-04-18,748,202,34,68,25,,27,16,,,,,,15,16,,,16,23,23,,,51,,17,,15,
2015-04-19,845,212,34,75,34,,32,21,,,,17,,17,19,,,17,23,27,,,69,,18,,,
2015-04-20,850,211,35,76,33,16,34,21,,16,,,,16,20,,,,24,24,,,62,,17,,,
2015-04-21,556,157,23,49,17,16,16,,,10,,,,9,17,,,10,18,,9,,20,,12,,,
2015-04-22,566,158,21,45,17,15,17,,,10,,,,9,17,,,,17,,10,,20,,12,9,,
2015-04-23,564,155,21,46,17,14,17,,,10,,,,10,15,,10,,17,,11,,20,,12,,,
2015-04-24,576,153,22,43,15,14,14,,,10,,,,10,17,,10,,17,,12,,19,,12,,,
2015-04-25,569,153,21,38,14,15,15,,,11,,,,10,17,,10,,17,,12,,18,,12,,,
2015-04-26,566,152,23,37,15,16,14,,,11,,,,10,17,,10,,17,,11,,18,,12,,,
2015-04-27,567,150,23,39,15,16,15,11,,11,,,,10,17,,,,17,,10,,17,,12,,,
2015-04-28,572,152,22,39,15,16,15,10,,11,,,,10,19,,,,17,,11,,18,,12,,,
2015-04-29,570,155,25,40,15,16,12,10,,10,,,,10,21,,,,18,,11,,18,,12,,,
2015-04-30,592,156,27,37,16,16,14,11,,,,,,11,21,,,,17,11,11,,20,,12,,,
2015-05-01,592,159,26,38,17,15,15,,,11,,,,11,21,,,,17,11,11,,22,,13,,,
2015-05-02,584,165,28,36,18,15,13,,,12,,,,11,20,,,,17,14,11,,21,,13,,,
2015-05-03,578,157,27,36,17,17,15,,,,,,,11,20,,,,16,11,11,,20,11,13,,,
2015-05-04,578,168,31,34,17,16,15,,,11,,,,11,23,,,,16,,11,,21,11,12,,,
2015-05-05,578,169,34,34,16,15,14,,,,,,,11,22,13,,,17,,11,,22,11,11,,,
2015-05-06,597,164,36,35,15,14,13,,,,,,,11,21,13,,,19,12,11,,21,,11,,,
2015-05-07,604,165,36,40,16,14,13,,,12,,,,11,22,13,,,19,14,,,23,,11,,,
2015-05-08,586,163,33,46,15,14,11,,,12,,,,11,22,11,,,17,13,12,,22,,,,,
2015-05-09,590,165,33,45,15,13,11,,,13,,,,11,23,12,,,17,13,12,,22,,,,,
2015-05-10,587,189,32,47,14,13,14,,,13,,,,12,24,13,,,17,19,12,,21,,,,,
2015-05-11,602,213,31,49,18,13,19,,,13,,,,11,26,14,,,21,20,11,,20,,,,,
2015-05-12,622,217,32,51,26,13,17,,,15,,,,12,24,15,,,19,18,12,,20,,,,,
2015-05-13,628,219,34,52,28,13,16,,,14,,,13,13,25,17,,,19,18,,,17,,,,,
2015-05-14,617,215,36,52,26,16,19,13,,,,,,13,24,21,,,19,18,,,17,18,,,,
2015-05-15,609,217,34,52,24,18,18,,,15,,,,15,28,20,,,20,20,,,17,16,,,,
2015-05-16,623,245,34,55,26,21,21,,,15,,,,15,37,18,,,21,17,,,17,16,,,,
2015-05-17,615,248,36,54,26,22,21,,,15,,,,15,35,18,,,21,16,,,18,16,,,,
2015-05-18,617,251,36,58,30,22,21,15,,17,,,,15,37,19,,,21,,,,19,15,,,,
2015-05-19,636,266,38,53,28,24,21,22,,18,,,,16,37,22,,,21,16,,,20,,,,,
2015-05-20,648,237,36,49,32,,19,21,,17,,,,15,33,15,,,18,17,15,,21,,,,,
2015-05-21,628,221,35,46,31,,14,20,,15,,,,14,32,14,,,18,16,17,,16,,,,,
2015-05-22,644,231,38,49,30,,15,25,,16,,,,14,33,14,,,19,17,17,,17,,,,,
2015-05-23,632,233,39,47,29,15,15,24,,16,,,,14,35,,,,19,15,16,,14,,,,,
2015-05-24,627,225,38,44,31,,15,26,,15,,,,14,33,14,,,19,17,16,,15,,,,,
2015-05-25,626,211,37,44,31,,15,26,,15,,,,13,34,13,,,19,17,16,,15,,,,,
2015-05-26,629,201,38,44,30,,16,21,,15,,,,13,35,13,,,19,17,15,,14,,,,,
2015-05-27,629,185,40,42,29,14,15,22,,15,,,,14,36,,,,18,18,14,,14,,,,,
2015-05-27,625,185,41,42,28,13,14,20,,15,,,,13,34,,,,18,19,13,,15,,,,,
2015-05-28,607,184,41,43,29,,17,20,,14,,,,13,33,13,,,18,20,13,,14,,,,,
2015-05-29,613,198,42,42,32,,17,20,13,14,,,,13,32,,,,18,19,13,,15,,,,,
2015-05-30,603,197,42,35,30,15,20,14,,,,,,14,34,16,,,18,,15,,15,15,,,,
2015-05-31,605,193,42,35,31,15,20,15,,,,,,14,33,,,,18,14,15,,15,15,,,,
2015-06-01,597,187,41,37,28,15,20,15,,,,,,14,36,14,,,17,16,14,,,16,,,,
