date,Milan,Rome,Padova,Florence,Verona,Bologna,Turin,Bergamo,"Monza and Brianza",Modena,Naples,"Reggio Emilia",Vicenza,Cremona,"See More",Treviso,Bari,Udine,Brescia,Genoa,"Pesaro Urbino",Ravenna,Como,Potenza,Perugia,Pisa,Varese,Arezzo,Trento,Teramo,Lecco,Ancona,Cuneo,Rimini,Gorizia
2015-05-28,132,91,65,42,37,41,34,,,,,,18,,17,30,,,,,,,,65,27,26,21,,,17,,,,,
2015-05-29,128,91,62,42,37,40,33,,,,,,19,,17,30,,,,,,,,65,27,26,21,,,17,,,,,
2015-05-30,124,87,,42,,39,35,13,,11,,,19,,5,29,,,14,,,,,,,,23,,,,,,10,6,5
2015-05-31,124,89,63,43,39,40,35,,,,,,19,,18,31,,,,,,,,64,28,25,22,,,18,,,,,
2015-06-01,120,89,,43,,38,32,12,,11,,,18,,7,,,,11,,,,,,,,23,,,,,,10,7,
2015-06-02,122,89,64,43,38,38,32,,,,,,18,,18,30,,,,,,,,63,28,25,23,,,18,,,,,
2015-06-03,122,87,61,42,40,35,31,,,,,,,,16,31,,,,,,,,65,29,25,21,16,,18,,,,,
2015-06-04,122,85,,44,40,36,29,12,,12,,,16,,8,29,8,,9,,,,,,,,22,,,,,,,,
2015-06-05,123,87,57,43,39,36,30,,,,,,,,16,30,,,,,,,,64,25,25,21,16,,18,,,,,
2015-06-06,119,84,58,42,40,37,30,13,,11,,,16,,10,29,,,10,10,,,,,,,,,16,,,,,,
2015-06-07,111,86,59,41,40,38,30,13,,11,,,16,,8,29,8,,10,,,,,,,,,,16,,,,,,
2015-06-08,118,88,59,41,39,35,31,11,13,10,,,,,10,25,,,11,,,,,,,,,,16,,,,,,
2015-06-09,128,87,58,39,40,38,34,,,,,,16,,16,26,,,,,,,,64,27,24,21,,16,,,,,,
2015-06-10,132,85,61,39,36,38,33,,,,,,,,15,24,,,,,,,,62,25,24,21,15,16,,,,,,
2015-06-11,134,88,61,40,37,39,28,,,,,,,,16,24,,,,,,,,61,24,26,21,16,16,,,,,,
2015-06-12,134,84,61,41,39,41,28,,,,,,,,16,25,,,,,,,,66,26,25,21,17,16,,,,,,
2015-06-13,133,85,61,41,40,41,28,,,,,,,,16,25,,,,,,,,66,26,25,20,17,16,,,,,,
2015-06-14,128,86,58,40,,38,29,,,12,,,13,,5,26,8,,10,,6,,,,,,,,16,,,5,,,
2015-06-15,129,83,58,40,,40,30,,,12,,,13,,6,23,8,,8,,6,,,,,,,,,,9,,,,
2015-06-16,131,89,59,40,,41,31,,,13,11,,13,,7,23,10,,,,7,,,,,,,,,,9,,,,
2015-06-17,130,89,,40,37,43,33,11,,13,11,,,,5,22,11,,,,,,,,,,,,,,8,5,,,
2015-06-18,132,90,,,37,40,30,12,,13,12,,,,5,25,10,,,,,,,,,,,,14,,7,5,,,
2015-06-19,125,86,55,37,37,36,22,,,,,,,,15,24,,,,,,,,67,23,21,20,15,,15,,,,,
2015-06-20,121,88,,,35,34,21,11,,11,13,,,,9,23,10,,9,,,,,,,,,,14,,,,,,
