date,Cracow,Gdansk,Wroclaw,Warsaw,Poznan,Lodz,"See More"
2015-05-28,25,19,15,6,7,5,5
2015-05-29,26,19,16,6,8,5,5
2015-05-30,26,19,16,6,8,5,5
2015-05-31,26,19,16,6,8,5,5
2015-06-01,28,19,15,7,8,5,5
2015-06-02,28,19,14,8,9,5,5
2015-06-03,26,20,14,8,9,5,5
2015-06-04,27,24,15,9,9,6,6
2015-06-05,26,22,15,7,9,6,6
2015-06-06,26,22,15,7,9,6,6
2015-06-07,26,22,15,7,9,6,6
2015-06-08,26,22,15,7,9,7,7
2015-06-09,29,23,15,6,9,5,5
2015-06-10,29,21,17,6,9,5,5
2015-06-11,29,22,15,7,9,,
2015-06-12,29,23,14,7,9,,
2015-06-13,29,23,14,7,9,,
2015-06-14,29,23,13,7,9,,
2015-06-15,29,22,13,7,9,5,5
2015-06-16,30,21,13,7,9,5,5
2015-06-17,28,27,12,6,9,5,5
2015-06-18,28,26,14,7,6,5,5
2015-06-19,26,26,13,7,6,5,5
2015-06-20,26,25,13,6,6,5,5
