date,Lisbon,Porto,Aveiro,Braga,Coimbra,Leiria,"See More"
2015-05-28,40,,,,,,
2015-05-29,51,,,,,,
2015-05-30,43,,,,,,
2015-05-31,42,,,,,,
2015-06-01,41,,,,,,
2015-06-02,351,26,15,12,10,,
2015-06-03,381,27,15,12,10,,
2015-06-04,436,31,15,12,11,,
2015-06-05,882,48,22,13,14,5,5
2015-06-06,820,49,21,13,14,,
2015-06-07,827,48,20,10,14,,
2015-06-08,824,48,21,10,13,,
2015-06-09,749,46,22,10,11,5,5
2015-06-10,688,50,22,10,10,5,5
2015-06-11,643,50,22,8,10,5,5
2015-06-12,803,56,22,8,15,5,5
2015-06-13,806,64,30,9,15,6,6
2015-06-14,808,63,30,9,14,5,5
2015-06-15,787,61,31,9,15,5,5
2015-06-16,759,61,32,9,13,6,6
2015-06-17,841,64,32,9,13,5,5
2015-06-18,878,64,31,9,13,6,6
2015-06-19,836,63,30,9,13,5,5
2015-06-20,842,62,31,10,12,5,5
2015-06-21,833,62,30,10,12,5,5
2015-06-22,813,58,26,9,10,,
2015-06-23,833,60,26,8,9,,
2015-06-24,865,63,26,8,8,,
