date,"Stockholm County",Stockholm
2015-05-28,12,5
2015-05-29,14,5
2015-05-30,14,5
2015-05-31,14,5
2015-06-01,14,5
2015-06-02,14,5
2015-06-03,13,5
2015-06-04,13,
2015-06-05,13,
2015-06-06,13,
2015-06-07,13,
2015-06-08,13,
2015-06-09,12,
2015-06-10,11,
2015-06-11,11,5
2015-06-12,9,5
2015-06-13,9,5
2015-06-14,10,5
2015-06-15,11,5
2015-06-16,11,5
2015-06-17,11,5
2015-06-18,11,
2015-06-19,11,
2015-06-20,11,
2015-06-21,11,
2015-06-22,13,7
2015-06-23,14,7
2015-06-24,11,7
2015-06-25,13,7
2015-06-26,13,7
2015-06-27,18,13
2015-06-28,23,13
2015-06-29,20,13
2015-06-30,23,13
2015-07-01,22,14
2015-07-02,21,17
2015-07-03,21,17
