date,pyton,"zaawansowana informatyka",programowanie,"systemy obliczeniowe",kodowanie,"Chmura obliczeniowa"
2015-05-28,92,0,8,0,0,0
2015-05-29,94,0,9,0,0,0
2015-05-30,94,0,9,0,0,0
2015-05-31,94,0,9,0,0,0
2015-06-01,We,0,9,0,0,0
2015-06-02,We,0,10,0,0,0
2015-06-03,98,0,10,0,0,0
2015-06-04,104,0,11,0,0,0
2015-06-05,99,0,11,0,0,0
2015-06-06,99,0,11,0,0,0
2015-06-07,99,0,11,0,0,0
2015-06-08,100,0,11,0,0,0
2015-06-09,101,0,12,0,0,0
2015-06-10,101,0,12,0,0,0
2015-06-11,100,0,11,0,0,0
2015-06-12,101,0,11,0,0,0
2015-06-13,101,0,11,0,0,0
2015-06-14,100,0,9,0,0,0
2015-06-15,101,0,9,0,0,0
2015-06-16,101,0,9,0,0,0
2015-06-17,102,0,9,0,0,0
2015-06-18,102,0,9,0,0,0
2015-06-19,99,0,9,0,0,0
2015-06-20,97,0,8,0,0,0
2015-06-21,97,0,8,0,0,0
2015-06-22,91,0,8,0,0,0
2015-06-23,93,0,8,0,0,0
2015-06-24,89,0,10,0,0,0
2015-06-25,88,0,10,0,0,0
2015-06-26,152,0,68,0,6,0
2015-06-27,418,0,501,0,28,0
2015-06-28,558,0,692,0,42,0
2015-06-29,541,0,643,0,43,0
2015-06-30,561,0,677,0,47,0
2015-07-01,539,0,616,0,42,0
2015-07-02,2,0,604,0,39,0
2015-07-03,2,0,626,0,40,0
2015-07-04,2,0,869,0,50,0
2015-07-05,0,0,856,0,49,0
2015-07-07,0,0,860,0,52,0
2015-07-08,0,0,885,0,52,0
2015-07-09,0,0,857,0,48,0
2015-07-10,0,0,859,0,48,0
2015-07-11,0,0,849,0,45,0
2015-07-12,0,0,841,0,46,0
2015-07-13,0,0,814,0,44,0
2015-07-14,0,0,821,0,44,0
2015-07-15,0,0,818,0,46,0
2015-07-16,0,0,831,0,46,0
2015-07-17,0,0,835,0,45,0
2015-07-18,0,0,837,0,46,0
2015-07-19,0,0,816,0,46,0
2015-07-20,0,0,821,0,47,0
2015-07-21,0,0,820,0,46,0
2015-07-22,0,0,830,0,44,0
2015-07-23,0,0,850,0,43,0
2015-07-24,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0
