date,"ISG International Service Group","ePunkt Internet Recruiting GmbH.",PwC
2015-05-28,6,5,5
2015-05-28,6,5,5
2015-05-29,7,5,5
2015-05-30,7,6,
2015-05-31,7,6,
2015-06-01,7,6,
2015-06-02,7,6,
2015-06-03,8,6,
2015-06-04,8,6,6
2015-06-05,8,6,6
2015-06-06,8,6,6
2015-06-07,8,6,6
2015-06-08,8,6,6
2015-06-09,9,6,6
2015-06-10,9,6,5
2015-06-11,9,6,5
2015-06-12,9,6,5
2015-06-13,9,6,5
2015-06-14,9,6,5
2015-06-15,9,6,5
2015-06-16,9,6,5
2015-06-17,9,6,5
2015-06-18,9,6,
2015-06-19,9,6,
2015-06-20,9,6,
2015-06-21,9,6,
2015-06-22,8,6,
2015-06-23,7,6,
