date,"Deloitte Deutschland",Microsoft,Atos,Siemens,IBM,Dell,"Haufe Group","See More","Amadeus FiRe AG – Zeitarbeit, Personalvermittlung, Interim Management","Computer Futures, ein Geschäftszweig der SThree GmbH",PwC,"Die p.A.- GmbH","Aldi Einkauf GmbH &amp; Co oHG","Arca24.com SA",Bosch,"KOMMLINk GmbH","FERCHAU Engineering","tecops personal GmbH","ProSiebenSat.1 Media AG",Bertrandt,"BMW Group","Daimler AG",Continental,"NTT DATA Deutschland GmbH",Teradata,"Deutsche Telekom AG","Gi Group Deutschland GmbH",Deloitte,Fraunhofer-Gesellschaft
2015-05-27,29,,,,,,,20,139,111,55,,48,68,50,37,35,23,35,20,30,,,,,,,23,24
2015-05-27,29,,,,,,,20,136,98,55,,46,62,50,37,35,,35,20,29,31,,,,,,23,25
2015-05-28,29,,,,,,,20,137,98,55,,46,62,50,37,35,,35,20,30,31,,,,,,23,25
2015-05-28,29,,,,,,,20,137,98,55,,46,62,50,37,35,,35,20,30,31,,,,,,23,25
2015-05-29,28,,,,,,,20,142,111,56,,51,59,50,37,36,,35,20,28,32,,,,,,23,24
2015-05-30,28,8,,8,8,8,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,29,,,,,,,21,144,117,55,,48,61,50,37,41,,35,21,28,31,,,,,,21,25
2015-06-01,29,,,,,,,21,143,120,55,,48,58,49,37,40,21,35,21,28,30,,,,,,,25
2015-06-02,29,,,,,,,20,143,118,55,,46,50,49,37,40,,35,20,28,30,,,,,,22,24
2015-06-03,29,,,,,,,24,144,131,56,,43,44,48,37,44,,35,,29,33,,,,,36,25,24
2015-06-04,29,,,,,,,27,145,132,56,43,51,42,52,37,40,,35,,27,33,38,,,,37,,
2015-06-05,29,16,,8,8,9,5,5,,,,,,,,,,,,,,,,,5,,,,
2015-06-06,29,,,,,,,28,140,134,55,43,48,,47,37,39,29,35,,28,34,38,,,,36,,
2015-06-07,29,,,,,,,27,142,138,54,43,48,,46,37,43,29,35,,27,34,38,,,,30,,
2015-06-08,29,,,,,,,25,140,137,54,43,43,,48,37,40,29,34,,28,25,38,,,,26,,
2015-06-09,29,16,,6,8,8,5,5,,,,,,,,,,,,,,,,,5,,,,
2015-06-10,30,16,,6,8,6,5,5,,,,,,,,,,,,,,,,,5,5,,,
2015-06-11,32,16,13,6,8,6,5,5,,,,,,,,,,,,,,,,,,5,,,
2015-06-12,32,16,13,5,8,6,5,5,,,,,,,,,,,,,,,,,,5,,,
2015-06-13,32,16,13,8,8,6,5,5,,,,,,,,,,,,,,,,,5,5,,,
2015-06-14,32,,,,,,,27,145,128,53,,40,49,56,38,35,27,49,,27,35,36,38,,,,,
2015-06-15,33,16,12,8,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-16,,,,,,,,26,145,128,53,43,41,49,56,38,36,26,49,,28,35,36,38,,,,,
2015-06-17,,,,,,,,26,125,116,54,43,39,44,56,38,40,,47,29,26,35,35,38,,,,,
2015-06-18,20,16,12,6,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-19,20,16,11,6,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-20,20,16,11,9,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-21,20,16,11,8,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-22,20,17,11,9,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-23,,,,,,,,24,128,100,52,43,33,42,47,39,40,32,34,28,26,27,24,,,,,,
2015-06-24,20,17,10,10,8,6,5,5,,,,,,,,,,,,,,,,,,,,,
2015-06-25,,,,,,,,24,128,98,52,43,37,41,43,39,40,31,29,28,26,25,24,,,,,,
2015-06-26,,,,,,,,24,127,100,52,43,42,41,39,39,38,36,29,29,25,25,24,,,,,,
2015-06-27,20,17,11,10,8,8,5,5,,,,,,,,,,,,,,,,,,,,,
