date,BIOVIA,"JPMorgan Chase &amp; Co.",Deloitte,EY,"Williams &amp; Glyn","MLP Inc.","techfolk Ltd",NetApp,Sky,"British Gas","Lloyds Banking Group","NonStop Pharma",Xcede,"Bloomberg LP","Do-it Trust","See More","Royal Bank of Scotland","QA Apprenticeships",Tectrade,"Amazon UK",Hays,G4S,"Dun &amp; Bradstreet"
2015-03-11,59,17,,18,,18,,17,15,,13,,15,11,,10,,10,10,11,12,14,20
2015-03-12,59,18,21,18,,17,,19,16,,13,,15,11,,10,,10,10,11,11,12,
2015-03-16,59,22,21,18,22,24,12,21,16,,13,,15,10,,10,,,10,11,10,,
2015-03-18,59,22,21,19,26,17,15,18,14,,13,,15,10,10,10,,10,10,,,,
2015-03-18,59,22,21,19,26,18,15,18,14,,13,,14,10,10,10,,10,10,,,,
2015-03-19,59,23,21,19,26,11,12,15,16,,13,,13,10,,10,10,11,10,,,,
2015-03-20,59,22,22,18,22,24,12,,16,15,13,,13,11,,10,,11,10,10,,,
2015-03-21,59,24,21,19,26,20,12,15,16,15,13,,13,11,,10,10,11,,,,,
2015-03-22,59,24,21,19,26,20,12,15,16,15,13,,13,11,,10,10,11,,,,,
2015-03-23,59,26,22,19,26,20,12,15,16,15,13,,13,11,,11,11,11,,,,,
2015-03-24,59,28,22,19,26,21,12,15,14,15,13,,13,11,,11,11,11,,,,,
2015-03-25,59,28,21,19,26,21,12,15,15,14,13,,13,11,,11,11,11,,,,,
2015-03-26,59,29,21,19,18,17,17,15,15,14,14,14,13,12,12,12,,,,,,,
