date,Amazon,Aviva,Hays,Apple,"Nigel Frank International","Amazon UK","Expedia, Inc.","See More",ESPN,"Cambridge Assessment","Transport for London","Confidential Company - Undisclosed",UCB,EY,Dell,"Functional Works","Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Citi
2015-03-11,11,,,,,14,,,,,,,,,,,,,,
2015-03-12,11,,,,,14,,,,,,,,,,,,,,
2015-03-16,12,,,,,13,,,,,,,,,,,,,,5
2015-03-18,12,,,,,12,,,,,,,,5,,,,,,5
2015-03-18,11,,,,,13,,,,,,,,5,,,,,,5
2015-03-19,11,,,,,12,,,,,,,,5,,,,,,5
2015-03-20,11,,,,,12,,,,,,,,5,,,,,,5
2015-03-21,11,,,,,12,,,,,,,,5,,,,,,5
2015-03-22,11,,,,,12,,,,,,,,5,,,,,,5
2015-03-23,11,,,,,12,,,,,,,,5,,5,,,,5
2015-03-24,11,,,,,12,,,,,,,,,,5,,,,
2015-03-25,11,,,,,12,,,,,,,,,,,,,,
2015-03-26,11,,,,,11,,,,,,,,,,,,,,
2015-03-27,11,,,,,11,,,,,,,,,,,,,,
2015-03-28,10,,,,,11,,,,,,,,,,,,,,
2015-03-29,10,,,,,12,,,,,,,,,,,,,,
2015-03-30,10,,,,,12,,,,,,,,,,5,,,,
2015-03-31,10,,5,,,11,,,,,,,,,,,,,,
2015-04-01,10,,5,,,11,,,,,,,,,,,,,,
2015-04-02,,,,,,11,,,,,,,,,,,,,,
2015-04-03,,,,,,11,,,,,,,,,,,,,,
2015-04-04,,,,,,11,,,,,,,,,,,,,,
2015-04-05,,,,,,11,,,,,,,,,,,,,,
2015-04-06,,,,,,11,,,,,,,,,,,,,,
2015-04-07,,,,,,11,,,,,,,,,,,,,,
2015-04-08,,,,,,11,,,,,,,,,,,,,,
2015-04-09,,,,,,11,,,,,,,,6,,,,,,
2015-04-10,,,,,,11,,,,,,,,6,,,,,,
2015-04-11,,,,,,11,,,,,,,,6,,,,,,
2015-04-12,,,,,,11,,,,,,,,6,,,,,,
2015-04-13,,,,,,10,,,,,,,,6,,,,,,
2015-04-14,,,,,,11,,,,,,,,6,,,,,,
2015-04-15,,,,,,11,,,,,,,,6,,,,,,
2015-04-16,,,,,,11,,,,,,,,6,,,,,,
2015-04-17,,,,,,11,,,,,,,,6,,,,15,,
2015-04-18,,,,,,11,,,,,,,,6,,,58,15,6,
2015-04-19,,,,,,11,,,,,,,,6,,,102,15,,
2015-04-20,,,,,,11,,,,,,,,6,,,105,17,6,
2015-04-21,,,5,,,11,,,,,,,,6,,,,,,
2015-04-22,,,5,,,10,,,,,,,,6,,,,,,
2015-04-23,,,,,,10,,,,,,,,6,,,,,,
2015-04-24,,,,,,11,,,,,,,,7,,,,,,
2015-04-25,,,,,,11,,,,,,,,7,,,,,,
2015-04-26,,,,,,11,,,,,,,,7,,,,,,
2015-04-27,,,,,,11,,,,,,,,7,,,,,,
2015-04-28,,,,,,11,,,,,,,,6,,,,,,
2015-04-29,,,,,,11,,,,,,,,6,,,,,,
2015-04-30,,,6,,,12,,,,,,,,,,,,,,
2015-05-01,,,5,,,12,,,,,,,,,,,,,,
2015-05-02,,,5,,,12,,,,,,,,,,,,,,
2015-05-03,,,,,,12,,,,,,,,,,,,,,
2015-05-04,,,,,,12,,,,,,,,,,,,,,
2015-05-05,,,,,,12,,,,,,,,,,5,,,,
2015-05-06,,,,,,12,,,,,,,,,,5,,,,
2015-05-07,5,5,,,,12,,,,,,,,,,5,,,,
2015-05-08,5,5,,,,12,,,,,,7,,,,5,,,,
2015-05-09,5,5,5,,,12,,5,,,,5,,,,5,,,,
2015-05-10,5,5,5,,,14,,5,,,,6,,,,5,,,,
2015-05-11,5,5,7,,,14,,5,,,,6,,,,5,,,,
2015-05-12,5,5,7,,,15,,5,,,,6,,,,5,,,,
2015-05-13,5,5,6,,,15,,5,,,,6,,,,5,,,,
2015-05-14,5,5,6,,,13,,5,,,,6,,,,5,,,,
2015-05-15,5,,6,,,14,,,,,,6,,,,5,,,,
2015-05-16,5,,6,,,14,,,,,,6,,,,5,,,,
2015-05-17,17,,6,,,14,,,,,,,,,,5,,,,
2015-05-18,17,,7,,,14,,,,,,,,6,,,,,,
2015-05-19,17,,8,,,14,,,,,5,,,,,,,,,
2015-05-20,16,,9,,,14,,,,,5,,,,,,,,,
2015-05-21,16,,11,,,14,5,,,,6,,,,,,,,,
2015-05-22,16,,10,,,14,5,5,,,6,,,,5,,,,,
2015-05-23,16,,10,,,14,5,5,,,6,,,,5,,,,,
2015-05-24,16,,9,,,13,5,5,,,6,,,,5,,,,,
2015-05-25,17,,9,,,13,5,5,,,6,,,5,,,,,,
2015-05-26,17,,9,,,12,5,5,,,6,,,5,,,,,,
2015-05-27,17,,8,,,12,5,5,,,6,,,5,,,,,,
2015-05-27,17,,8,,,12,5,5,,,6,,,5,,,,,,
2015-05-28,16,,8,,,12,5,5,,,6,,,5,,,,,,
2015-05-29,15,,7,,,12,5,5,,,6,,,5,,,,,,
2015-05-30,16,,7,,,12,5,5,,,6,,,5,,,,,,
2015-05-31,16,,7,,,11,5,5,,,6,,,5,,,,,,
2015-06-01,16,,6,,,11,5,5,,,5,,,5,,,,,,
2015-06-02,15,,7,,,11,5,,,,5,,,,,,,,,
2015-06-03,15,,7,,,11,5,,,,5,,,,,,,,,
2015-06-04,15,,7,,,11,5,5,,,5,,6,,,,,,,
2015-06-05,14,,7,,,11,5,5,,,6,,6,,,,,,,
2015-06-06,14,,7,,,11,5,5,,,6,6,6,,,,,,,
2015-06-07,14,,6,,,11,5,5,,,6,6,6,,,,,,,
2015-06-08,14,,6,,,11,5,5,,7,,6,6,,,,,,,
2015-06-09,14,,7,,,10,5,5,,7,7,6,6,,,,,,,
2015-06-10,14,,6,,,10,5,5,,7,7,8,5,,,,,,,
2015-06-11,,,6,6,,,5,,,7,5,,,,,,,,,
2015-06-12,14,,6,6,,12,5,5,,7,7,6,,,,,,,,
2015-06-13,,,6,6,,,5,,,7,5,,,,,,,,,
2015-06-14,14,,6,6,,13,5,5,,7,7,,,,,,,,,
2015-06-15,14,,6,7,,13,5,5,,7,7,,,,,,,,,
2015-06-16,16,,6,7,,,5,5,,7,5,,,,,,,,,
2015-06-17,16,,5,7,,,5,5,,7,5,,,,,,,,,
2015-06-18,16,,,7,,,5,,,6,5,,,,,,,,,
2015-06-19,16,,,7,,12,5,5,,5,6,,,,,,,,,
2015-06-20,16,,,7,,12,5,5,,5,6,,,,,,,,,
2015-06-21,15,,,7,,12,5,,,5,,,,,,,,,,
2015-06-22,15,,,6,,,5,,,,,,,,,,,,,
2015-06-23,16,,5,6,,13,5,,,,,,,,,,,,,
2015-06-24,16,,5,7,,13,5,5,5,,,,,,,,,,,
2015-06-25,16,,,6,,12,5,,,,,,,,,,,,,
2015-06-26,16,,6,5,,,5,,,,,,,,,,,,,
2015-06-27,16,,6,6,,,5,,,,,,,,,,,,,
2015-06-28,16,,6,6,10,13,5,5,,,,,,,,,,,,
2015-06-29,16,,6,,14,15,5,,,,,,,,,,,,,
2015-06-30,16,,6,6,14,14,5,5,,,,,,,,,,,,
2015-07-01,18,,6,5,,,,,,,,,,,,,,,,
2015-07-02,18,,6,,,,,,,,,,,,,,,,,
2015-07-03,18,5,5,,,,,,,,,,,,,,,,,
2015-07-04,18,5,5,,,,,,,,,,,,,,,,,
