date,IBM,Mylan,"The Panel",Fenergo,"GLG (Gerson Lehrman Group)",Dell,"Computer Futures",ServiceSource,Citi,"See More","Novartis Consumer Health","Guidewire Software",Novartis
2015-05-28,8,7,10,,,9,,17,7,5,8,7,5
2015-05-29,8,7,10,,,10,,17,8,5,8,7,5
2015-05-30,8,7,9,,,10,,16,8,5,7,7,5
2015-05-31,8,7,9,,,10,,16,8,7,7,7,
2015-06-01,8,7,9,,,9,,16,8,7,7,7,
2015-06-02,9,7,11,,,9,,16,8,7,7,7,
2015-06-03,9,7,11,,,10,,16,8,7,8,7,
2015-06-04,9,6,9,,,7,,16,9,6,8,,
2015-06-05,9,6,9,,,7,,16,8,5,5,,
2015-06-06,9,6,8,,,7,,16,8,6,,,
2015-06-07,9,6,7,,,7,,16,7,6,,,
2015-06-08,9,6,8,,,7,,16,8,6,,,
2015-06-09,9,6,7,,,7,,16,6,6,,,
2015-06-10,9,6,7,,,7,,16,6,6,,,
2015-06-11,9,5,7,,,6,,16,6,5,,,
2015-06-12,9,5,7,,,6,,15,5,5,,,
2015-06-13,9,5,7,,,6,,15,5,5,,,
2015-06-14,9,5,6,,,6,,16,5,5,,,
2015-06-15,8,5,6,,,6,,16,5,5,,,
2015-06-16,11,5,6,,,10,,16,5,5,,,
2015-06-17,13,5,6,,,9,,16,5,5,,,
2015-06-18,13,5,6,,,9,,,,,,,
2015-06-19,13,5,7,,,9,,16,,,,,
2015-06-20,13,5,7,,,9,,16,,,,,
2015-06-21,13,5,7,,,9,,16,,,,,
2015-06-22,12,7,7,,,9,,16,,,,,
2015-06-23,12,7,7,,,8,,16,,,,,
2015-06-24,11,7,6,,,6,,16,,,,,
2015-06-25,11,7,6,,,6,,16,,,,,
2015-06-26,11,7,5,,,5,,16,,,,,
2015-06-27,11,7,5,,,5,,16,,,,,
2015-06-28,11,7,5,,,5,,16,,,,,
2015-06-29,9,7,6,,,,,16,,,,,
2015-06-30,8,7,5,,,,5,,,,,,
2015-07-01,9,7,5,,,,5,,,,,,
2015-07-02,9,7,5,,,,,,,,,,
2015-07-03,9,7,5,,,,,,,,,,
2015-07-04,9,7,5,,,,,,,,,,
2015-07-05,9,7,5,,,,,,,,,,
2015-07-07,10,7,7,,,,,,,,,,
2015-07-08,10,7,7,,,,,,,,,,
2015-07-09,10,8,7,,,,,,,,,,
2015-07-10,9,8,7,,,,,,,,,,
2015-07-11,9,8,7,,,,,,,,,,
2015-07-12,9,8,7,,,,,,,,,,
2015-07-13,9,9,7,,,,,,,,,,
2015-07-14,11,10,7,6,,,,,,,,,
2015-07-15,11,10,7,6,,,,,,,,,
2015-07-16,10,9,7,6,,5,,,,,,,
2015-07-17,12,9,7,6,5,,,,,,,,
