date,Dell,IBM,Gilt.com,PADDYPOWER,VMware,"Computer Futures","Electronic Arts (EA)",Amazon,Mylan,Citi,Cpljobs,"Amazon UK","Volunteer Ireland","See More",Oracle,LinkedIn,Google,"Tableau Software",ServiceSource,"Target Talent Recruitment Ltd.",EMC,"Novartis Consumer Health"
2015-05-28,18,11,,,22,,,7,7,,7,6,,5,,,8,5,17,,,5
2015-05-29,20,12,5,,22,,,7,7,6,15,6,,5,,,7,5,17,,,5
2015-05-30,21,12,5,,22,,,7,7,6,6,7,,5,,,7,5,16,8,,5
2015-05-31,21,12,5,,22,,,7,7,5,6,7,,5,,,7,5,16,8,,5
2015-06-01,21,11,5,,22,,,7,7,5,16,7,,5,,,8,5,16,8,,5
2015-06-02,21,11,5,,22,,,7,7,5,16,7,,5,,,7,5,16,8,,5
2015-06-03,19,11,6,,22,,,7,6,6,11,7,,5,,,7,5,16,5,,6
2015-06-04,17,12,6,,21,,,7,7,6,17,7,,5,5,,7,,16,,,6
2015-06-05,18,12,6,,22,,,7,7,6,14,7,,5,6,5,7,,16,8,5,
2015-06-06,18,12,6,,22,,,6,7,6,14,7,,5,6,6,7,,16,8,5,
2015-06-07,18,12,,,19,,,7,7,6,9,7,,5,5,6,7,,16,8,5,
2015-06-08,18,12,6,,19,,,7,7,6,14,7,,5,6,6,7,,16,8,5,
2015-06-09,17,12,6,,19,,,6,7,5,14,6,,5,6,6,6,,16,8,6,
2015-06-10,14,12,6,,19,,,6,9,5,6,6,,5,5,6,6,,16,7,6,
2015-06-11,15,12,6,,19,,,6,9,5,15,6,,5,5,5,6,,16,,6,
2015-06-12,15,12,7,,18,,,6,7,5,15,5,,5,5,5,6,,16,,6,
2015-06-13,15,12,6,,20,,,6,7,5,5,5,,5,6,5,6,,16,8,7,
2015-06-14,15,12,6,,20,,,6,7,5,10,5,,5,5,5,6,,16,8,7,
2015-06-15,16,11,8,,20,,,6,7,5,14,6,,5,5,5,6,,14,8,,
2015-06-16,13,11,8,,20,,,6,7,5,,6,,5,5,5,6,,14,7,,
2015-06-17,15,11,8,,20,,,6,6,5,,6,,5,5,5,6,,14,7,,
2015-06-18,15,11,8,,20,,,6,7,6,13,6,5,5,5,5,5,,,8,,
2015-06-19,16,11,8,,17,,,6,7,6,10,6,5,5,6,5,5,,14,8,,
2015-06-20,16,11,8,5,16,,,6,7,5,10,6,,5,5,5,5,,14,8,,
2015-06-21,16,11,8,5,16,,,6,7,5,9,5,,5,5,5,5,,14,8,,
2015-06-22,13,11,8,5,16,,,6,7,5,6,6,,5,5,5,5,,14,8,,
2015-06-23,13,11,8,,16,,,6,7,5,7,6,6,5,5,5,5,,14,7,,
2015-06-24,13,11,7,,16,,,6,7,5,7,6,6,5,5,5,5,,14,7,,
2015-06-25,12,11,7,5,16,,,6,7,5,6,6,6,5,5,5,5,,14,,,
2015-06-26,12,11,10,5,16,,,6,7,5,8,6,6,5,5,5,5,,14,,,
2015-06-27,12,11,10,5,16,,,6,7,5,8,6,6,5,,5,5,,14,,,
2015-06-28,12,11,10,5,17,,,6,6,5,9,6,6,5,5,5,5,,14,,,
2015-06-29,13,9,10,5,16,5,,6,6,5,9,6,,5,5,5,5,,14,,,
2015-06-30,13,7,10,5,17,16,,6,6,5,9,6,,5,5,5,5,5,,,,
2015-07-01,13,7,10,5,17,15,8,6,6,5,5,5,5,5,,,,,,,,
2015-07-02,13,7,10,5,20,,,,,,,,,,,,,,,,,
2015-07-03,13,7,7,5,,,,,,,,,,,,,,,,,,
