date,"IT People Innovation","PRIMEIT CONSULTING SA","Randstad Technologies","Mind Source",Rumos,"BOLD International","Bee Engineering",Decskill,agap2,"Aubay Italia S.p.A.",AdQuam,"Bee Engineering Portugal",Growin,"REDITUS SA","AFFINITY Portugal","See More","Gfi Portugal","KCS iT Project Management","B.ON Engineering","agap2 IT"
2015-05-28,5,,,,,,,,,,,,,,,,,,,
2015-05-29,6,,,,,,,,,,,,,,,,,,,
2015-05-30,6,,,,,,,,,,,,,,,,,,,
2015-05-31,6,,,,,,,,,,,,,,,,,,,
2015-06-01,6,,,,,,,,,,,,,,,,,,,
2015-06-02,92,15,30,25,17,14,24,,,6,12,21,10,,9,6,7,7,,6
2015-06-03,92,17,30,25,19,14,24,,,7,12,24,10,,11,6,8,8,,6
2015-06-04,97,23,33,26,19,17,24,,8,8,14,27,11,,10,8,8,8,,
2015-06-05,142,58,34,46,31,45,28,,28,32,24,43,,21,24,20,20,,22,
2015-06-06,141,56,34,45,28,44,27,,27,30,25,39,,21,23,18,18,,20,
2015-06-07,141,55,33,46,31,45,27,,26,31,25,41,,20,24,19,19,,20,
2015-06-08,142,55,32,47,31,45,26,,26,31,25,41,,20,24,19,19,,20,
2015-06-09,110,52,33,38,25,37,18,,27,27,21,40,,21,21,18,19,,21,
2015-06-10,77,49,33,31,25,32,15,,27,26,16,42,,19,19,15,18,,22,
2015-06-11,74,53,33,29,23,32,15,,25,26,16,40,,19,18,15,16,,18,
2015-06-12,144,56,33,43,30,36,23,,25,26,23,40,,21,23,18,20,,18,
2015-06-13,142,53,37,41,31,31,21,,25,24,25,38,,20,23,17,20,,17,
2015-06-14,147,56,37,43,31,32,20,,25,25,23,33,,20,25,18,21,,18,
2015-06-15,144,57,36,42,27,30,22,,25,25,23,33,,20,23,18,20,,18,
2015-06-16,147,47,35,42,28,26,23,,25,22,21,38,16,19,21,16,16,,,
2015-06-17,159,58,37,44,34,35,26,,26,25,26,41,,21,26,19,19,,20,
2015-06-18,156,60,37,43,32,34,30,,27,25,26,44,,21,26,18,18,,22,
2015-06-19,150,57,38,42,27,29,31,,27,25,26,42,,21,25,16,16,,21,
2015-06-20,145,62,39,41,28,31,32,,28,25,24,38,18,19,23,18,,,20,
2015-06-21,147,59,38,43,28,30,32,,28,27,24,39,18,21,23,18,,,19,
2015-06-22,133,58,39,43,29,31,30,,26,27,24,21,18,21,21,18,,,19,
2015-06-23,132,60,37,45,34,35,30,,26,28,24,23,18,21,22,15,15,,,
2015-06-24,146,62,37,45,32,39,32,,26,30,25,21,22,21,22,18,,18,,
2015-06-25,144,60,35,43,32,39,32,,26,30,22,22,22,20,22,18,,18,,
2015-06-26,139,59,37,43,31,39,32,,23,29,20,23,23,20,21,18,,18,,
2015-06-27,147,58,37,41,40,35,33,,25,28,23,20,23,20,19,16,16,,,
2015-06-28,146,56,35,40,37,35,32,29,25,29,23,19,21,19,20,19,,,,
2015-06-29,147,56,35,39,37,34,32,29,25,29,22,19,20,19,19,19,,,,
2015-06-30,150,54,36,34,32,31,31,30,26,26,22,21,20,17,17,17,,,,
