date,Munich,"Frankfurt Am Main",Cologne,Stuttgart,Hamburg,Berlin,Nürnberg,Hannover,Essen,Bielefeld,Erfurt,"See More",Saarbrücken,Kiel,Braunschweig,Dresden,Leipzig,Mannheim,Ulm,Karlsruhe,Chemnitz,Kassel,Regensburg,Freiburg,Würzburg,Dortmund
2015-05-27,267,231,239,177,116,108,41,44,31,39,,21,,,30,21,36,38,,,,,,,,
2015-05-27,254,232,230,186,104,109,41,43,29,36,,20,,,28,20,35,37,,,,,,,,
2015-05-28,252,226,230,186,104,108,38,44,28,35,,20,,,28,20,35,40,,,,,,,,
2015-05-28,252,225,232,187,104,107,38,44,28,34,,20,,,28,20,35,40,,,,,,,,
2015-05-29,270,231,244,200,109,112,39,44,26,37,,22,,,22,22,35,42,,,,,,,,
2015-05-30,275,231,243,199,111,116,42,,,37,16,5,,,,22,,,,,,5,,9,,
2015-05-31,280,223,243,203,123,108,48,47,23,37,,20,,,21,,32,41,,,,,,,,20
2015-06-01,286,220,246,200,123,112,47,47,24,39,,21,,,22,,33,41,,,,,,,,21
2015-06-02,281,217,233,198,120,110,45,47,22,37,,20,,,20,,29,41,,,,,,,,20
2015-06-03,301,218,239,204,135,119,55,52,31,36,,19,,,26,,42,44,,,,,,,,19
2015-06-04,311,241,245,197,138,130,60,54,28,40,,24,,,47,,39,41,,,,,24,,,
2015-06-05,288,198,245,183,134,127,55,,,33,12,8,,8,,15,,,,,,8,,,,
2015-06-06,307,229,241,190,137,131,67,53,28,34,,24,,,48,,41,45,,,,,24,,,
2015-06-07,309,232,213,187,133,131,65,54,47,36,,24,,,50,,42,42,,,,,24,,,
2015-06-08,310,228,214,180,128,132,64,56,43,37,,25,,,51,,41,40,,,,,25,,,
2015-06-09,300,228,237,179,137,142,54,,,38,14,14,,,,18,,,14,17,,,,,,
2015-06-10,295,225,234,176,130,146,50,,,38,14,12,,,52,18,,,,12,,,,,,
2015-06-11,349,241,240,217,148,163,63,,,40,15,12,,,53,,,,22,23,,,,21,12,
2015-06-12,344,237,241,217,147,149,62,,,39,16,13,,,21,,,,21,22,,,,21,13,
2015-06-13,341,234,228,210,135,148,70,,,36,14,13,,,19,16,,,20,,,,,21,13,
2015-06-14,332,233,231,213,126,138,61,59,47,37,,24,,,,,40,41,,24,,,24,,,
2015-06-15,347,242,233,210,130,147,63,,,37,16,13,,,26,17,,,20,,,,,22,13,
2015-06-16,356,232,227,216,126,154,62,59,52,35,,24,,,53,,41,39,,,,,24,,,
2015-06-17,351,224,217,212,131,145,60,52,48,36,,23,,,53,,38,37,,23,,,,,,
2015-06-18,344,237,220,203,131,158,60,,,35,13,11,,,,16,,,20,,,11,,,,
2015-06-19,340,234,216,196,121,152,58,,,35,12,7,,7,,17,,,20,,,10,,,,
2015-06-20,331,232,225,201,122,152,53,,,37,13,6,,6,,18,,,19,,,11,,,,
2015-06-21,353,235,236,209,125,154,55,,,39,13,7,,7,,20,,,22,,,11,,,,
2015-06-22,354,239,227,205,124,154,56,,,39,14,7,,7,,21,,,,,,10,,,,
2015-06-23,315,237,205,191,104,139,55,53,40,37,,21,,,53,21,44,37,,,,,,,,
2015-06-24,302,241,215,190,113,142,55,,,36,15,10,,,,19,,,20,,,10,,,,
2015-06-25,290,232,197,182,100,133,55,54,38,33,,20,,,51,,46,37,20,,,,,,,
2015-06-26,293,239,204,178,101,139,54,53,42,34,,22,,,52,,47,38,,22,,,,,,
2015-06-27,325,268,234,201,144,159,73,,42,40,14,14,,,,19,,,,,15,,,,,
2015-06-28,306,255,219,190,110,136,58,,49,33,13,13,,,,17,,,,,,,,,,
2015-06-29,299,230,191,185,107,119,55,54,48,32,,22,,,,,56,39,25,22,,,,,,
2015-06-30,299,230,199,180,109,120,56,,48,30,,10,10,,,17,,,,,,,,,,
2015-07-01,293,218,199,157,105,130,51,,,30,,10,10,,48,18,,,,,,,,,,
2015-07-02,299,223,206,177,110,133,53,,49,31,,8,10,8,,,,,,,,,,,,
2015-07-03,255,196,173,156,93,118,43,39,44,26,9,9,,,,,,,,,,,,,,
2015-07-04,296,232,203,182,113,136,61,46,48,31,13,13,,,,,,,,,,,,,,
2015-07-05,328,254,209,192,136,133,86,49,48,32,15,15,,,,,,,,,,,,,,
