date,Paris,Lyon,Rennes,Nantes,Lille,Montpellier,Nice,Toulouse,Grenoble,Rouen,Tours,Orléans,"See More","La Rochelle",Marseille,Bordeaux,Metz,Amiens,Chambéry,"Perpignan (Perpinyà)",Limoges,Dijon,Strasbourg
2015-05-27,355,20,11,,20,7,10,20,8,9,,7,7,7,15,,,,,8,9,,
2015-05-27,357,20,11,,20,9,10,20,8,9,,7,7,7,15,,,,,8,9,,
2015-05-28,353,21,11,,19,10,11,20,8,9,,7,7,,16,7,,,,8,9,,
2015-05-28,356,21,11,,20,10,11,21,8,10,,,7,,15,7,,,,9,9,10,
2015-05-29,364,18,11,7,18,11,13,21,9,10,,,7,,17,7,,,,,8,10,
2015-05-30,328,19,10,,17,11,12,21,10,9,,,7,,20,8,,7,,8,,10,
2015-05-31,329,19,12,,16,11,11,21,11,9,,8,8,,19,8,,,,9,,10,
2015-06-01,312,14,10,7,16,11,10,17,10,9,,,7,,17,10,,,,8,,10,
2015-06-02,305,13,10,9,16,9,,16,,,,,9,,18,11,,,,,,9,
2015-06-03,348,19,12,9,19,12,14,18,12,9,,,8,,20,13,,,,8,,9,
2015-06-04,363,18,11,9,19,11,15,20,16,8,,,8,,20,13,,,,,,11,11
2015-06-05,332,17,9,9,15,11,10,19,16,,,,8,8,17,14,,,,,,12,9
2015-06-06,328,19,10,9,15,11,,18,17,,,,7,10,19,15,,,,8,,11,7
2015-06-07,322,19,10,9,14,11,7,17,16,,,,7,11,20,15,,,,8,,11,
2015-06-08,315,18,9,10,14,10,,16,15,,,7,7,9,20,15,,,,7,,9,
2015-06-09,331,20,9,16,15,10,,17,14,,,7,7,9,19,15,,,,,,9,9
2015-06-10,335,19,10,14,15,10,6,17,15,,,,6,6,17,15,,,,,7,,9
2015-06-11,316,20,11,13,15,10,,16,15,,,7,6,6,18,14,,,,,8,,9
2015-06-12,311,23,11,15,15,9,6,15,16,,,,6,6,19,12,,,,,9,,7
2015-06-13,307,22,11,15,16,7,6,17,14,,,,6,7,16,11,,,,,9,,6
2015-06-14,310,21,11,15,17,7,7,17,13,,,6,6,7,16,11,,,,,9,,
2015-06-15,308,20,11,18,17,,10,17,13,,,,9,11,17,12,,,,9,9,9,
2015-06-16,348,21,11,17,18,,10,18,15,,,,9,12,19,13,,,,11,9,9,
2015-06-17,329,21,11,14,17,6,8,18,,,,,6,,18,13,,,,,,,
2015-06-18,366,21,15,16,18,9,11,20,14,9,,,9,,19,15,,,,11,10,,
2015-06-19,346,23,15,13,15,8,11,19,,,,,8,,20,13,,,,,,10,
2015-06-20,332,20,15,15,15,8,12,18,,,,,8,,20,14,,,,,,,
2015-06-21,331,19,14,14,15,8,12,18,,,,,8,,20,14,,,,,,,
2015-06-22,353,22,14,16,17,9,11,22,13,,,,8,,19,12,,,,12,10,8,
2015-06-23,336,24,13,13,16,8,10,20,,9,,,8,,18,10,,,,,,10,
2015-06-24,347,25,12,16,15,8,12,20,12,,,,8,,17,9,,,,11,9,9,
2015-06-25,324,24,12,14,14,6,9,26,,,,,6,,16,10,,,,,,9,
2015-06-26,320,22,12,15,13,8,9,26,,,,,8,,20,12,,,,,,9,
2015-06-27,317,21,12,11,11,8,9,23,13,,,,8,8,20,12,,,,10,8,,
2015-06-28,321,21,12,13,11,9,9,23,12,8,,,8,,17,12,,,,12,8,,
2015-06-29,399,29,13,15,17,16,13,28,,,5,,5,,19,19,5,,9,,,,
2015-06-30,347,23,14,19,14,9,,22,,,5,,5,,18,14,,,7,,,,
2015-07-01,359,23,12,20,12,10,,17,,,5,,5,,17,15,,7,,,,,
2015-07-02,377,23,14,19,13,11,12,17,,,5,,5,,16,15,,9,,,,,
2015-07-03,415,24,24,24,17,14,9,23,,,5,,5,,18,20,6,10,,,,,
2015-07-04,418,24,24,26,17,14,9,23,,,5,,5,,18,20,6,10,,,,,
2015-07-05,438,23,24,25,18,15,8,24,,,7,,6,,20,20,6,11,,,,,
2015-07-06,442,23,24,26,18,15,8,24,,,7,,6,,20,19,6,11,,,,,
2015-07-07,434,27,24,25,16,15,8,25,,,6,,6,,19,24,,12,,,,,
2015-07-08,473,33,24,27,21,21,12,23,,,8,,7,,19,25,7,,,,,,
2015-07-09,430,33,23,19,18,13,8,23,,,6,,6,,17,,6,14,,,,,
2015-07-10,448,35,21,19,19,15,8,23,14,,7,,6,,17,,6,,,,,,
2015-07-11,484,38,22,22,21,23,12,22,13,,8,,8,,19,22,,,,,,,
2015-07-12,479,36,23,22,21,21,14,23,14,,11,,11,,23,22,,,,,,,
2015-07-13,486,36,22,21,21,22,12,23,13,11,9,,9,,22,22,,,,,,,
2015-07-14,491,35,22,21,21,25,12,22,13,11,9,,9,16,19,,,,,,,,
2015-07-15,486,36,22,22,22,24,13,23,13,11,9,,9,14,19,,,,,,,,
2015-07-16,475,35,22,22,21,24,,23,13,10,9,,9,14,,,,,,,,,
2015-07-17,472,36,24,21,20,24,17,23,13,12,9,,9,19,,,,,,,,,
2015-07-18,466,36,22,21,20,23,16,19,14,12,9,,9,19,,,,,,,,,
2015-07-19,467,36,23,21,19,23,18,18,15,13,9,,9,19,,,,,,,,,
2015-07-20,472,38,23,22,21,21,18,18,14,12,8,6,6,,,,,,,,,,
