date,London,Birmingham,Reading,Slough,Manchester,Bristol,Cambridge,Glasgow,Coventry,Guildford,Twickenham,Nottingham,Oxford,Luton,"See More",Edinburgh,Southall,Tonbridge,"Southend on Sea",Swindon,Liverpool,Redhill,"Kingston upon Thames","Milton Keynes",Ipswich,Brighton,"Hemel Hempstead","St Albans",Southampton,Warrington,Sheffield,Preston,Portsmouth,Leeds,Chelmsford
2015-03-11,390,15,27,49,14,24,24,14,,25,14,16,15,,14,15,23,,,,,,,,,,,,,,,,,,
2015-03-12,409,16,26,36,19,24,23,14,,27,14,15,15,,14,23,24,,,,,,,,,,,,,,,,,,
2015-03-16,456,14,26,37,26,23,24,,,28,17,17,18,,14,26,29,,,,,,,,,14,,,,,,,,,
2015-03-18,464,15,23,37,29,23,25,,,27,19,18,19,,15,26,27,,,,,,,,,15,,,,,,,,,
2015-03-18,470,15,23,37,29,23,25,,,28,19,18,19,,15,26,27,,,,,,,,,15,,,,,,,,,
2015-03-19,475,17,26,37,32,24,26,,,27,19,18,19,,17,29,27,,,,,,,,,17,,,,,,,,,
2015-03-20,504,15,29,37,40,27,29,,,25,19,18,19,,15,37,18,,,,,,,,,17,,,,,,,,,
2015-03-21,501,17,25,37,33,27,28,,,25,19,19,18,,16,30,27,,,,,,,,,16,,,,,,,,,
2015-03-22,497,17,25,37,33,27,27,,,25,19,19,18,,16,30,27,,,,,,,,,16,,,,,,,,,
2015-03-23,502,16,26,34,33,27,24,,,24,19,17,18,,16,30,27,,,,,,,,,16,,,,,,,,,
2015-03-24,488,19,28,36,31,28,21,20,,24,21,,18,,17,33,27,,,,,,,,,17,,,,,,,,,
2015-03-25,485,19,31,34,33,28,20,18,,21,21,,17,,17,32,28,,,,,,,,,17,,,,,,,,,
2015-03-26,487,16,30,33,31,29,21,18,,23,20,,19,,16,26,28,,,,,,,,,17,,,,,,,,,
2015-03-27,487,16,33,33,31,33,22,17,,24,21,,17,,16,26,27,,,,,,,,,18,,,,,,,,,
2015-03-28,472,14,34,35,32,34,22,17,,24,20,,16,,14,26,25,,,,,,,,,18,,,,,,,,,
2015-03-29,467,15,32,35,33,34,23,17,,26,19,,16,,15,26,24,,,,,,,,,18,,,,,,,,,
2015-03-30,471,14,34,35,29,34,23,17,,23,19,,,,14,25,23,,,,,,,,,18,,,,,,,,15,
2015-03-31,468,,33,33,37,34,23,17,,24,19,,13,,13,38,24,,,,,,,,,17,,,,,,,,16,
2015-04-01,463,17,39,37,33,34,28,16,,26,21,,19,,16,26,26,,,,,,,,,19,,,,,,,,,
2015-04-02,457,19,36,33,34,34,26,16,,23,20,,19,,16,23,25,,,,,,,,,19,,,,,,,,,
2015-04-03,455,20,34,33,43,27,26,,,23,21,,18,,18,26,24,,,,,,,,,20,18,,,,,,,,
2015-04-04,459,18,36,32,45,25,26,17,,24,21,,18,,17,26,24,,,,,,,,,20,,,,,,,,,
2015-04-05,438,20,37,31,50,20,21,,,23,21,,18,,17,33,24,,,,,,,,,18,17,,,,,,,,
2015-04-06,448,20,38,33,44,19,21,,,24,20,,18,,17,26,23,,,,,,,,,17,17,,,,,,,,
2015-04-07,457,22,36,32,45,22,24,,,25,22,,17,,14,27,22,,,,,,,,,16,,,,,,,,,14
2015-04-08,459,23,37,33,43,25,26,,,29,21,19,17,,17,26,21,,,,,,17,,,,,,,,,,,,
2015-04-09,443,21,37,35,41,23,25,,,27,23,20,18,,16,25,21,,,,,,,,,16,,,,,,,,,
2015-04-10,440,21,38,35,41,23,28,,,26,23,20,18,,16,24,22,,,,,,,,,16,,,,,,,,,
2015-04-11,454,19,35,37,44,22,26,,,29,26,20,18,,16,24,22,,,,,,,,,,,,,,,,,,16
2015-04-12,447,19,35,37,44,22,27,,,28,25,19,18,,16,24,22,,,,,,,,,,,,,,,,,,16
2015-04-13,443,18,35,35,46,23,27,,,29,26,18,18,,16,24,22,,,,,,,,,16,,,,,,,,,
2015-04-14,452,,37,34,47,25,30,16,,32,23,18,19,,16,25,21,,,,,,,,,16,,,,,,,,,
2015-04-15,451,,39,35,43,26,31,,,34,18,19,20,,16,22,21,,,,,18,,,,16,,,,,,,,,
2015-04-16,449,,30,37,40,26,32,16,,32,18,20,,,16,25,21,,,,,17,,,,18,,,,,,,,,
2015-04-17,457,,35,38,32,26,30,,,34,18,21,,,17,19,20,,,,,18,,,,18,,,,,,,,17,
2015-04-18,569,22,55,42,53,34,33,,23,37,,23,,,22,30,,,,,,26,,,,,,,,,,,,24,26
2015-04-19,655,29,63,45,54,40,36,,32,42,,25,,,25,32,,,,,,31,,,,,,,,,,,,33,27
2015-04-20,657,29,64,45,57,40,37,,31,45,,,,,25,31,,,,,,28,,,,,25,,,,,,,34,28
2015-04-21,456,,30,34,32,25,29,,,29,17,21,,,13,13,20,,,14,,,,,,18,,,,,,,14,,
2015-04-22,453,14,31,36,32,26,29,,,29,19,21,,,13,13,19,,,,,,,,,16,,,,,,,14,,
2015-04-23,448,14,30,36,33,27,30,14,,31,21,20,,,14,14,20,,,,,,,,,16,,,,,,,,,
2015-04-24,451,16,28,36,33,28,31,,,30,22,23,,,15,16,21,,,,,,15,,,15,,,,,,,,,
2015-04-25,448,16,36,34,33,28,31,,,28,20,24,,,14,15,20,,,,,,14,,,15,,,,,,,,,
2015-04-26,444,16,40,35,33,29,29,,,27,21,23,,,14,15,21,,,,,,14,,,15,,,,,,,,,
