date,London,Birmingham,Reading,Bristol,Manchester,Coventry,Cardiff,Leeds,Edinburgh,Glasgow,Redhill,Guildford,Oxford,Portsmouth,"See More",Cambridge,Twickenham,Belfast,Southampton,Peterborough,Sheffield,Nottingham,Liverpool,Southall,Slough,"Milton Keynes","Hemel Hempstead","Kingston upon Thames",Chelmsford,Stevenage
2015-03-11,1127,146,126,68,118,76,61,74,,67,,,66,,56,69,,,,,56,,,,79,60,,,,
2015-03-12,1187,186,141,79,139,93,83,89,,,,,85,,64,73,,,,,67,,,,76,73,,,64,
2015-03-16,1184,181,134,80,147,98,76,93,,68,,,88,,68,76,,,,,74,,,,80,80,,,,
2015-03-18,1161,158,127,79,125,67,65,91,,62,,,83,,62,72,,,,,72,62,,,82,,,,,
2015-03-18,1162,155,127,79,124,65,59,92,61,62,,,85,,59,70,,,,,69,,,,79,,,,,
2015-03-19,1197,159,128,78,126,65,61,86,,65,,,91,,61,78,,,,,62,63,,,80,,,,,
2015-03-20,1205,180,131,82,134,71,68,88,,69,,,95,,64,79,,,,,64,66,,,82,,,,,
2015-03-21,1196,180,132,81,133,71,68,89,,69,,,94,,65,80,,,,,65,66,,,81,,,,,
2015-03-22,1186,177,132,81,132,71,68,89,,69,,,94,,65,79,,,,,65,66,,,79,,,,,
2015-03-23,1197,176,136,81,132,69,69,87,,72,,,91,,64,78,,,,,64,67,,,74,,,,,
2015-03-24,1130,163,134,74,117,61,,85,62,73,,,78,,59,75,,,,,,64,,,79,59,,,,
2015-03-25,1140,177,141,74,120,,,89,64,72,,65,86,,63,74,,,,,63,66,,,79,,,,,
2015-03-26,1143,180,140,70,118,,,80,,66,,72,92,,61,77,,,,,62,61,,,80,,61,,,
2015-03-27,1113,173,145,72,111,60,60,,,62,,70,86,,55,,,,,55,61,67,,,78,,,,,
2015-03-28,1086,175,141,75,106,63,,72,,62,,67,88,,53,,,,,53,67,,,,77,,58,,,
2015-03-29,1109,173,144,72,105,65,,75,,64,,68,89,,64,77,,,,,70,69,,,79,,,,,
2015-03-30,1105,167,145,73,105,68,62,72,,,,69,86,,62,77,,,,,68,69,,,78,,,,,
2015-03-31,1059,151,137,72,91,65,,63,,61,,66,76,,58,,,,,,66,65,,,85,,58,,,
2015-04-01,1108,163,154,76,96,75,,70,,,,77,88,,66,66,,,,,67,66,,,85,,67,,,
2015-04-02,1074,160,152,73,88,72,,67,,,,74,86,,63,67,,,,,65,64,,,86,,63,,,
2015-04-03,1081,163,148,68,91,75,60,73,,,,74,88,,60,69,,,,,70,63,,,86,,,,,
2015-04-04,1102,163,154,67,95,75,61,75,,,,75,91,,61,70,,,,,68,,,,87,,66,,,
2015-04-05,1099,170,166,73,95,78,,85,,,,87,103,,68,73,,,,,73,68,,,93,,68,,,
2015-04-06,1091,149,166,70,86,76,,83,,,,81,100,,66,75,,,,,69,66,,,88,,68,,,
2015-04-07,1091,151,162,79,87,77,,78,,,,100,104,,73,87,,,,,73,73,,,86,73,,,,
2015-04-08,1088,143,153,86,92,74,71,,,,83,97,98,,71,111,,,,,,,,,83,93,,,,76
2015-04-09,1072,163,151,92,92,79,,73,,,79,91,95,,73,105,,,,,,79,,,80,94,,,,
2015-04-10,1080,166,146,92,88,83,,74,,,78,91,97,,74,107,,,,,,79,,,78,95,,,,
2015-04-11,1112,155,150,98,84,80,79,83,,,79,110,103,,79,102,,,,,,,,,79,95,,,,
2015-04-12,1101,155,150,98,83,80,79,82,,,79,110,101,,79,102,,,,,,,,,79,95,,,,
2015-04-13,1103,154,152,99,84,80,80,83,,,,112,99,,77,103,,,,,,77,,,80,94,,,,
2015-04-14,1055,118,144,93,82,,,87,,,74,112,87,,67,95,,,,,67,,,,76,86,,,69,
2015-04-15,1072,146,143,98,81,78,,87,,,76,113,102,,71,94,,,,,,,,,77,91,,,71,
2015-04-16,1073,133,147,89,99,75,,78,,,71,104,102,,69,94,,,,,,,,,79,94,,,69,
2015-04-17,1135,143,163,91,103,78,,86,,,73,106,116,,69,99,,,,,,,,,85,96,,,69,
2015-04-18,1498,191,208,128,145,104,,117,,,104,115,166,,103,124,,,,,,,,,103,109,103,,,
2015-04-19,1712,223,244,138,165,130,,145,,,128,141,187,,119,148,,,,,,,,,119,134,124,,,
2015-04-20,1718,216,234,135,163,131,,134,,,126,135,178,,118,148,,,,,,,,,118,132,121,,,
2015-04-21,1118,149,157,80,109,78,,81,,,66,87,98,,66,100,,,,,,,,,71,87,,,71,
2015-04-22,1100,145,147,82,106,77,,77,,,,74,96,,61,97,,,,,,,,,67,88,61,,64,
2015-04-23,1116,154,143,84,109,85,,74,,,,72,91,,63,96,,,,,,70,,,68,81,,,63,
2015-04-24,1138,154,142,85,106,86,65,73,,,,74,93,,65,98,,,,,,72,,,68,80,,,,
2015-04-25,1142,162,141,83,113,90,,75,,,,75,91,,67,99,,,,,,72,,,69,84,,,67,
2015-04-26,1137,160,141,83,112,92,76,74,,,,75,92,,68,94,,,,,,69,,,68,84,,,,
2015-04-27,1139,159,139,86,109,90,77,76,,,,76,92,,69,96,,,,,,69,,,70,85,,,,
2015-04-28,1160,161,137,89,112,94,81,75,,,,76,95,,70,94,,,,,,,,,71,91,,,70,
2015-04-29,1178,160,142,89,111,91,79,75,,,,73,98,,70,95,,,,,,70,,,72,92,,,,
2015-04-30,1200,159,135,90,111,87,81,76,,,69,77,102,,69,95,,,,,,71,,,,95,,,,
2015-05-01,1210,157,147,92,108,84,86,75,,,77,80,98,,72,101,,,,,,72,,,,96,,,,
2015-05-02,1229,173,147,93,109,82,92,71,,,81,86,104,,71,102,,,,,,83,,,,100,,,,
2015-05-03,1214,153,150,89,107,79,87,67,,,83,83,105,,67,90,,,,,,84,,,,97,,,,
2015-05-04,1190,147,139,74,88,76,80,,67,,80,81,90,,67,88,,,,,,85,,,,83,,,,
2015-05-05,1162,146,137,75,84,73,85,,66,,82,82,85,,66,85,,,,,,84,,,,83,,,,
2015-05-06,1180,165,143,79,93,78,87,,69,,84,82,86,,69,86,,,,,,80,,,,84,,,,
2015-05-07,1168,166,149,79,95,81,89,71,,,84,83,81,,71,90,,,,,,83,,,,85,,,,
2015-05-08,1194,164,147,73,101,80,89,,68,,81,86,77,,68,92,,,,,,82,,,,82,,,,
2015-05-09,1192,154,151,77,101,81,84,,71,,78,89,77,,71,98,,,,,,81,,,,88,,,,
2015-05-10,1190,151,146,75,102,75,,69,69,,93,90,75,,69,99,,,,,,80,,,,91,,,,
2015-05-11,1212,155,154,80,107,79,,71,71,,90,92,75,,71,104,,,,,,76,,,,97,,,,
2015-05-12,1269,157,154,77,119,81,72,,74,,95,94,81,,72,103,,,,,,80,,,,101,,,,
2015-05-13,1269,154,157,78,118,80,,74,76,,97,96,77,,74,103,,,,,,84,,,,96,,,,
2015-05-14,1277,174,154,76,118,83,,82,82,,110,101,75,,75,92,,,,,,82,,,,94,,,,
2015-05-15,1277,168,155,74,122,82,,84,83,,100,95,72,,72,100,,,,,,88,,,,87,,,,
2015-05-16,1272,161,152,80,118,90,71,82,82,,110,94,,,71,95,,,,,,85,,,,94,,,,
2015-05-17,1274,162,148,80,113,90,71,87,82,,114,102,,,71,98,,,,,,84,,,,93,,,,
2015-05-18,1228,146,144,72,106,83,61,71,78,,113,100,,,61,94,,,,,,70,,,,82,,,,
2015-05-19,1265,151,141,82,112,81,,76,82,,124,109,,,67,102,,,,,,80,,,,89,,67,,
2015-05-20,1278,149,151,88,107,76,65,78,86,,102,88,,,65,102,,,,,,77,,,,75,,,,
2015-05-21,1279,139,153,96,104,78,,70,86,,100,96,69,,69,99,,,,,,80,,,,80,,,,
2015-05-22,1315,135,158,92,102,82,70,74,86,,94,86,,,70,105,,,,,,80,,,,76,,,,
2015-05-23,1299,140,157,93,95,83,72,71,87,,94,88,,,71,108,,,,,,79,,,,80,,,,
2015-05-24,1250,130,151,88,97,85,,,90,,84,91,75,,70,105,,,,,,71,,,,77,70,,,
2015-05-25,1225,128,147,91,95,86,,,87,,81,91,78,,67,108,,,,,,67,,,,74,73,,,
2015-05-26,1207,117,136,90,96,84,,,85,,81,91,83,,60,107,,,,,,60,,,,73,67,,,
2015-05-27,1205,116,137,89,95,84,,59,82,,81,93,83,,59,108,,,,,,,,,,72,67,,,
2015-05-27,1183,110,134,86,89,83,60,,81,,76,93,82,,60,107,,,,,,,,,,73,64,,,
2015-05-28,1237,110,140,88,101,87,63,62,76,,88,99,81,,62,110,,,,,,,,,,75,,,,
2015-05-29,1251,113,150,91,102,87,67,,65,,86,103,80,,65,107,,,,,,67,,,,75,,,,
2015-05-30,1186,129,139,73,93,82,65,,66,,88,96,69,,64,99,,,,,,64,,,,68,,,,
2015-05-31,1200,132,143,77,90,81,73,,66,,93,103,70,,66,100,,,,,,71,,,,70,,,,
2015-06-01,1171,134,140,80,83,85,70,,63,,90,100,63,,63,100,,,,,,69,,,,65,,,,
2015-06-02,1188,131,148,88,83,89,71,,65,,89,102,68,,64,96,,,,,,70,,,,64,,,,
2015-06-03,1215,137,154,88,83,91,72,,63,,94,104,72,,63,99,,,,,,75,,,,72,,,,
2015-06-04,1234,131,161,87,86,94,79,,61,,99,104,84,,61,106,,,,,,82,,,,81,,,,
2015-06-05,1259,129,167,90,86,93,77,,63,,93,107,83,,63,107,,,,,,78,,,,74,,,,
2015-06-06,1267,130,169,92,88,93,78,,,64,94,110,81,,64,108,,,,,,77,,,,74,,,,
2015-06-07,1235,130,160,80,91,82,67,,64,62,80,80,85,,62,89,,,,,,72,,,,,,,,
2015-06-08,1230,126,160,72,94,91,58,,63,60,75,74,86,,58,85,,,,,,65,,,,,,,,
2015-06-09,1253,140,160,73,91,93,,,62,,68,71,84,,41,79,41,50,,,,,,,51,,,,,
2015-06-10,1298,141,150,77,99,104,,59,64,,64,68,83,,59,75,,,,,61,64,,,,,,,,
2015-06-11,1290,148,152,78,99,98,,,70,,,70,74,,30,77,39,51,,,,,30,,53,,,,,
2015-06-12,1322,149,171,76,99,102,,,67,,,73,74,,33,76,39,53,,,,,33,,55,,,,,
2015-06-13,1318,132,170,78,111,101,66,59,68,59,,73,76,,59,75,,,,,,68,,,,,,,,
2015-06-14,1251,129,153,74,102,95,,,66,54,,63,75,,26,71,,46,,,,,26,35,,,,,,
2015-06-15,1276,128,155,79,101,97,56,56,66,55,,64,76,,55,67,,,,,,63,,,,,,,,
2015-06-16,1265,134,158,80,100,95,,,69,,,59,79,,28,67,38,43,,49,,,28,,,,,,,
2015-06-17,1241,135,147,74,100,91,,,74,,49,59,70,,34,61,36,,34,49,,,,,,,,,,
2015-06-18,1215,132,138,,101,92,52,59,70,58,,62,68,,52,58,,,,,57,54,,,,,,,,
2015-06-19,1193,137,143,66,95,84,,,70,54,49,61,64,,31,57,31,,,47,,,,,,,,,,
2015-06-20,1196,142,144,62,93,93,,,67,,49,58,61,,32,58,32,38,,43,,,,,,,,,,
2015-06-21,1188,140,140,60,92,91,,,65,,49,58,59,,33,56,33,38,,42,,,,,,,,,,
2015-06-22,1161,139,126,,86,90,66,58,64,52,53,57,56,51,51,,,,,,54,,,,,,,,,
2015-06-23,1179,148,150,83,88,93,,,68,,60,61,56,,32,58,,36,32,42,,,,,,,,,,
2015-06-24,1223,151,150,89,92,91,,,69,,65,63,57,,34,57,44,38,34,,,,,,,,,,,
2015-06-25,1204,136,136,86,84,76,72,70,67,62,62,61,57,52,52,,,,,,,,,,,,,,,
