date,Warsaw,Wroclaw,Cracow,Poznan
2015-05-28,,,,7
2015-05-29,,,,7
2015-05-30,,,,7
2015-05-31,,,,7
2015-06-01,,,,7
2015-06-02,,,,8
2015-06-03,,,,8
2015-06-09,,,,5
2015-06-10,,,,5
2015-06-11,,,,5
2015-06-12,,,,5
2015-06-13,,,,5
2015-06-14,,,,5
2015-06-15,,,,5
2015-06-16,,,,5
2015-06-17,,,,5
2015-06-26,7,,,
2015-06-27,12,,,
2015-06-28,16,,,
2015-06-29,17,,5,
2015-06-30,17,,5,
2015-07-01,17,,5,
2015-07-02,15,,6,
2015-07-03,16,,6,
2015-07-04,16,,6,
2015-07-05,15,,6,
2015-07-07,15,,6,
2015-07-08,17,,6,
2015-07-09,16,,6,
2015-07-10,16,,,
2015-07-11,21,,,
2015-07-12,20,,,
2015-07-13,13,,,
2015-07-14,14,,,
2015-07-15,13,,,
2015-07-16,15,,,
2015-07-17,16,8,,
2015-07-18,14,8,,
