date,Microsoft,"Arca24.com SA","Takeda Pharmaceutical Company Ltd",blue-infinity,"Johnson &amp; Johnson"
2015-05-28,,,6,5,6
2015-05-28,,,6,8,6
2015-05-29,,,6,8,6
2015-05-30,,,6,8,6
2015-05-31,,,6,8,6
2015-06-01,,,6,8,6
2015-06-02,,,6,8,6
2015-06-03,,,6,8,6
2015-06-04,,5,6,8,5
2015-06-05,,5,6,8,5
2015-06-06,,5,6,6,5
2015-06-07,,6,6,6,5
2015-06-08,,6,6,6,5
2015-06-09,,6,6,7,5
2015-06-10,,7,6,7,
2015-06-11,,7,6,7,
2015-06-12,,7,6,7,
2015-06-13,,6,6,7,
2015-06-14,,6,6,7,
2015-06-15,,6,6,7,
2015-06-16,,6,6,6,
2015-06-17,,6,6,,
2015-06-18,,8,6,,
2015-06-19,,8,6,5,
2015-06-20,,8,6,,
2015-06-21,,9,6,,
2015-06-22,,9,6,5,
2015-06-23,,9,6,5,
2015-06-24,,9,6,5,
2015-06-25,,9,6,5,
2015-06-26,,10,6,5,
2015-06-27,,10,6,,
2015-06-28,,8,6,,
2015-06-29,,8,6,,
2015-06-30,,8,7,,
2015-07-01,,8,6,,
2015-07-16,5,,,,
