date,"Sopra Steria","Dassault Systèmes",Atos,Criteo,"Tableau Software","Sword France",IBM,Ysance,Micropole,"See More",Sogeti,Capgemini,"Rocket Internet SE",Splunk,"Cegid Group",Oracle,"BNP Paribas",Expertime,EXPERTIME,"Johnson &amp; Johnson","Schneider Electric","BIME Analytics","Proelan - Sophia Antipolis","MCNEXT Groupe","Confidential Company - Undisclosed",Keyrus
2015-05-27,,,,7,6,7,5,,5,5,,,11,,,,,,,7,,5,,,,10
2015-05-27,,,,7,6,7,,,5,5,,,11,,,,,,,7,,5,,,,10
2015-05-28,,,,7,6,7,,,6,5,,,9,,,,,,,7,,5,,,,10
2015-05-28,,,,7,6,7,,,6,5,,,9,,,,,,,7,,5,,,,9
2015-05-29,,,,7,6,7,,5,,5,,,8,,,,,,,7,,5,,5,,9
2015-05-30,,,,8,6,7,,7,,5,,,10,,,,,,,7,,5,,5,8,
2015-05-31,,,,,6,7,,7,,,,,,,,,,,,,,5,,,,
2015-06-01,,,,8,6,7,,10,6,5,,,10,,,,,,,7,,5,7,5,,
2015-06-02,,,,8,6,7,,10,6,5,,,10,,,,,,,7,,5,7,5,,
2015-06-03,,5,,9,6,7,,10,6,5,,,11,,,,,,,7,,5,7,5,,
2015-06-04,5,5,,9,6,7,,10,6,5,,,11,,,,,,,7,,5,7,5,,
2015-06-05,,5,,9,6,7,,10,6,5,,,11,,,,,,,8,,5,7,,,
2015-06-06,,5,,9,6,7,,10,6,5,,,11,,,5,,,,7,,5,,,,
2015-06-07,,5,,9,6,6,,10,6,5,,,11,,,5,,,,7,,5,,,,
2015-06-08,,8,,9,6,7,,5,6,5,,,11,,,5,,,,7,,5,,,,
2015-06-09,,8,,8,6,7,,5,6,5,,,11,5,,5,,,,7,,5,,,,
2015-06-10,,7,,,6,7,,5,6,5,,,,5,,5,,,,,,5,,,,
2015-06-11,,7,,8,6,7,,5,6,5,,,11,,,5,5,,,7,5,,,,,
2015-06-12,,7,,,6,7,,5,5,5,,,,,,5,,,,,,,,,,
2015-06-13,,7,,,6,7,,5,5,5,,,,,,5,,,,,,,,,,
2015-06-14,,7,,,6,7,,5,5,5,,,,,,5,,,,,,,,,,
2015-06-15,,7,,8,6,7,,5,5,5,,,12,,,,,5,,7,,,,,,
2015-06-16,,7,,7,6,7,,5,5,5,,,11,,5,,,5,,7,,,,,,
2015-06-17,,7,,,6,7,,5,5,5,,,,6,,,,,5,,,,,,,
2015-06-18,5,7,6,,6,7,6,5,5,5,,,,6,,,,,5,,,,,,,
2015-06-19,,7,6,8,6,7,6,5,5,5,,27,11,,,,,5,,,,,,,,
2015-06-20,,7,7,8,6,7,6,5,5,5,,,,,,,,,5,,,,,,,
2015-06-21,,7,7,8,6,7,6,5,5,5,,,,,,,,,5,,,,,,,
2015-06-22,8,7,7,8,6,7,6,5,5,5,,27,11,,,,5,5,,,,,,,,
2015-06-23,7,8,7,8,8,7,8,5,5,5,,,,,,,,,,,,,,,,
2015-06-24,7,8,7,,8,7,8,5,5,5,,,,,,,,,,,,,,,,
2015-06-25,8,8,7,7,8,7,8,5,5,5,,,12,,5,5,5,,,,,,,,,
2015-06-26,8,8,7,7,8,7,7,5,6,5,,,12,5,5,,,,,,,,,,,
2015-06-27,8,8,7,,8,7,7,6,6,6,,,,,,,,,,,,,,,,
2015-06-28,8,8,7,7,8,7,7,6,6,6,,,12,,,,,,,,,,,,,
2015-06-29,8,8,7,,8,7,7,6,6,6,21,,,,,,,,,,,,,,,
2015-06-30,8,8,7,7,8,7,7,6,6,6,22,27,12,,,,,,,,,,,,,
2015-07-01,8,9,7,,8,7,7,6,,6,22,,,,,,,,,,,,,,,
2015-07-02,9,9,8,8,7,7,6,6,6,6,,,,,,,,,,,,,,,,
