date,Hays,"Tableau Software",Oracle,Qlik,IBM,"Oyster Partnership",Vodafone,Xcede,"Sogeti UK","Transport for London","Altius: Understand | Model | Predict","Royal Bank of Scotland",dbg,"Talent International","ZS Associates","See More","British American Business Council New England","Confidential Company - Undisclosed","Consult Solutions",Abcam,Deloitte,"Amazon UK",Amazon,"Dow Jones",Tyco,"NGA Human Resources","IS Recruitment Ltd","CD Recruitment","Douglas Jackson","The SmartList","Experis IT","Dawson and Walsh","TheSmartList Candidate Hub","Pro-Quest Resourcing Ltd","Parker White Consulting","Head Office","1st CENTRAL","Herringbone Search","Staffworx Ltd","NHS Institute for Innovation and Improvement","Hurren &amp; Hope","Mills Goodwin Talent Network",EE,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV","The Jobs4 Network LTD",Adzuna,"Johnson &amp; Johnson","NWN Corporation",Ciber,"Incite BI","TIBCO Software Inc.",Citi
2015-03-11,,33,13,16,9,12,,16,,,,,10,11,,9,,,,20,,13,,19,13,,,,,,,,,13,,,,,12,,,,,,,,,,,32,,,,
2015-03-12,,40,13,12,10,12,,16,,,,,,11,,10,,,,20,26,13,,19,13,,,,,,,,,13,,,,,12,,,,,,,,,,,32,,,,
2015-03-16,,38,13,14,10,11,,16,,,,,,11,,10,,,,20,31,13,,10,14,,,,,,,,,,,,,,,,,,,,,,,,12,28,,,,10
2015-03-18,,38,13,20,12,,,15,,,,,11,,,11,,,,19,29,14,,11,14,,,,,,,,,,,,,,14,,,,,,,,,,11,25,,,,11
2015-03-18,,38,14,20,12,,,14,,,,,11,,,11,,,,19,29,14,,11,14,,,,,,,,,,,,,,19,,,,,,,,,,12,27,,,,11
2015-03-19,,38,14,13,12,,,13,,,,,11,11,,11,,,,19,29,14,,11,15,,,,,,,,,,,,,,13,,,,,,,,,,,27,,,,11
2015-03-20,,42,16,9,12,,,13,,,,,11,,,9,,,,19,29,14,,,14,,,,,,,,,,10,,,,15,,,,,,,,,,11,38,,,,11
2015-03-21,,42,15,9,12,,,13,,,,,11,,,9,,,,19,29,13,,,14,,,,,,,,,,10,,,,15,,,,,,,,,,11,38,,,,11
2015-03-22,,42,15,9,12,,,13,,,,,11,,,9,,,,19,29,13,,,14,,,,,,,,,,10,,,,15,,,,,,,,,,10,38,,,,11
2015-03-23,,38,16,12,12,,,14,,,,,11,,,10,,,16,19,30,13,,,14,,,,,,,,,,,,,,15,,,,,,,,,,10,38,,,11,
2015-03-24,,37,13,13,12,,,14,,,,,11,,,10,,,27,18,30,13,,,13,,,,,,,,,,,,,,15,,,,,,,,,,10,43,,,11,
2015-03-25,,37,13,13,12,,,14,,,,,,,,10,,,27,18,29,15,,,13,,,,10,,,,,,,,,,15,,,,,,,,,,10,43,,,11,
2015-03-26,12,34,12,16,12,,,14,,,,,,,,10,,,27,20,29,16,,,13,,,,10,,,,,,,,,,,,,,,,,,,,10,33,,,11,
2015-03-27,13,41,12,18,12,,,14,,,,,,,,11,,,29,19,27,16,,,15,,,,,,11,,,,,,,,,,,,,,,,,,11,33,,,11,
2015-03-28,13,42,12,18,12,,,16,,,,,,,,10,,,24,17,29,16,,,15,,,,,,12,,,,,,,,,,,,,,,,,,11,33,,,10,
2015-03-29,13,42,12,18,12,,,16,,,,,,,,10,,,21,18,29,16,,,15,,,,,,12,,,,,,,,,,,,,,,,,,10,33,,11,,
2015-03-30,13,41,12,12,12,,,16,,,,,12,,,11,,,20,18,29,16,,,15,,,,,,12,,,,,,,,,,,,,,,,,,11,33,,,,
2015-03-31,12,42,12,16,12,,,17,,,,,12,,,10,,,20,17,29,16,,,15,,,,,,12,,,,,,,,,,,,,,,,,,10,33,,,,
2015-04-01,,41,12,17,12,,,17,,,,,12,,,11,,,18,16,29,16,,,17,,,,12,,,,,,,,,,,,13,,,,,,,,11,24,,,,
2015-04-02,14,36,11,14,,,,16,,,,,14,,,11,,,17,15,27,16,,,13,,,,,,12,,,,,,,,,,15,,,,,,,,,29,13,,,
2015-04-03,16,36,11,13,13,,,16,,,,,14,,,10,,,20,15,27,15,,,16,,,,,,,,,,,,,,,,14,,,,,,,,10,36,,,,
2015-04-04,16,36,11,13,13,,,16,,,,,14,,,11,,,25,15,29,15,,,17,,,,,,12,,,,,,,,,,14,,,,,,,,,36,,,,
2015-04-05,16,37,11,13,13,,,16,,,,,14,,,11,,,22,15,28,14,,,17,,,,,,12,,,,,,,,12,,,,,,,,,,,30,,,,
2015-04-06,16,37,,14,13,,,16,,,,,14,,,12,,,21,15,29,14,,,17,,,,,,12,,,,16,,,,12,,,,,,,,,,,33,,,,
2015-04-07,15,37,,,13,,,16,,,,,14,,,13,,,22,15,30,14,,,16,,,,,,,,,,18,,18,,17,,15,,,,,,,,,32,,,,
2015-04-08,15,36,,14,13,,,16,,,,,16,,,13,,,22,15,29,14,,,17,,,,,,,,,,18,,18,,17,,17,,,,,,,,,,,,,
2015-04-09,15,34,,12,14,,,16,,,,,15,,,12,,,19,15,29,15,,,16,,,,,,13,,,,18,,18,,,,18,,,,,,,,,,,,,
2015-04-10,14,35,,,13,,,16,,,,,16,,,12,,,19,15,29,15,,,16,,,,,,13,,,,18,,18,,12,,18,,,,,,,,,,,,,
2015-04-11,14,35,,,13,,,16,,,,,15,,,13,,,23,13,29,15,,,17,,,,,,13,,,,18,,18,,13,,19,,,,,,,,,,,,,
2015-04-12,14,35,,,13,,,16,,,,,15,,,13,,,23,13,29,15,,,17,,,,,,13,,,,18,,18,,13,,19,,,,,,,,,,,,,
2015-04-13,,35,,17,13,,,16,,,,,15,,,13,,,23,13,29,15,,,17,,,,,,13,,,,18,,18,,13,,19,,,,,,,,,,,,,
2015-04-14,11,35,,,13,,,16,,,,,15,,,10,,,,13,29,15,,,16,,,,,,,,,13,17,,18,,14,,19,,,,,,,,10,,,,,
