date,Hays,"Goldman Sachs","Royal Bank of Scotland","KPMG UK",CGI,dbg,"See More","British Gas","Bristol Street Motors","Confidential Company - Undisclosed","Randstad UK",Deloitte,HSBC,"Hydrogen Group","Amazon UK","Computer Futures",Amazon,"Macklin Motors","Nationwide Building Society","Vertu Motors Plc","Société Générale","NHS Institute for Innovation and Improvement","Morgan Stanley",Experian,Citi,"Triumph Consultants","UK Ministry of Defence",AIG,FactSet,"Experis IT","Credit Suisse","Avox Limited","PwC UK",EY,"L A Computer","Schneider Electric",PAREXEL,"Allianz Group","Application Centre Ltd","Renfrewshire Council","Xpat Jobs.com",CareerBuilder.com,Adzuna,"Macklin &amp; Co. LLC.","The Bridge, Inc.","KDR Recruitment Ltd",M&amp;G,"JPMorgan Chase &amp; Co.",Thales,"Agile IT Recruitment","Coal IT Services",Sky,AstraZeneca
2015-03-11,13,,13,,,7,5,,,,,,,,8,,,,,18,,,,6,,,,,,,,6,,6,,,57,,,,,,,,,,5,20,,,,5,5
2015-03-12,6,,13,,,7,5,,,,,15,,,8,,,,,17,,,,6,,,,,,,,8,,,,,57,,,,,,,,,,5,19,,,,5,
2015-03-16,9,,15,,,7,5,,,,,14,,,8,,,,,11,,,,5,,,,,,,,6,,6,,,57,,,,,,,,,,,22,5,,,,5
2015-03-18,,,8,,,8,5,,,,,14,,,8,,,,,16,,,,5,,,,,,,,8,,,,,57,,,,,,,,,,,21,5,,,5,
2015-03-18,8,,10,,,8,5,,,,,14,,,8,,,,,16,,,,,,,,,,,,6,,6,,,57,,,,,,,,,,,24,5,,,,6
2015-03-19,7,,14,,5,8,5,,,,,14,,,8,,,,,21,,,,,,,,,,,,,,6,,,57,,,,,,,,,,,24,5,,,,5
2015-03-20,8,,12,,,8,5,,,,,14,,,8,,,,,21,,,,,,,,,,,,6,,,,,57,,,,,,,,,,,23,5,,,5,
2015-03-21,8,,13,,5,8,5,,,,,14,,,8,,,,,21,,,,,,,,,,,,,,6,,,57,,,,,,,,,,,24,5,,,,
2015-03-22,8,,13,,5,8,5,,,,,14,,,8,,,,,21,,,,,,,,,,,,,,6,,,57,,,,,,,,,,,24,5,,,,
2015-03-23,10,,13,,5,8,5,,,,,16,,,9,,,,,19,,,,,,,,,,,,,,6,,,57,,,,,,,,,,,23,5,,,6,
