date,StaffNurse.com,"Wesser Limited",Sky,"Confidential Company - Undisclosed","Do-it Trust","Priory Group","SSP UK LIMITED","Medic International","Professional Security",Travelex,"CLECE, S.A.","Aberdeenshire Council","Care UK","Saint-Gobain Building Distribution",Hays,"See More","Chase Medical","McColl&#39;s Retail Group","Servoca Nursing and Care","DNA Kids Limited",TalentSpa,"Compass Group UK &amp; Ireland","TUI GROUP","Xpat Jobs.com",CareerBuilder.com,Adzuna,"Job Heaven",Jobs.co.uk,"St. Gregory&#39;s University","Fife Council",Bupa,"Voyage Care Ltd","Transport for London","Vision Apprentices","SGBD Products","Morgan Thomas Recruitment","Find Construction Jobs","InterContinental Hotels Group (IHG)"
2015-03-11,1529,130,382,,266,,,,,109,,109,,,106,106,198,,182,,132,,,,,,,,148,,,,115,,131,,530,112
2015-03-12,1481,300,381,,257,,,,,,,,,,111,108,199,,167,,145,,,,,,,,136,,,108,120,,146,148,525,112
2015-03-16,1640,319,404,,233,,,,,122,,126,,,111,110,175,,177,,124,,,,,,,,130,,,110,,,142,149,529,
2015-03-18,1592,336,426,,254,,,,,140,,125,,,113,113,168,,122,,123,,,,,,,,171,,,113,,,148,154,530,
2015-03-18,1758,323,426,,278,,,,,127,,120,,,115,112,159,,122,,126,,,,,,,,150,,,112,,,142,150,527,
2015-03-19,1669,320,431,,267,,,,,128,,161,,,,111,158,,116,,132,,,,,,,,150,,,112,,,142,150,527,111
2015-03-20,1820,354,428,,266,,,,,139,,161,,,,113,178,,116,,132,,,,,,,,187,,,115,113,,147,154,530,
2015-03-21,1820,354,428,,266,,,,,139,,161,,,,113,178,,116,,132,,,,,,,,187,,,115,113,,147,154,530,
2015-03-22,1820,354,428,,263,,,,,139,,161,,,,113,178,,116,,132,,,,,,,,187,,,115,113,,147,154,530,
2015-03-23,1820,354,403,,266,,,,,140,,174,,,,115,178,,120,,132,,,,,,,,187,,,115,120,,147,154,530,
2015-03-24,1657,253,403,,272,,,,,120,,139,,,,112,163,,114,,131,,,,,,,,127,,,112,118,,120,124,367,
2015-03-25,1657,253,405,,242,,,,,121,,147,,,,112,169,,,,145,,,,,,,,127,,114,112,124,,120,124,367,
2015-03-26,1674,353,408,,261,,123,,,125,,149,,,116,116,163,,,,138,,,,,,,,166,,,,127,,122,124,257,
2015-03-27,1722,353,401,,258,,128,,,134,,167,,,133,125,164,,,,139,,,,,,,,165,,,,128,,126,126,125,
2015-03-28,1783,357,389,,258,,140,,,134,,169,,,128,107,163,,,,135,,,,,,,,133,,107,,121,,126,121,,
2015-03-29,1905,366,390,,258,,140,,,147,,160,,,124,107,152,,,,128,,,,,,,,163,,107,,130,,126,121,,
2015-03-30,1984,357,390,,260,,140,,,131,,147,,,133,106,147,,,,129,,,,,,,,151,,106,106,129,,126,,,
2015-03-31,1996,355,394,,263,,154,,,116,,155,,,130,99,131,,,,99,,,,,,,,146,,103,106,120,,120,,,
2015-04-02,1761,349,394,,258,,171,,,114,,147,,,127,100,123,,,,,,,,,598,,,128,,,103,125,100,125,,,
2015-04-03,1824,360,384,,262,,169,,,124,,161,,126,123,100,128,,,,,,,,,675,,,141,,,105,130,100,,,,
2015-04-04,1824,357,384,,262,,170,,,128,,155,,124,122,107,126,,,,109,,,,,694,,,127,,107,,120,,,,,
2015-04-05,1805,365,381,,262,,191,,156,147,,145,,130,118,112,130,,,,,,,,,667,,,152,,112,,120,,,,,
2015-04-06,1880,350,391,,252,,191,,156,125,,139,,129,110,110,129,,,,115,,,,,663,,,146,,119,,,,,,,
2015-04-07,1835,327,388,,228,,191,,153,136,,127,,129,108,108,132,,,,120,,,,,570,,,133,,152,,,,,,,
2015-04-08,1644,349,393,,267,,166,,,129,,120,,122,109,106,121,,,,129,,,,,529,,,141,,190,106,,,,,,
2015-04-09,1652,332,394,,249,,123,110,,127,,115,,,123,105,118,,,,128,,,,,552,,,119,,180,105,,,,,,
2015-04-10,1652,332,390,,253,,123,110,,127,,115,,,105,105,118,,,,128,,,,,552,,,119,,180,105,,,,,,
2015-04-11,1778,397,391,,253,,225,114,156,155,,124,,125,,114,142,,,,140,,175,,,,,,138,,160,,,,,,,
2015-04-12,1778,397,392,,253,,225,114,156,155,,124,,125,,114,142,,,,140,,175,,,,,,138,,162,,,,,,,
2015-04-13,1778,397,392,,260,,225,,156,155,,124,,125,123,123,142,,,,140,,175,,,,,,138,,161,,,,,,,
2015-04-14,1918,380,406,,252,212,236,,153,124,,110,115,127,133,106,119,,,,,,149,,,,,,,106,,,,,,,,
2015-04-15,1601,423,404,,247,218,244,,156,139,,,122,140,117,106,122,,106,,,,152,,,,,,130,,,,,,,,,
2015-04-16,1612,409,400,,252,220,251,,155,136,,,121,134,112,112,113,,,,120,137,156,,,,,,,,,,,,,,,
2015-04-17,1629,409,394,,250,218,251,,155,136,,,121,134,121,121,,,,453,,137,156,,1672,,,,,,,,,,,,,
2015-04-18,1675,458,353,,250,230,257,,156,158,,,,,,143,,,,580,143,,153,5699,2189,548,,148,,,,,,,,,,
2015-04-19,1673,460,345,,250,225,241,,156,,,,,,,144,,,,552,146,,144,10561,2319,523,163,150,,,,,,,,,,
2015-04-20,1708,471,347,,244,228,210,,156,147,,,,,,146,,,,577,,,146,10151,2233,525,163,149,,,,,,,,,,
2015-04-21,1645,478,342,,252,227,198,152,155,136,,,,,134,125,131,,,566,147,125,134,,,,,,,,,,,,,,,
2015-04-22,1529,474,343,,267,226,210,147,154,143,,,,,125,125,128,,,581,135,126,131,,,,,,,,,,,,,,,
2015-04-23,1625,480,350,,254,226,206,145,156,143,,138,,,,129,132,,129,612,137,,138,,,,,,,,,,,,,,,
2015-04-24,1694,373,371,,262,231,206,167,156,144,,,,,,129,133,,132,612,143,129,140,,,,,,,,,,,,,,,
2015-04-25,1717,461,369,,262,229,215,188,156,164,,157,,,,133,,,152,618,142,133,133,,,,,,,,,,,,,,,
2015-04-26,1730,453,369,,262,229,212,181,156,155,,148,,,,131,131,,151,600,139,,131,,,,,,,,,,,,,,,
2015-04-27,1715,458,367,,253,229,201,175,156,161,,143,,,,131,131,,148,601,140,133,,,,,,,,,,,,,,,,
2015-04-28,1570,457,363,,251,235,206,188,156,151,,139,142,,,130,,,165,566,149,130,,,,,,,,,,,,,,,,
2015-04-29,1570,455,489,,248,231,210,189,156,153,,134,142,,,131,131,,177,558,152,,,,,,,,,,,,,,,,,
2015-04-30,1570,459,477,,255,243,210,189,156,165,,154,142,,,131,131,,175,558,152,,,,,,,,,,,,,,,,,
2015-05-01,1536,436,479,,255,243,192,199,156,154,,137,142,,,137,143,,176,555,161,,,,,,,,,,,,,,,,,
2015-05-02,1614,456,453,,255,243,202,230,156,148,,151,141,,,141,145,,182,538,169,,,,,,,,,,,,,,,,,
2015-05-03,1637,452,455,,255,245,194,207,156,133,,124,,,127,124,137,,172,533,164,,,,,,,,,,,,,,,,,
2015-05-04,1641,458,461,330,249,245,193,154,155,123,,118,,121,,118,129,,171,537,,,,,,,,,,,,,,,,,,
2015-05-05,1691,462,451,330,260,245,195,155,156,138,,118,,121,111,111,119,,169,,,,,,,,,,,,,,,,,,,
2015-05-06,1591,487,463,257,260,213,217,156,156,147,120,,,129,116,116,118,,169,,,,,,,,,,,,,,,,,,,
2015-05-07,1572,484,473,316,249,215,217,150,156,148,124,125,,129,,115,115,,166,,,,,,,,,,,,,,,,,,,
2015-05-08,1573,488,454,286,257,213,217,162,156,148,124,120,,129,,111,119,111,,,,,,,,,,,,,,,,,,,,
2015-05-09,1626,483,439,312,257,237,235,152,156,148,124,129,105,130,,105,124,,,,,,,,,,,,,,,,,,,,,
