date,"Computer Futures",Salesforce,Aviva,"Boardmatch Ireland",EY,Wayfair,Oracle,"Volunteer Ireland",Webrecruit,"See More","Bank of America",Sage,Atos,AdRoll
2015-05-28,,,,10,13,9,5,8,,5,8,,,5
2015-05-29,,,,10,13,9,5,8,,5,8,,,5
2015-05-30,,,,10,13,10,5,8,,5,8,,,
2015-05-31,,,,10,13,10,5,8,,5,8,,,
2015-06-01,,,,10,13,10,5,8,5,5,8,,,
2015-06-02,,,,10,13,10,5,8,6,5,8,,,
2015-06-03,,,,10,13,10,5,8,6,5,7,,,
2015-06-04,,,,10,13,10,6,8,5,5,7,,5,
2015-06-05,,,,10,13,10,6,8,6,5,7,,5,
2015-06-06,,,,10,13,8,5,8,6,5,7,,5,
2015-06-07,,,,10,13,8,5,8,6,5,7,,5,
2015-06-08,,,,10,13,8,6,8,6,5,7,,5,
2015-06-09,,,,10,13,8,6,8,6,6,7,,,
2015-06-10,,,,10,13,8,6,8,,6,7,,,
2015-06-11,,,,10,13,8,,8,5,5,7,,,
2015-06-12,,,,10,13,9,,8,9,7,7,10,,
2015-06-13,,,,10,13,9,,8,9,7,7,10,,
2015-06-14,,,,10,13,9,,8,9,7,7,10,,
2015-06-15,,,,10,8,9,,8,8,7,7,10,,
2015-06-16,,,,10,8,11,5,8,7,5,7,10,,
2015-06-17,,,5,10,8,9,5,8,9,5,7,10,,
2015-06-18,,,7,10,8,8,5,8,10,5,7,10,,
2015-06-19,,,7,10,8,8,,8,10,6,6,10,,
2015-06-20,,,7,10,8,8,5,8,10,5,6,10,,
2015-06-21,,,7,10,8,8,5,8,10,5,6,10,,
2015-06-22,,,7,10,10,8,6,8,9,6,6,10,,
2015-06-23,,11,8,10,9,9,6,8,10,6,6,10,,
2015-06-24,,11,8,10,8,9,6,8,8,6,6,10,,
2015-06-25,,11,9,10,8,9,7,8,8,6,6,10,,
2015-06-26,,11,10,10,8,9,7,8,6,6,6,10,,
2015-06-27,,11,10,10,8,9,7,8,6,5,5,,,
2015-06-28,,11,10,10,8,9,7,8,6,5,5,,,
2015-06-29,,12,10,10,10,8,7,7,6,5,5,,,
2015-06-30,22,12,10,10,9,8,7,7,6,6,,,,
