date,"TeamQuest Sp z o.o.","Sabre Corporation",Dahliamatic,"Casus Finanse Sp. z o.o.","JCommerce SA",Capgemini,"Credit Suisse",AIUT,IBM,Atos,Billennium,"NBC Sp. z o.o.",UBS,"The Coca-Cola Company",Cognity,"See More",Inwebit,Pentacomp
2015-05-28,,14,,,,,,,,,,,,,,,,
2015-05-29,,15,,,,,,,,,,,,,,,,
2015-05-30,,15,,,,,,,,,,,,,,,,
2015-05-31,,15,,,,,,,,,,,,,,,,
2015-06-01,,16,,,,,,,,,,,,,,,,
2015-06-02,,17,,,,,,,,,,,,,,,,
2015-06-03,,20,,,,,,,,,,,,,,,,
2015-06-04,,20,,,,,,,,,,,,,,,,
2015-06-05,,19,,,,,,,,,,,,,,,,
2015-06-06,,16,,,,,,,,,,,,,,,,
2015-06-07,,16,,,,,,,,,,,,,,,,
2015-06-08,,16,,,,,,,,,,,,,,,,
2015-06-09,,21,,,,,,,,,,,,,,,,
2015-06-10,,20,,,,,,,,,,,,,,,,
2015-06-11,,21,,,,,,,,,,,,,,,,
2015-06-12,,26,,,,,,,,,,,,,,,,
2015-06-13,,25,,,,,,,,,,,,,,,,
2015-06-14,,25,,,,,,,,,,,,,,,,
2015-06-15,,25,,,,,,,,,,,,,,,,
2015-06-16,,26,,,,,,,,,,,,,,,,
2015-06-17,,23,,,,,,,,,,,,,,,,
2015-06-18,,23,,,,,,,,,,,,,,,,
2015-06-19,,23,,,,,,,,,,,,,,,,
2015-06-20,,23,,,,,,,,,,,,,,,,
2015-06-21,,23,,,,,,,,,,,,,,,,
2015-06-22,,23,,,,,,,,,,,,,,,,
2015-06-23,,23,,,,,,,,,,,,,,,,
2015-06-24,,24,,,,,,,,,,,,,,,,
2015-06-25,,23,,,,,,,,,,,,,,,,
2015-06-26,,25,,,,8,,,,,,,,6,,,6,5
2015-06-27,27,25,22,12,12,9,8,8,7,7,,5,,6,,5,6,5
2015-06-28,29,25,22,13,12,11,8,8,7,7,7,7,6,6,6,6,,
