date,Qlik,Acando,King,SAS
2015-05-28,16,6,5,
2015-05-29,17,6,5,
2015-05-30,17,6,5,
2015-05-31,17,6,5,
2015-06-01,14,6,5,
2015-06-02,14,,,
2015-06-03,16,5,5,
2015-06-04,16,6,5,
2015-06-05,16,5,5,
2015-06-06,16,5,5,
2015-06-07,16,5,5,
2015-06-08,15,,5,
2015-06-09,15,,5,
2015-06-10,14,5,5,
2015-06-11,14,5,5,
2015-06-12,,5,5,
2015-06-13,,5,5,
2015-06-14,,5,5,
2015-06-15,17,5,6,
2015-06-16,17,6,6,
2015-06-17,16,5,6,
2015-06-18,16,5,6,
2015-06-19,16,6,7,
2015-06-20,16,6,7,
2015-06-21,16,6,7,
2015-06-22,17,6,7,
2015-06-23,17,5,7,
2015-06-24,18,6,7,
2015-06-25,7,8,7,
2015-06-26,20,9,7,6
2015-06-27,20,9,7,6
