date,"enterprise process","business intelligence","data anonymisation",semantics,schema,"data licensing","data quality","data governance"
2015-03-11,5,1137,0,8,11577,2,436,92
2015-03-12,6,1160,0,5,11954,2,437,99
2015-03-16,4,1205,0,13,12408,0,476,108
2015-03-18,5,1225,0,14,12438,0,443,107
2015-03-18,4,1230,0,13,12421,0,472,111
2015-03-19,5,1194,0,12,12490,0,480,119
2015-03-20,6,1209,0,13,12936,2,469,118
2015-03-21,6,1192,0,13,12920,2,480,118
2015-03-22,6,1183,0,13,12850,2,475,116
2015-03-23,6,1180,0,10,12799,2,474,115
2015-03-24,6,1143,0,15,11964,2,466,110
2015-03-25,6,1159,0,13,12021,2,477,110
2015-03-26,7,1155,0,16,12344,2,462,112
2015-03-27,7,1189,0,14,12350,2,386,117
2015-03-28,8,1167,0,15,12234,2,403,111
2015-03-29,8,1152,0,15,12516,2,403,110
2015-03-30,8,1151,0,16,12231,2,397,110
2015-03-31,9,1145,0,13,12202,2,404,123
2015-04-01,8,1145,0,10,67,3,385,121
2015-04-02,7,1133,0,9,12526,2,382,125
2015-04-03,8,1164,0,12,12819,2,392,128
