date,"dei processi aziendali","business intelligence","anonimizzazione dei dati",semantica,schema,"licensing dati","la qualità dei dati","governance dei dati"
2015-05-28,30,101,0,4,2188,0,0,0
2015-05-29,33,97,0,4,2175,0,0,0
2015-05-30,34,96,0,4,2125,0,0,0
2015-05-31,34,95,0,3,2180,0,0,0
2015-06-01,33,93,0,3,2211,0,0,0
2015-06-02,33,98,0,3,2190,0,0,0
2015-06-03,34,98,0,3,2215,0,0,0
2015-06-04,29,93,0,3,2286,0,0,0
2015-06-05,34,105,0,3,2205,0,0,0
2015-06-06,31,106,0,2,2215,0,0,0
2015-06-07,28,105,0,0,2246,0,0,0
2015-06-08,31,105,0,0,2181,0,0,0
2015-06-09,32,118,0,2,2175,0,0,0
2015-06-10,37,116,0,0,2197,0,0,0
2015-06-11,36,115,0,0,2198,0,0,0
2015-06-12,37,115,0,0,2225,0,0,0
2015-06-13,36,109,0,0,2230,0,0,0
2015-06-14,35,106,0,0,2221,0,0,0
