date,Berlin,Munich,"Frankfurt Am Main",Cologne,Hamburg,Stuttgart,Kiel,"See More",Hannover,"Kreisfreie Stadt Aachen",Freiburg,Nürnberg
2015-05-27,34,30,15,12,6,8,6,5,11,5,5,5
2015-05-27,34,30,15,13,5,8,6,5,11,5,5,5
2015-05-28,34,30,14,12,5,8,6,5,11,5,5,5
2015-05-28,33,30,14,13,5,8,6,5,11,5,5,5
2015-05-29,27,35,15,15,6,8,6,5,11,5,,
2015-05-30,23,36,15,15,10,9,6,5,11,5,5,
2015-05-31,27,35,15,15,10,9,6,5,11,5,5,
2015-06-01,,6,,,,,,,,,,
2015-06-02,,6,,,,,,,,,,
2015-06-03,,8,,,,,,,,,,
2015-06-04,30,35,16,15,15,11,7,7,,,,
2015-06-05,35,31,17,15,15,9,,9,,,,
2015-06-06,35,31,17,15,15,9,,9,,,,
2015-06-07,,7,,5,,,,,,,,
2015-06-08,32,29,17,12,15,11,,11,,,,
2015-06-09,32,35,17,14,11,11,,5,12,5,,
2015-06-10,,5,,,8,,,,,,,
2015-06-11,,8,,,9,,,,,,,
2015-06-12,48,40,19,13,12,10,5,5,12,5,,
2015-06-13,,8,,,5,,,,,,,
2015-06-14,50,42,15,14,7,9,6,5,12,5,,
2015-06-15,50,42,17,14,6,9,6,5,13,5,,
2015-06-16,50,41,17,14,6,9,6,5,12,5,,
2015-06-17,53,40,17,14,10,9,6,5,11,5,,
2015-06-18,54,33,19,12,10,9,6,6,,,,
2015-06-19,,,5,,7,,,,,,,
2015-06-20,53,34,16,11,9,9,6,6,,,,
