date,Copenhagen,"Southern Region","Central Region"
2015-05-28,32,,
2015-05-29,30,,6
2015-05-30,29,,6
2015-05-31,28,,6
2015-06-01,32,,6
2015-06-02,32,,6
2015-06-03,34,,5
2015-06-04,30,,5
2015-06-05,29,,5
2015-06-06,30,,5
2015-06-07,30,,5
2015-06-08,26,,5
2015-06-09,26,,
2015-06-10,26,,
2015-06-11,27,,
2015-06-12,24,,
2015-06-13,24,,
2015-06-14,24,,
2015-06-15,22,5,
2015-06-16,24,5,
2015-06-17,25,5,
2015-06-18,25,5,5
2015-06-19,25,5,5
2015-06-20,21,5,5
2015-06-21,21,5,
2015-06-22,22,,5
2015-06-23,22,,5
2015-06-24,24,,
2015-06-25,25,,6
2015-06-26,24,,7
2015-06-27,26,,7
2015-06-28,27,6,5
2015-06-29,25,5,
2015-06-30,24,6,
2015-07-01,25,6,
2015-07-02,27,6,
2015-07-03,24,6,
2015-07-04,24,5,
2015-07-05,24,5,
2015-07-07,26,5,
2015-07-08,27,5,
2015-07-09,29,5,5
2015-07-10,31,5,5
2015-07-11,31,5,5
2015-07-12,31,,5
2015-07-13,31,,5
2015-07-14,32,5,5
2015-07-15,31,6,5
2015-07-16,31,6,6
2015-07-17,31,7,6
2015-07-18,29,7,6
2015-07-19,30,7,6
2015-07-20,30,7,6
