date,Madrid
2015-05-28,5
2015-06-04,8
2015-06-05,7
2015-06-06,7
2015-06-07,7
2015-06-08,7
2015-06-09,7
2015-06-10,7
2015-06-11,7
2015-06-12,6
2015-06-13,6
2015-06-14,6
2015-06-15,6
2015-06-16,5
2015-06-17,5
2015-06-18,5
2015-06-19,5
2015-06-20,5
2015-06-21,5
2015-06-22,6
2015-06-23,7
2015-06-24,7
2015-06-25,6
2015-06-26,7
2015-06-27,8
2015-06-28,6
2015-06-29,6
2015-06-30,7
2015-07-01,9
2015-07-02,8
2015-07-03,8
2015-07-04,7
2015-07-05,7
2015-07-06,8
2015-07-07,9
2015-07-08,8
2015-07-09,11
2015-07-10,13
2015-07-11,12
2015-07-12,11
2015-07-13,13
2015-07-14,13
2015-07-15,14
2015-07-16,13
2015-07-17,13
2015-07-18,14
2015-07-19,14
2015-07-20,14
2015-07-21,14
