date,London,Reading,Birmingham,Bristol,Slough,Twickenham,Leeds,Manchester,Guildford,"Milton Keynes",Edinburgh,Glasgow,"Kingston upon Thames","St Albans","See More",Redhill,Derby,Watford,Cambridge,Nottingham,Northampton,Torquay,Oxford,Southall,Belfast,Warrington,Bournemouth,"Hemel Hempstead",Aberdeen,Chelmsford,Leicester,Coventry,Cardiff,Shrewsbury,Llandudno,Swindon
2015-03-11,536,66,18,16,31,27,23,18,,,,,,,12,,,,26,,13,,,16,12,,,,,,,,,19,,13
2015-03-12,568,63,17,23,30,27,23,16,12,,,,,,11,,,,26,,12,,,,11,,,,,,,,,19,,12
2015-03-16,578,75,19,22,33,27,29,21,15,,,,,,12,,,12,26,,,,,13,15,,,,,,,,,,19,
2015-03-18,579,83,17,24,39,31,27,20,13,,,12,,,12,,,,25,,,,,,16,,,14,,,,,,,18,
2015-03-18,583,84,17,23,37,31,26,22,13,,,,,,13,,,,25,,,,,13,16,,,14,,,,,,,19,
2015-03-19,575,75,19,25,36,31,22,22,12,,,13,,,12,,,,24,,,,,,16,,,14,,,,,,,19,
2015-03-20,582,79,17,27,36,32,23,19,,,,14,,,14,,,,25,,,,,,16,,,14,,,,,,17,19,
2015-03-21,572,78,17,27,35,31,22,19,,,,14,,,14,,,,25,,,,,,16,,,14,,,,,,17,19,
2015-03-22,566,77,17,27,35,31,22,19,,,,14,,,14,,,,25,,,,,,16,,,14,,,,,,17,19,
2015-03-23,557,81,24,24,35,28,23,18,,,,15,,,13,,,13,26,,,,,,16,,,,,,,,,17,19,
2015-03-24,542,81,25,22,39,28,19,16,,,,16,,,12,,,13,23,,,,,,12,,,,,,,,,23,12,
2015-03-25,549,84,26,23,40,30,17,16,,,,15,,,12,,,12,23,,,,,,13,,,,,,,,,23,12,
2015-03-26,536,88,26,20,40,30,18,17,,,14,17,,,12,,,,23,,,,,,14,,,,,,,12,,,12,
2015-03-27,552,89,28,22,40,29,16,18,,,14,16,,,12,,,,22,,,,,,15,,,,,,,13,,,12,
2015-03-28,539,89,27,22,38,29,16,17,,,15,18,,,12,,,,20,,,,13,,15,,,12,,,,,,,,
