date,London,Edinburgh,Reading,Glasgow,Manchester,Birmingham,Oxford,"Milton Keynes",Nottingham,Coventry,Bristol,Leeds,Chester,Redhill,"See More",Slough,"Kingston upon Thames",Portsmouth,Southall,Watford,Guildford,Twickenham,Swindon,Derby,Northampton,Gloucester,Cambridge,Chelmsford,Sheffield,Brighton,"Newcastle upon Tyne",Belfast,Bournemouth,Llandudno,"Hemel Hempstead",Bradford,Stockport,Carlisle,Peterborough
2015-03-11,174,10,11,9,,,,,,5,,,,,5,17,5,,,,6,6,8,,6,,12,,,,,6,,8,,,,,
2015-03-12,178,12,8,8,,7,7,,,,,,,,5,18,6,,,,6,5,7,,5,,10,,,,,,,10,,,,,
2015-03-16,195,11,11,,,10,11,6,,,,,,,6,19,6,,,,7,,10,,,,13,,,,,6,,8,,,,7,
2015-03-18,179,12,8,,,8,8,,,,,6,,,5,18,,,,,,6,8,,5,,12,,,,,6,,10,,,7,,
2015-03-18,192,11,10,,,8,7,,,,,,,,6,19,,,,,6,,9,,,,13,,7,,,6,,8,,,9,8,
2015-03-19,196,13,9,,,8,7,,,,,,,,6,19,7,,,,,,9,,,,14,,8,,,6,,6,,,8,7,
2015-03-20,191,15,8,,,7,7,,,,,,,,7,18,,,,,,7,9,,,,11,,8,,,,,8,,,7,7,8
2015-03-21,198,13,11,,,8,7,,,,,,,,7,19,7,,,,,7,9,,,,11,,8,,,,,,,,8,7,7
2015-03-22,196,13,10,,,8,7,,,,,,,,6,19,,,,,,7,9,,,,11,,8,,,6,,,,,8,7,7
2015-03-23,198,13,10,6,,8,,,,6,,,,,6,19,,,,,,,9,,,,11,,8,,,6,,,,,8,6,7
2015-03-24,192,13,10,8,,8,6,6,,,,,,,6,19,,,,,,6,9,,,,12,,8,,,,,,,,7,6,
2015-03-25,196,16,11,11,,8,7,,,,,6,,,6,18,,,,,,6,11,,,,13,,8,,,6,,,,,7,,
2015-03-26,192,14,12,12,,7,8,6,,,,6,,,6,16,,,,,,,9,,,,13,,8,,,6,,,,,6,,
2015-03-27,177,12,12,10,,7,7,7,,,,6,,,5,16,,,,,,,8,,,,11,,5,,,,5,,,,7,,
2015-03-28,184,11,12,11,,5,7,6,,5,,,,,5,15,5,,,,,,10,,,,11,,,,,,5,,,,7,,
2015-03-29,181,11,12,11,,6,7,6,,5,,,,,5,15,,,,,6,,10,,,,11,,,,,,5,,,,7,,
2015-03-30,175,12,11,11,,6,6,6,,5,,,,,5,16,,,,,6,,12,,,,12,,,,,,5,,,,6,,
2015-03-31,183,12,11,11,,5,7,6,,5,,,,,5,17,6,,,,6,,11,,,,11,,,,,,5,,,,,,
2015-04-01,162,16,14,8,,6,8,6,,5,,,,,5,17,8,,,,,6,8,,,,11,,,,,,5,,,,,,
2015-04-02,162,13,10,7,,7,8,,,7,,5,,,5,18,8,,,,5,,8,,,,10,,,,,,5,,,,,,
2015-04-03,166,13,8,8,,9,9,7,,7,,,,,5,19,8,,,,5,,8,,,,8,,,,,,5,,,,,,
2015-04-04,176,14,8,8,,7,8,7,,7,,,,,5,19,9,,,,5,,8,,,,8,,,,,,5,,,,,,
2015-04-05,173,14,8,8,,8,8,7,,7,,,,,5,19,9,,,,5,,8,,,,8,,,,,,5,,,,,,
2015-04-06,173,14,8,8,,8,8,6,,7,,,,,5,19,9,,,,5,,7,,,,9,,,,,,5,,,,,,
2015-04-07,176,13,9,7,,7,7,9,,8,,,,,6,19,9,,,,7,6,7,,,,11,,,,,,,,,,,,
2015-04-08,175,13,9,7,,7,8,11,,9,,,,,6,19,9,,,,8,,7,,,,11,,,,,,,6,,,,,
2015-04-09,172,13,10,8,,8,8,9,,10,,,,,5,19,9,,,,8,,,,,,11,,,,,,,5,,6,,,
2015-04-10,179,14,10,8,,8,8,9,,10,,,,,5,19,9,,,,8,,6,,,,12,,,,,,,,,5,,,
2015-04-11,185,18,10,9,,9,9,11,,10,,,,,7,19,8,,,,10,,,,,,14,,,,,9,,7,,,,,
2015-04-12,184,18,10,9,,9,8,11,,10,,,,,7,19,8,,,,10,,,,,,13,,,,,9,,7,,,,,
2015-04-13,183,17,10,9,8,9,9,11,,10,,,,,7,19,7,,,,10,,,,,,12,,,,,9,,,,,,,
2015-04-14,181,17,10,9,8,,8,14,,10,,,,,7,20,,,,,13,,10,,,,11,,,,,9,,7,,,,,
2015-04-15,184,16,10,9,7,,7,13,,11,,,,,7,21,,,,,13,,9,,,,11,,,,,9,,8,,,,,
2015-04-16,181,14,10,9,8,,,13,,11,,,,,7,22,7,,,,12,,9,,,,10,,,,,10,,8,,,,,
2015-04-17,185,15,13,9,10,,8,15,,11,,,,,8,22,,,,,11,,9,,,,11,,,,,10,,9,,,,,
2015-04-18,238,21,24,15,14,9,11,14,,16,,15,,,9,27,,,,,11,,,,,,,,,,,10,,,10,,,,
2015-04-19,281,27,25,18,14,12,14,19,14,15,,14,,,11,30,,,,,,,,,,,,,,,,11,,,12,,,,
2015-04-20,290,27,23,17,13,12,14,17,14,15,,17,,,12,26,,,,,12,,,,,,,,,,,12,,,,,,,
2015-04-21,198,13,11,9,11,,,10,,11,,7,,,7,18,9,,,,10,,8,,,,8,,,,,11,,,,,,,
2015-04-22,194,11,10,9,10,,,11,,10,,7,,,7,20,11,,,,9,,9,,,,9,,,,,11,,,,,,,
2015-04-23,202,10,10,9,11,,,11,,9,6,,,,6,20,11,,,,11,,7,,,,9,,,,,11,,,,,,,
2015-04-24,200,9,10,9,10,7,,11,,9,,,,,7,20,11,,,,11,,,,,,12,9,,,,11,,,,,,,
2015-04-25,198,9,11,10,10,8,,11,,9,,,,,8,20,12,,,,10,,,,,,10,9,,,,11,,,,,,,
2015-04-26,195,8,11,10,10,8,,11,,10,,,,,8,20,11,,,,10,,,,,,9,9,,,,11,,,,,,,
2015-04-27,196,8,11,10,9,9,,13,,10,,,,,8,19,11,,,,11,,,,,,9,9,,,,11,,,,,,,
2015-04-28,200,9,11,10,8,9,,14,,9,,,,,8,18,11,,,,11,,,,,,9,10,,,,11,,,,,,,
2015-04-29,214,11,10,10,9,7,,13,,9,,,,,7,18,10,,,,12,,,,,,9,8,,,,11,,,,,,,
2015-04-30,213,10,10,10,8,,,14,,9,7,,,,7,17,10,,,,10,,,,,,8,9,,,,11,,,,,,,
2015-05-01,203,9,10,10,,9,,13,,,8,,,,8,17,9,,,,11,,9,,,,9,9,,,,10,,,,,,,
2015-05-02,206,10,10,10,,7,,13,,,8,,,,7,18,9,,,,12,,9,,,,9,9,,,,10,,,,,,,
2015-05-03,203,10,10,10,,8,,9,,,9,,,,8,18,10,,,,11,,9,,,,8,8,,,,10,,,,,,,
2015-05-04,206,10,11,11,,8,,11,,,9,,,,7,18,10,,,,10,,9,,,,10,,,,,10,,7,,,,,
2015-05-05,206,11,11,11,,10,,13,,,8,,,,7,17,10,,,,11,,8,,,,10,,,,,10,,7,,,,,
2015-05-06,215,10,11,10,,10,,11,,,10,8,,,8,17,10,,,,11,,8,,,,9,,,,,9,,,,,,,
2015-05-07,203,13,13,11,,10,,11,,8,12,9,,,8,17,10,,,,11,,,,,,9,,,,,9,,,,,,,
2015-05-08,208,13,15,12,,8,,10,,,12,9,,,8,16,10,,,,11,,8,,,,9,,,,,9,,,,,,,
2015-05-09,204,13,15,12,,7,,11,,,11,9,,,7,16,10,,,,9,,8,,,,9,,,,,9,,,,,,,
2015-05-10,201,14,16,11,,,,11,,,11,9,,,7,16,10,,,,8,,8,,,,9,,,,,9,,7,,,,,
2015-05-11,204,13,18,13,,,,11,,7,11,9,,,7,16,9,,,,10,,8,,,,8,,,,,9,,,,,,,
2015-05-12,213,13,18,11,9,,,13,,,12,9,,,8,15,9,,,,9,,10,,,,8,,,,,9,,,,,,,
2015-05-13,207,13,17,9,,,,13,,,10,10,,,7,13,9,,,,9,,10,,8,,7,,,,,,7,,,,,,
2015-05-14,201,13,16,9,,,,15,,9,9,9,,,8,11,8,,,,8,,10,,9,,,8,,,,,,,,,,,
2015-05-15,199,15,14,8,,7,,18,,9,8,8,,,7,11,8,,,,,,10,,9,,,,,,,,7,,,,,,
2015-05-16,202,15,14,8,,,,14,,9,8,8,,,7,10,8,,,,,,10,,9,,,7,,,,,7,,,,,,
2015-05-17,200,15,10,8,,,,14,,9,9,8,,,7,10,8,,,,,,10,,9,,,7,,,,,7,,,,,,
2015-05-18,195,15,12,7,,6,,13,7,10,9,8,,,6,10,9,,,,,,7,,8,,,,,,,,,,,,,,
2015-05-19,196,14,10,7,,6,,13,,10,9,8,,,6,10,8,,,,8,,7,,7,,,,,,,,,,,,,,
2015-05-20,200,15,10,,8,6,,9,,10,8,9,,,6,10,8,,,,7,,10,,7,,,,,,,,,,,,,,
2015-05-21,191,17,14,7,7,6,,8,,10,7,,,,6,9,8,,,,8,,12,,,,,7,,,,,,,,,,,
2015-05-22,193,17,14,6,8,,,9,,10,7,,,,6,9,6,,,,7,,11,,,,,7,,,,6,,,,,,,
2015-05-23,198,18,14,6,9,,,13,,11,9,,,,6,9,6,,,,9,,11,,,,,8,,,,6,,,,,,,
2015-05-24,194,18,14,6,9,,,13,,13,7,,,,6,9,6,,,,9,,11,,,,,7,,,,6,,,,,,,
2015-05-25,193,18,15,6,9,,,13,,13,7,,,,6,9,6,,,,8,,12,,,,,8,,,,6,,,,,,,
2015-05-26,196,18,14,6,9,,,11,,13,6,,,,6,9,8,,,,8,,9,,,,,8,,,,6,,,,,,,
2015-05-27,196,18,14,,9,,,11,,13,6,,,,6,9,8,,,,7,,9,,6,,,8,,,,6,,,,,,,
2015-05-27,198,18,14,,9,,,11,,13,6,6,,,6,9,8,,,,6,,9,,,,,8,,,,6,,,,,,,
2015-05-28,209,16,15,,11,,,13,,14,8,,,,8,10,,,,,,,9,8,9,11,,9,11,,,,,,,,,,
2015-05-29,201,15,16,,12,,9,13,,14,10,,,,9,10,,,,,9,,,,9,11,,9,11,,,,,,,,,,
2015-05-30,208,15,16,,12,12,13,13,,13,,,,,10,11,,,,,,,,12,13,16,,10,14,,,,,,,,,,
2015-05-31,205,16,14,,13,,,10,8,9,8,,,6,5,,,,,,7,5,8,,11,,,,,,,,,,,,,,
2015-06-01,201,15,16,,12,11,13,13,,13,9,,,,9,,,,,,,,,12,13,16,,10,12,,,,,,,,,,
2015-06-02,205,16,14,,13,,,12,9,,8,,,6,6,10,,,,,6,6,9,,,,,,,,,,,,,,,,
2015-06-03,213,15,18,,11,12,13,16,,13,10,,,,10,11,,,,,,,,13,12,16,,,16,,,,,,,,,,
2015-06-04,217,18,20,,12,13,13,17,11,14,,,,,11,11,,,,,,,,14,12,17,,,17,,,,,,,,,,
2015-06-05,222,18,20,,11,14,13,16,11,13,,,,,11,,,,,,,,,14,12,17,,11,16,,,,,,,,,,
2015-06-06,224,16,21,,,14,13,16,11,13,10,,,,10,,,,,,,,,14,12,18,,11,16,,,,,,,,,,
2015-06-07,213,15,19,,12,,,11,12,,9,,,,5,10,,,11,,,5,7,,,,6,,13,,,,,,,,,,
2015-06-08,217,16,21,,14,17,,9,13,,7,,,,6,8,,,11,,7,6,6,,,,,,13,,,,,,,,,,
2015-06-09,226,16,19,,10,21,14,11,13,12,,,,,10,,,,,,10,,,14,12,17,,,17,,,,,,,,,,
2015-06-10,229,15,18,,10,23,15,,12,11,,,,,9,,,,,,9,,,14,13,16,,,17,,10,,,,,,,,
2015-06-11,227,14,16,,9,29,,6,15,,6,,,,5,8,5,,,,10,5,,,,,,,,,,,,,,,,,
2015-06-12,237,14,18,,,34,15,10,17,12,,,,,10,,,,,,10,,,14,13,16,,,17,,10,,,,,,,,
2015-06-13,230,14,18,,9,29,13,10,16,11,,,,,9,,,,,,,,,15,13,16,,,18,,10,,,,,,,,
2015-06-14,225,17,18,,9,27,,7,16,,7,,,,5,,5,,,,10,5,5,,,,,,,,,,,,,,,,
2015-06-15,220,17,16,,9,28,12,9,13,11,,,,,9,,,,,,,,,13,11,12,,,13,,10,,,,,,,,
2015-06-16,226,18,15,,10,29,13,10,13,11,,,,,10,10,,,,,,,,13,11,12,,,13,,,,,,,,,,
2015-06-17,231,18,16,,12,28,,7,14,,8,,,,5,9,8,,,,11,,5,,,,,,,,,,,,,,,,
2015-06-18,226,19,13,,,26,13,9,12,8,,,,,8,,,,,,9,,,13,10,12,9,,12,,,,,,,,,,
2015-06-19,223,19,14,,,26,13,9,10,10,,,,,9,,9,,,,9,,,13,11,12,,,11,,,,,,,,,,
2015-06-20,227,19,15,,8,29,,8,11,,,,,,8,,9,,,,9,,,,8,,,,,,,,,,,,,,
2015-06-21,222,18,11,,,27,12,9,10,,,,,,8,9,9,,,,8,,,13,12,10,8,,,,,,,,,,,,
2015-06-22,226,18,13,,10,29,,8,11,,,,,,6,,8,,,,9,,6,,9,,,,,,,,,,,,,,
2015-06-23,222,19,11,,10,24,12,10,10,,,,,,8,9,8,,,,,,,13,12,10,9,,,,,,,,,,,,
2015-06-24,219,18,12,,12,26,,8,,,,,,,5,,7,,,,9,,8,,10,,,,,5,,,,,,,,,
2015-06-25,218,16,11,,13,25,13,10,10,,,,,,8,8,,,,,,,,13,13,11,9,,8,,,,,,,,,,
2015-06-26,219,16,10,,12,31,14,11,10,,,,,,8,8,,,,,,,,14,13,11,9,,8,,,,,,,,,,
2015-06-27,246,15,11,,12,28,16,9,11,,8,,,,8,9,,,,,,,,13,12,11,,9,,,,,,,,,,,
2015-06-28,254,17,11,,11,34,16,10,11,,,,,,6,,,,,,7,6,7,,13,,,,,,,,,,,,,,
2015-06-29,238,17,11,,15,29,14,,11,,9,,,,9,9,,,,,,,,13,11,11,9,9,,,,,,,,,,,
2015-06-30,242,20,16,9,14,29,14,,11,9,,,,,5,,,,,,6,5,9,,,,,,,,,,,,,,,,
2015-07-01,258,18,14,10,15,31,13,,12,11,,,,,10,10,,,,,,,,13,13,11,10,,,,,,,,,,,,
2015-07-02,257,18,15,,15,32,,9,12,11,9,,,,7,9,,,,,7,,10,,,,,,,,,,,,,,,,
2015-07-03,252,22,18,,13,29,,,14,11,9,7,,6,6,9,,,,,7,8,,,,,,,,,,,,,,,,,
2015-07-04,246,21,19,,12,,,7,14,9,9,7,,7,6,9,,,,,6,8,,,,,,,,,,,,,,,,,
2015-07-05,246,21,18,,12,,,7,14,9,9,8,,7,6,9,,,,,6,8,,,,,,,,,,,,,,,,,
2015-07-07,258,23,17,,13,,,7,14,8,9,8,,5,5,11,,,,,8,7,,,,,,,,,,,,,,,,,
2015-07-08,270,26,19,,16,25,,8,13,10,11,8,,,5,10,,,8,5,,,,,,,,,,,,,,,,,,,
2015-07-09,259,25,19,,14,,,7,13,9,10,7,,5,5,9,,,8,5,,,,,,,,,,,,,,,,,,,
2015-07-10,263,25,18,,17,,,9,12,9,10,8,,5,5,9,5,,8,,,,,,,,,,,,,,,,,,,,
2015-07-11,263,26,19,,17,,,9,12,9,11,8,,,5,9,6,5,,,,,,,,,,,,,,,,,,,,,
2015-07-12,265,25,19,,17,,,9,12,9,11,8,,,5,9,6,5,,,,,,,,,,,,,,,,,,,,,
2015-07-13,266,23,21,16,17,,14,9,13,9,11,9,,,5,,,5,,,,,,,,,,,,,,,,,,,,,
2015-07-14,269,23,21,16,19,18,13,8,14,9,12,9,,,8,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,265,23,19,15,22,14,13,9,14,8,10,8,,,6,,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,270,24,18,15,23,,14,10,15,8,9,10,,6,5,9,5,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,277,25,19,15,19,15,14,9,17,8,8,9,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18,282,26,19,18,19,17,15,9,16,8,8,9,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,281,27,19,17,17,13,13,10,10,9,8,8,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
