date,London,Birmingham,Bristol,Manchester,Reading,Nottingham,Leeds,Guildford,Cambridge,Coventry,"Milton Keynes",Glasgow,Redhill,Edinburgh,"See More",Chelmsford,Oxford,Stoke-on-Trent,Aberdeen,Lancaster,Southampton,Sheffield
2015-03-11,1934,338,242,329,286,,247,164,183,229,,248,,196,164,,199,,173,,,164
2015-03-12,1965,332,247,325,306,173,265,,190,219,,240,,199,169,,213,,182,,169,
2015-03-16,2001,377,254,331,288,,293,182,208,249,,256,,212,181,,235,,197,,181,
2015-03-18,2020,368,253,341,289,,307,,203,237,,249,,213,188,,232,,201,189,188,
2015-03-18,1997,367,260,348,283,,302,180,208,229,,251,,217,180,,228,,199,,184,
2015-03-19,1984,365,260,339,293,,296,183,211,235,,234,,235,180,,238,,229,,180,
2015-03-20,2048,377,264,359,292,,301,193,218,250,,237,,239,193,,246,,230,199,,
2015-03-21,2038,376,267,358,291,,299,193,218,252,,236,,242,193,,244,,230,199,,
2015-03-22,2019,363,265,356,290,,298,192,218,251,,236,,242,192,,245,,230,199,,
2015-03-23,2005,366,261,353,284,,293,187,211,255,,236,,256,187,,237,,248,200,,
2015-03-24,1987,362,258,336,262,,295,,199,234,175,212,,226,175,,216,,215,,179,
2015-03-25,2024,366,261,339,263,,294,167,198,237,,202,,229,167,,221,,222,,175,
2015-03-26,2036,378,263,355,258,,288,,203,241,,240,,221,175,,231,,229,177,175,
2015-03-27,2055,383,261,345,253,,285,180,196,236,,252,,229,180,,225,,248,184,,
2015-03-28,2042,377,255,352,242,,274,185,202,225,177,251,,224,177,,213,,248,,,
2015-03-29,2062,392,264,364,248,,267,192,212,236,188,250,,221,188,,205,,239,,,
2015-03-30,2030,381,260,366,240,,267,192,204,233,185,237,,217,185,,202,,228,,,
2015-03-31,2029,368,271,362,241,,263,190,201,229,188,247,,225,188,,190,,236,,,
2015-04-01,41,,,,,,,,,,,,,,,,,,,,,
2015-04-02,2062,399,289,378,237,,270,183,197,254,189,239,,242,183,,210,,223,,,
2015-04-03,2065,398,293,376,244,,274,184,210,261,193,255,,252,184,,221,,247,,,
2015-04-04,2072,390,292,367,240,,272,179,208,258,191,256,,245,179,,226,,238,,,
2015-04-05,2078,400,305,385,251,,276,182,209,259,195,243,,239,182,,225,,226,,,
2015-04-06,2053,403,305,373,254,,272,182,202,260,199,242,,236,182,,222,,221,,,
2015-04-07,2038,398,384,365,244,225,267,248,226,240,230,231,,,225,230,225,,,,,
2015-04-08,2044,402,476,359,231,272,261,311,292,250,295,245,249,,231,286,,,,,,
2015-04-09,2049,420,476,346,220,285,264,307,289,244,284,246,244,,220,286,,,,,,
2015-04-10,2068,442,477,348,220,288,270,310,293,244,285,243,243,,220,287,,,,,,
2015-04-11,2081,439,489,337,234,306,279,333,286,236,296,256,257,,234,282,,,,,,
2015-04-12,2069,437,489,337,,306,279,333,287,235,293,255,257,233,233,281,,,,,,
2015-04-13,2058,438,494,332,234,299,280,332,289,239,299,254,257,,234,284,,,,,,
2015-04-14,2064,407,494,329,281,293,298,326,304,235,292,251,278,,235,283,,,,,,
2015-04-15,2075,422,488,318,279,305,303,332,310,,289,235,284,,235,292,,235,,,,
2015-04-16,2131,431,472,331,281,282,290,334,306,240,273,240,276,,240,284,,,,,,
2015-04-17,2539,494,513,427,334,326,353,388,339,273,318,,294,,264,307,264,,,,,
2015-04-18,3618,761,671,651,659,443,537,472,455,459,422,,419,,418,418,426,,,,,
2015-04-19,4329,903,785,820,816,500,666,573,492,508,470,,508,,470,511,518,,,,,
2015-04-20,4328,915,788,797,800,496,661,575,489,464,462,,517,,462,507,508,,,,,
2015-04-21,2208,434,457,355,324,309,325,315,288,,288,,273,233,233,254,234,,,,,
2015-04-22,2139,426,440,345,309,320,312,290,283,,285,234,258,234,234,249,,,,,,
2015-04-23,2141,430,418,349,323,318,324,295,288,,297,249,262,254,246,246,,,,,,
2015-04-24,2122,407,421,337,324,316,314,296,299,,280,232,259,242,232,249,,,,,,
2015-04-25,2139,433,426,372,344,336,336,301,306,,290,306,250,281,249,249,,,,,,
2015-04-26,2121,426,417,375,340,320,338,285,309,,286,286,246,266,243,243,,,,,,
2015-04-27,2158,422,411,364,339,323,333,291,306,242,293,282,,258,242,248,,,,,,
2015-04-28,2172,419,412,351,325,340,335,287,299,241,285,283,,248,241,252,,,,,,
2015-04-29,2206,421,417,355,321,340,344,303,308,249,284,291,,249,249,252,,,,,,
2015-04-30,2225,423,427,358,313,349,347,303,313,251,277,291,,257,248,248,,,,,,
2015-05-01,2255,410,420,363,309,342,336,300,321,246,286,266,251,,240,240,,,,,,
2015-05-02,2235,429,436,369,310,344,328,309,320,251,288,273,259,248,248,,,,,,,
2015-05-03,2236,413,371,359,306,309,307,270,294,251,262,256,232,243,232,,,,,,,
2015-05-04,2287,427,364,356,320,316,301,299,293,259,257,250,247,239,239,,,,,,,
