date,Amsterdam,Utrecht,Rotterdam,"Almere Stad",Eindhoven,Nijmegen,"The Hague",Apeldoorn,Enschede,Tilburg,Groningen,Zwolle,"See More",Breda
2015-05-28,78,31,12,6,16,10,19,5,,,8,,5,5
2015-05-28,82,31,13,8,16,9,19,,,,8,,5,5
2015-05-29,87,31,13,8,14,9,19,5,,,8,,5,
2015-05-30,87,31,13,8,12,9,19,5,,,8,,5,
2015-05-31,86,30,13,8,12,9,18,5,,,8,,5,
2015-06-01,88,34,15,10,13,8,15,5,,,9,,5,
2015-06-02,90,33,16,11,12,8,15,6,,5,9,,5,
2015-06-03,92,34,15,12,12,8,14,5,,5,9,,5,5
2015-06-04,94,35,14,12,11,9,13,7,,7,10,,7,
2015-06-05,95,33,14,12,11,10,12,8,,7,10,,7,
2015-06-06,94,32,14,12,11,10,12,8,,7,9,,7,
2015-06-07,93,32,14,12,11,10,12,8,,7,9,,7,
2015-06-08,94,36,15,13,12,10,12,8,,7,9,,7,
2015-06-09,98,35,16,13,12,10,10,8,,7,9,,7,
2015-06-10,95,35,16,13,13,10,10,8,,7,9,,7,
2015-06-11,97,35,16,14,14,10,9,8,,8,9,,8,
2015-06-12,96,37,15,14,12,11,10,9,,8,9,,8,
2015-06-13,93,37,15,14,12,11,9,9,,8,9,,8,
2015-06-14,93,38,13,14,12,11,9,9,,8,9,,8,
2015-06-15,94,39,14,14,14,10,9,10,,8,9,,8,
2015-06-16,94,37,15,14,15,10,8,9,,8,9,,8,
2015-06-17,90,37,15,14,15,11,8,8,,9,9,,8,
2015-06-18,87,38,15,13,15,12,10,9,,10,9,,9,
2015-06-19,90,39,14,13,15,12,11,9,,11,9,,9,
2015-06-20,89,38,11,13,15,11,10,9,,11,9,,9,
2015-06-21,88,38,10,12,15,11,10,9,,11,9,,9,
2015-06-22,85,41,12,12,17,10,10,9,,10,10,,9,
2015-06-23,92,44,14,12,17,9,10,9,,10,10,,9,
2015-06-24,90,43,15,15,17,9,10,9,,11,9,,9,
2015-06-25,90,42,16,15,17,12,10,9,,11,9,,9,
2015-06-26,92,54,25,18,18,16,13,12,12,11,9,9,9,
