date,Cracow,Warsaw,Wroclaw,Poznan
2015-05-28,20,,,5
2015-05-29,21,,,5
2015-05-30,21,,,5
2015-05-31,21,,,5
2015-06-01,21,,5,5
2015-06-02,21,,5,5
2015-06-03,25,,5,5
2015-06-04,25,,5,
2015-06-05,23,,5,
2015-06-06,19,,5,
2015-06-07,19,,5,
2015-06-08,20,,5,
2015-06-09,26,5,5,
2015-06-10,25,6,6,
2015-06-11,26,6,5,
2015-06-12,31,6,5,
2015-06-13,30,6,,
2015-06-14,30,6,,
2015-06-15,30,6,,
2015-06-16,31,6,,
2015-06-17,28,6,,
2015-06-18,27,6,,
2015-06-19,28,6,,
2015-06-20,28,6,,
2015-06-21,28,6,,
2015-06-22,29,6,,
