date,Atos,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai",Elsevier,Teradata,IBM,Splunk,"Rackspace, the #1 managed cloud company",Hays,Xcede,"IS Recruitment Ltd",Microsoft,Cisco,"Think Big, a Teradata Company","Expedia, Inc.",MuleSoft,"See More","TIBCO Software Inc.",Vodafone,"Medidata Solutions","British Gas","BAE Systems Applied Intelligence",Excelian,BlueGlue,"Talent International","CD IT Recruitment","Schneider Electric","Confidential Company - Undisclosed",GfK,Qubit.,Adobe,"Berico Technologies",Quantcast,"Transport for London",CenturyLink,"Altius: Understand | Model | Predict",DataSift,FICO™,"FICO™ | Decisions","Global {M}",FICO,Cloudera,"Cambridge Life Sciences Associates, LLC",mployability,"Digital Gurus | Digital Recruitment - Global","IC Resources","Saatchi &amp; Saatchi Synergize","Seagate Technology","Digital Gurus | Digital Recruitment London, Sydney &amp; Dubai","Rubicon Project","Thomson Reuters","Xpat Jobs.com","Job Board Enterprises BV",CareerBuilder.com,"Pivotal Software, Inc.",Sky,"KP Recruiting Group"
2015-03-11,,,24,26,11,,20,,15,,11,27,,13,,11,,,,,,,,,,16,,,14,17,,,,,,15,,,,23,,,,,,17,,36,,,,,,,,
2015-03-12,,,24,26,13,,21,,15,,,26,,12,,12,,,,,,,,,,30,,,14,17,,,,,,14,,,,21,,,,,,17,,34,,,,,,,,56
2015-03-16,,,25,34,15,,12,,15,,11,20,,18,,11,,,,,,,,11,,28,,,14,19,,,,,,16,,,,23,,,,,,,,36,,,,,,,,
2015-03-18,,,21,32,15,,16,,15,,11,20,,18,,11,,,,,,,,,,29,,,15,24,,,,,,16,,,,24,,,,,,,,37,,,14,,,,,
2015-03-18,,,21,32,15,,16,,14,,11,20,,18,,11,,,,,,,,,,29,,,15,25,,,,,,16,,,,24,,,,,,,,38,,,14,,,,,
2015-03-19,,,20,39,15,,26,,13,,,21,,17,,13,,,,,,,,,,31,,,15,24,,,,,,16,,,,24,,,,,,16,,38,,,13,,,,,
2015-03-20,,,20,39,15,,26,,13,,,23,,17,,13,,,,,,,,,,31,,,15,24,,,,,,16,,,,24,,,,,,17,,37,,,13,,,,,
2015-03-21,,,20,39,15,,26,,13,,,31,,17,,13,,,,,,,,,,31,,,15,24,,,,,,16,,,,24,,,,,,17,,37,,,13,,,,,
2015-03-22,,,20,39,15,,26,,13,,,31,,17,,13,,,,,,,,,,31,,,15,24,,,,,,16,,,,24,,,,,,17,,37,,,13,,,,,
2015-03-23,,,20,38,15,,29,,13,,,32,,17,,11,,,,,,,,,,28,,,15,21,,,,,,17,,,,24,,,,,,18,,36,11,,,,,,,
2015-03-24,,,19,37,15,,30,,13,,,42,,17,,12,,,,,,,,,,28,,,15,21,,,,,,18,,,,24,,,,,,12,,36,,,,,,,12,
2015-03-25,,,18,37,15,,31,,13,,,39,,16,,12,,,,,,,,,,28,,,15,20,,,,,,19,,,,25,,,,,,12,,37,,,,,,,13,
2015-03-26,,,22,37,14,,30,,13,,,39,,16,,13,,,,,,,,,,33,,,15,19,,,,,,21,,,,25,,,,,,18,,37,,,,,,,13,
2015-03-27,,,23,37,14,,27,,13,,,38,,16,,12,,,,,,,,,,33,,,15,19,,,,,,21,,,,26,,,,,,16,,38,12,,,,,,,
2015-03-28,,,24,38,15,,29,,15,,,41,,16,,12,,,,,,,,,,33,,,16,20,,,,,,21,,,,26,,,,,,,,38,,12,,,,,13,
2015-03-29,,,24,39,15,,29,,15,,,42,,16,,12,,,,,,,,,,33,,,16,20,,,,,,21,,,,26,,,,,,,,38,,12,,,,,13,
2015-03-30,,,24,41,15,,28,,15,,,45,,16,,12,,,,,,,,,,33,,,16,18,,,,,,21,,,,26,,,,,,,,38,,12,,,,,12,
2015-03-31,,,24,41,15,,28,,16,,,45,,16,,11,,,,,,,,,,33,,,16,22,,,,,,21,,,,26,,,,,,,,38,12,11,,,,,,
2015-04-01,,,24,41,15,,26,,16,,,48,,17,,11,,,,,,,,,,33,,,16,20,,,,,,21,,,,27,,,,,,,,39,12,11,,,,,,
2015-04-02,,,22,41,17,,22,,15,,,49,,17,,12,,,,,,,,,,35,,,16,19,,,,,,20,,,,24,,,,,,,,37,12,,,,,12,,
2015-04-03,,,21,39,17,,22,,15,,,50,,17,,11,,,,,,,,,,34,,,16,18,,,,,,21,,,,26,,,,,,,11,36,12,,,,,,,
2015-04-04,,,21,40,17,,23,,15,,,51,,17,,12,,,,,,,,,,33,,,16,18,,,,,,21,,,,26,,,,,,,,36,12,17,,,,,,
2015-04-05,,,22,40,17,,23,,15,,,50,,17,,13,,,,,,,,,,32,,,16,19,,,,,,21,,,,26,,,,,,,,36,,17,,,,13,,
2015-04-06,,,20,40,17,,23,,15,,,50,,17,,13,,,,,,,,,,32,,,16,19,,,,,,21,,,,26,,,,,,,,36,,17,,,,13,,
2015-04-07,,,60,40,17,,23,,15,,,51,,17,,13,,,,,,,,,,32,,,16,19,,,,,,21,,,,26,,,,,,,,36,,17,,,,13,,
2015-04-08,,,25,39,19,,23,,15,,,52,,17,,14,,,,,,,,,,35,,,16,19,,,,,,21,,,,26,,,,,,,,38,,17,,,,14,,
2015-04-09,,,24,37,18,,23,,15,,,48,,17,,14,,,,,,,,,,36,,,16,19,,,,,,21,,,,28,,,,,,,,40,,17,,,,14,,
2015-04-10,,,24,37,19,,23,,15,,,49,,16,,14,,,,,,,,,,35,,,16,19,,,,,,21,,,,28,,,,,,,,40,,17,,,,14,,
