date,"Randstad Technologies",Cisco,"Nokia Networks"
2015-05-28,,,6
2015-05-29,,,6
2015-05-30,,,6
2015-05-31,,,6
2015-06-01,,,6
2015-06-02,9,,6
2015-06-03,8,,6
2015-06-04,9,7,6
2015-06-05,9,7,6
2015-06-06,8,7,6
2015-06-07,9,7,6
2015-06-08,8,7,6
2015-06-09,8,7,6
2015-06-10,9,5,6
2015-06-11,9,5,6
2015-06-12,9,5,6
2015-06-13,12,5,6
2015-06-14,12,5,6
2015-06-15,11,5,6
2015-06-16,10,5,6
2015-06-17,11,5,5
2015-06-18,12,5,5
2015-06-19,12,5,5
2015-06-20,12,5,5
2015-06-21,12,5,5
2015-06-22,12,5,5
2015-06-23,12,5,5
