date,"data science","big data","open data"
2015-03-11,145,969,23
2015-03-12,147,1030,24
2015-03-16,153,995,20
2015-03-18,166,1033,19
2015-03-18,163,1028,18
2015-03-19,170,1041,18
2015-03-20,168,1037,18
2015-03-21,162,1037,18
2015-03-22,162,1034,18
2015-03-23,163,1035,18
2015-03-24,173,1048,18
2015-03-25,170,1033,17
2015-03-26,173,1042,18
2015-03-27,171,1023,17
2015-03-28,172,1040,17
2015-03-29,173,1033,17
2015-03-30,172,1028,16
2015-03-31,175,1041,16
2015-04-01,182,1023,15
2015-04-02,182,1012,17
2015-04-03,183,1006,16
2015-04-04,188,1013,16
2015-04-05,186,1010,16
2015-04-06,187,1009,16
2015-04-07,195,1071,17
2015-04-08,201,1072,17
2015-04-09,202,1061,17
2015-04-10,206,1050,18
2015-04-11,209,1046,16
2015-04-12,207,1035,16
2015-04-13,205,1038,16
2015-04-14,203,1077,15
