date,Copenhagen,"Central Region","Southern Region"
2015-05-28,8,,
2015-05-29,8,,
2015-05-30,8,,
2015-05-31,8,,
2015-06-01,9,,
2015-06-02,9,,
2015-06-03,8,,
2015-06-04,7,,
2015-06-05,7,,
2015-06-06,7,,
2015-06-07,7,,
2015-06-08,7,,
2015-06-09,7,,
2015-06-10,7,,
2015-06-11,7,,
2015-06-12,8,,
2015-06-13,8,,
2015-06-14,8,,
2015-06-15,7,,
2015-06-16,7,,
2015-06-17,7,,
2015-06-18,7,,
2015-06-19,6,,
2015-06-20,6,,
2015-06-21,6,,
2015-06-22,6,,
2015-06-23,6,,
2015-06-24,6,,
2015-06-25,5,,
2015-06-26,5,,
2015-06-27,8,,
2015-06-28,11,,7
2015-06-29,12,,8
2015-06-30,13,,8
2015-07-01,13,,8
2015-07-02,14,,9
2015-07-03,14,,9
2015-07-04,14,,6
2015-07-05,14,,6
2015-07-07,18,,6
2015-07-08,19,,7
2015-07-09,21,,7
2015-07-10,21,,
2015-07-11,21,,
2015-07-12,20,,
2015-07-13,21,,
2015-07-14,21,,
2015-07-15,17,,
2015-07-16,22,,
2015-07-17,19,,
2015-07-18,19,,
2015-07-19,19,,
2015-07-20,20,,
2015-07-21,20,,
2015-07-22,20,5,
