date,Paris,Grenoble,Marseille,Nice,Limoges,Lille,Lyon,Toulouse,Rennes,Troyes,Bordeaux,Nantes,Montpellier,Strasbourg,"See More",Orléans,"La Rochelle",Rouen,Poitou-Charentes,Brive-La-Gaillarde,Reims
2015-05-27,271,109,,11,40,16,16,18,11,17,,13,,,8,,14,,15,10,8
2015-05-27,264,107,,12,38,18,17,17,11,17,,14,,,8,,14,,15,10,8
2015-05-28,266,107,,12,38,18,17,17,11,17,,15,,,8,,14,,15,10,8
2015-05-28,266,107,,12,38,18,17,17,11,17,,15,,,8,,14,,15,10,8
2015-05-29,275,111,,13,37,17,18,18,11,19,,13,,,8,,14,,15,11,8
2015-05-30,265,112,,14,38,17,16,18,11,20,,11,,,8,,15,,15,10,8
2015-05-31,265,112,,14,38,17,16,18,12,19,,11,,,8,,15,,15,10,8
2015-06-01,278,111,,16,38,14,16,18,13,20,,11,,,8,,15,,15,10,8
2015-06-02,288,111,7,16,,16,15,18,14,,7,11,7,,5,5,15,,,,
2015-06-03,292,111,9,14,38,20,20,17,14,19,,12,,,9,,14,,15,11,
2015-06-04,412,131,46,47,39,35,21,22,12,20,14,15,13,,12,,16,,,,
2015-06-05,411,131,46,46,39,32,20,23,12,20,15,12,13,,12,,16,,,,
2015-06-06,410,125,49,46,39,33,21,24,12,21,14,12,13,,12,,16,,,,
2015-06-07,406,125,49,46,39,34,21,24,12,20,14,12,13,,12,,16,,,,
2015-06-08,407,125,49,45,39,32,21,24,12,21,14,12,13,,12,,15,,,,
2015-06-09,292,108,12,12,,17,22,20,12,,8,13,8,,5,5,15,9,,,
2015-06-10,412,126,48,45,40,31,20,25,13,21,16,14,12,,12,,17,,,,
2015-06-11,404,127,50,49,41,32,23,25,14,20,16,12,12,,12,,15,,,,
2015-06-12,409,127,50,49,,32,23,25,14,,15,12,12,,5,5,,9,,,
2015-06-13,396,126,51,50,39,32,24,26,14,21,15,,13,13,13,,15,,,,
2015-06-14,401,126,50,50,,32,23,27,14,,15,12,13,,5,5,15,,,,
2015-06-15,404,127,51,50,39,32,25,25,13,20,16,14,13,,13,,15,,,,
2015-06-16,428,123,51,49,,31,27,24,13,,16,15,13,,5,5,13,,,,
2015-06-17,431,123,52,48,34,31,26,25,13,19,16,16,13,13,13,,,,,,
2015-06-18,438,125,52,44,,30,24,26,15,,14,16,13,,12,,12,,,,
2015-06-19,442,123,52,46,36,30,26,30,15,17,14,17,12,13,12,,,,,,
2015-06-20,443,124,52,46,36,30,26,30,15,17,14,17,12,13,12,,,,,,
2015-06-21,429,124,52,45,,31,24,27,20,,13,15,12,,12,,,,,,
2015-06-22,440,125,52,44,36,31,25,30,18,17,14,18,12,13,12,,,,,,
2015-06-23,440,124,52,44,,31,23,26,19,,13,15,12,,5,5,,,,,
2015-06-24,447,124,52,44,,30,24,25,18,,14,15,13,,5,5,,,,,
2015-06-25,447,120,51,43,34,30,26,25,18,15,14,14,13,13,13,,,,,,
2015-06-26,451,121,52,44,32,30,27,25,18,15,14,14,13,13,13,,,,,,
