date,London,Reading,Twickenham,Slough,Southall,Cambridge,Edinburgh,Birmingham,Brighton,Bristol,Belfast,Oxford,Manchester,Guildford,"See More",Warrington,Portsmouth,Shrewsbury,"Kingston upon Thames",Swindon,"Milton Keynes",Nottingham,Stevenage,Northampton,Glasgow,Coventry
2015-03-11,547,51,28,34,24,16,12,12,9,10,,23,13,,9,,,10,,,,,,,13,
2015-03-12,549,52,30,34,24,17,13,13,12,12,,24,14,,12,,,12,,,,,,,14,
2015-03-16,574,45,33,38,16,15,9,11,13,,,25,11,8,8,,,,,,,,,,13,10
2015-03-18,606,39,34,44,19,18,10,12,12,8,,22,11,9,8,,,,,,,,,,11,
2015-03-18,603,40,34,45,19,18,10,12,11,,,22,11,9,8,,,,,,,,,,11,8
2015-03-19,609,42,34,40,28,18,11,12,10,,,20,8,,7,,,10,,,,,,,11,7
2015-03-20,609,41,34,41,26,16,11,12,10,,,20,8,,7,,,10,,,,,,,11,7
2015-03-21,607,47,32,41,26,15,11,12,10,,,20,8,,7,,,10,,,,,,,11,7
2015-03-22,603,48,32,41,26,15,11,12,10,,,20,8,,7,,,10,,,,,,,11,7
2015-03-23,607,50,34,40,27,15,11,12,9,,,20,8,,8,,,10,8,,,,,,11,
2015-03-24,618,46,42,38,28,14,10,13,9,,,20,10,,9,,9,10,,,,,,,11,
2015-03-25,610,49,40,34,30,14,9,14,9,,,17,10,,9,,10,10,,,,,,,11,
2015-03-26,605,51,40,40,29,13,9,15,10,,,20,9,,9,,10,10,,,,,,,12,
2015-03-27,598,49,39,37,27,11,8,15,10,,,20,,,8,,10,10,9,,,,,,11,
2015-03-28,605,49,40,39,29,13,,15,10,,,21,9,,9,,10,11,,9,,,,,13,
2015-03-29,594,50,40,39,29,13,,15,10,,,21,9,,9,,10,12,,9,,,,,13,
2015-03-30,593,51,41,35,27,12,,15,10,,,21,9,,9,,10,13,,10,,,,,12,
2015-03-31,600,49,42,39,26,12,,15,10,,,20,10,,10,,10,13,,10,,,,,13,
2015-04-01,591,51,43,36,26,12,,14,8,,,20,10,,8,,10,13,,10,,,,,12,
2015-04-02,586,50,48,32,22,12,,12,8,,,17,11,,8,,10,13,,10,,,,,12,
2015-04-03,591,48,48,30,22,11,,11,8,,,17,12,,8,,10,12,,10,,,,,10,
2015-04-04,600,48,49,30,23,11,,11,8,,,17,12,,8,,10,12,,10,,,,,10,
2015-04-05,603,47,49,31,23,11,8,10,9,,,16,11,,8,,10,12,,8,,,,,,
2015-04-06,594,49,48,32,23,11,9,9,9,,,16,11,,8,,10,12,,8,,,,,,
2015-04-07,599,48,49,32,23,14,,,10,,,16,11,,10,,10,12,,,21,,14,10,,
2015-04-08,608,47,54,33,23,20,,9,10,,,16,10,9,9,,9,12,,,12,,,,,
2015-04-09,609,44,49,33,22,19,9,12,11,,,18,11,9,9,,,12,,,10,,,,,
2015-04-10,596,43,50,34,22,19,10,11,11,,,18,10,8,8,,,12,,,10,,,,,
2015-04-11,601,41,48,33,23,18,10,12,11,,,17,12,9,8,,,12,,,8,,,,,
