date,Quantcast,Microsoft,EY,Amazon,"Amazon UK","VocalIQ Limited.",Google,Teradata,"The Hut Group","See More",mployability,"Experis IT",OpenDNS,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,Thales,"Functional Works"
2015-03-11,,6,,14,7,7,6,,,5,,,5,,,,,,
2015-03-12,,6,,12,7,7,6,,,5,,,5,,,,,,
2015-03-16,,6,,17,8,7,6,,,5,,,5,,,,,5,
2015-03-18,,6,,17,8,7,6,,,5,,,6,,,,,5,
2015-03-18,,6,,16,8,7,6,,,5,,,6,,,,,5,
2015-03-19,,6,,16,8,7,6,5,,5,,,6,,,,,5,
2015-03-20,,,,17,8,7,6,5,,5,,,6,,,,,5,
2015-03-21,,,,16,8,7,6,5,,5,,,6,,,,,5,
2015-03-22,,,,16,8,7,6,5,,5,,,6,,,,,5,
2015-03-23,,7,,13,8,7,6,5,,5,,,6,,,,,5,5
2015-03-24,,7,,14,8,7,6,5,,5,,,7,,,,,5,5
2015-03-25,,7,,14,9,6,6,5,,5,,,7,,,,,5,
2015-03-26,,7,,17,8,6,6,5,,5,,,9,,,,,5,
2015-03-27,,7,,16,8,7,6,5,,5,,,9,,,,,5,
2015-03-28,,7,,15,8,7,6,5,,5,,,8,,,,,5,
2015-03-29,,7,,15,9,7,6,5,,5,,,8,,,,,5,
2015-03-31,,7,,16,9,7,6,5,,5,,,8,,,,,,
2015-04-01,,7,,16,9,7,6,5,,5,,,8,,,,,,
2015-04-02,,6,,8,9,7,6,5,,5,,,8,,,,,,
2015-04-03,,6,,7,9,7,6,5,,5,,,7,,,,,,
2015-04-04,,6,,7,9,7,6,5,,5,,,7,,,,,,
2015-04-05,,6,,7,9,6,6,5,,5,,,7,,,,,,
2015-04-06,,6,,9,9,5,6,5,,5,,,7,,,,,,
2015-04-07,,6,,10,9,5,6,5,,5,,,7,,,,,,
2015-04-08,,6,,8,7,5,6,5,,5,6,,7,,,,,,
2015-04-09,,6,6,7,7,5,6,5,,5,6,,6,,,,,,
2015-04-10,,,6,9,7,5,6,5,,5,6,,6,,,,,,
2015-04-11,,,6,9,7,5,6,5,,5,6,,6,,,,,,
2015-04-12,,,6,9,7,5,6,5,,5,6,,6,,,,,,
2015-04-13,,6,6,8,7,5,6,5,,5,6,,6,,,,,,
2015-04-14,,6,6,7,7,5,6,5,,5,21,,5,,,,,,
2015-04-15,,6,6,8,7,5,6,5,,5,21,,7,,,,,,
2015-04-16,,7,6,7,7,5,6,5,,5,19,5,7,,,,,,
2015-04-17,,7,6,9,7,5,6,5,,5,19,5,7,,,,,,
2015-04-18,,7,6,8,6,5,6,5,,5,19,5,7,30,,,,,
2015-04-19,,7,6,8,6,5,6,5,,5,17,5,7,53,5,,5,,
2015-04-20,,6,6,6,6,5,6,5,,5,17,5,7,45,6,5,5,,
2015-04-21,,6,6,5,6,5,6,5,,5,18,5,7,,,,,,
2015-04-22,,7,6,5,7,5,6,5,,5,18,5,7,,,,,,
2015-04-23,,7,6,5,7,5,6,5,,5,18,5,7,,,,,,
2015-04-24,,5,7,5,7,6,6,5,,5,19,5,7,,,,,,
2015-04-25,13,5,7,5,7,6,6,5,,5,20,5,6,,,,,,
2015-04-26,13,5,7,6,7,6,6,5,,5,20,5,6,,,,,,
2015-04-27,13,6,7,,7,6,6,5,,5,20,5,6,,,,,,
2015-04-28,18,6,6,,7,6,6,5,,5,20,5,,,,,,,
2015-04-29,18,6,6,5,7,6,6,5,,5,20,,,,,,,,
2015-04-30,16,5,6,5,6,6,6,5,5,5,20,,,,,,,,
2015-05-01,15,6,6,5,6,6,6,5,5,5,20,,,,,,,,
2015-05-02,15,6,6,5,6,6,6,5,5,5,20,,,,,,,,
2015-05-03,15,6,6,5,6,6,5,5,5,5,11,,,,,,,,
2015-05-04,15,6,6,6,6,6,5,5,5,5,,,,,,,,,
