date,StaffNurse.com,"1st CENTRAL",Amazon,"Amazon UK","The Weir Group PLC","4C Associates","Healthcare at Home","Tata Motors",Sitel,Capita,Mercer,"Michael Page",ARM,"The Body Shop","QA Apprenticeships","See More","Trac Systems Ltd","NHS Institute for Innovation and Improvement",SGS,upsell,HSBC,Cognizant,"JPMorgan Chase &amp; Co.",EY,Siemens,"Transport for London","Nuance Communications"
2015-03-11,105,,15,12,12,,,,,,,5,,,5,5,,,11,,,5,,5,,6,5
2015-03-12,97,,7,12,12,,,,,,,5,,,5,5,13,,11,,,5,,5,,7,5
2015-03-16,111,,18,12,13,,,,,,,5,,,5,5,12,,18,,34,5,6,5,,7,
2015-03-18,113,,18,12,13,,,,,,,5,,,5,5,16,,15,,30,5,6,5,,7,
2015-03-18,123,,14,12,13,,,,,,5,5,,,5,5,9,,15,,30,5,6,5,,7,
2015-03-19,120,,19,14,13,,,,,,5,5,,,5,5,9,,14,,28,5,6,5,,7,
2015-03-20,134,,17,14,13,,,,,,5,5,,,5,5,11,,13,,28,5,6,5,,7,
2015-03-21,134,,19,14,13,,,,,,5,5,,,5,5,11,,13,,28,5,6,5,,7,
2015-03-22,134,,17,14,13,,,,,,5,5,,,5,5,11,,13,,28,5,6,5,,7,
2015-03-23,134,,11,14,13,,,,,,5,5,,,5,5,11,,13,,28,5,5,5,,7,
2015-03-24,119,,14,14,14,,,,,,5,6,,,5,5,5,,9,,30,5,6,5,5,,
2015-03-25,119,,14,14,14,,,,,,,6,,,5,5,5,,10,,30,5,6,5,,,
2015-03-26,123,,13,13,14,,,,,,,6,,,5,5,8,,9,,30,5,6,5,5,,
2015-03-27,124,,9,13,14,,,,,,,6,5,,5,5,7,,8,,30,5,6,,,,
2015-03-28,128,,9,13,14,,,,,,,6,5,,5,5,5,,8,,31,5,7,,,,
2015-03-29,133,,13,13,14,,,,,,5,6,5,,5,5,5,,8,,31,5,7,5,,,
2015-03-30,139,,16,13,14,,,,,,5,6,5,,5,5,5,,8,,31,5,7,5,,,
2015-03-31,139,,10,12,15,,,,,,5,6,5,,5,5,5,,7,,31,5,7,5,,,
2015-04-01,127,,10,12,15,,9,,,,5,6,5,,5,5,10,,6,,31,5,,,,,
2015-04-02,127,,12,11,14,,9,,,,5,6,5,,5,5,8,,6,,10,5,,,,,
2015-04-03,137,,9,11,14,5,9,,,,5,6,5,,5,5,9,,6,,10,,,,,,
2015-04-04,137,,11,11,14,5,9,,,,5,6,5,,5,5,9,,6,,,,,,,,
2015-04-05,117,,11,10,14,5,9,,,,5,6,5,,5,5,10,,6,,,,,,,,
2015-04-06,124,,19,10,14,8,9,,,,5,6,5,,5,5,8,,6,,,,,,,,
2015-04-07,126,18,20,11,12,8,9,,,6,5,6,5,,5,5,9,,6,,,,,,,,
2015-04-08,121,18,14,11,12,8,10,,,6,6,6,5,,5,5,8,,6,5,,,,,,,
2015-04-09,121,18,11,13,12,8,8,,,6,6,6,5,,5,5,9,,6,5,,,,,,,
2015-04-10,121,18,18,13,12,8,8,,,6,6,6,5,5,,5,9,,6,5,,,,,,,
2015-04-11,123,18,19,13,10,8,8,,,6,6,,5,5,,5,10,6,6,5,,,,,,,
2015-04-12,123,18,18,13,10,8,8,,,6,6,,5,5,,5,10,6,6,5,,,,,,,
2015-04-13,123,18,14,13,10,8,8,,,6,6,,5,5,,5,10,6,5,5,,,,,,,
2015-04-14,133,18,14,14,10,8,8,7,6,6,5,5,5,5,5,5,,,,,,,,,,,
