date,Munich,Stuttgart,"Frankfurt Am Main",Cologne,Berlin,Hamburg,Leipzig,Hannover,Dresden,Nürnberg,Bielefeld,Mannheim,Kassel,Neumünster,"See More",Freiburg,Braunschweig,Dortmund,Erfurt,Bremen
2015-05-27,753,550,617,654,405,398,102,137,,146,172,80,,,69,,91,75,69,
2015-05-27,733,569,614,641,389,378,95,133,,142,169,78,,,68,,87,74,68,
2015-05-28,735,567,603,638,390,368,93,129,,136,165,77,,,67,,87,74,67,
2015-05-28,748,575,602,661,396,374,93,127,,138,166,78,,,67,,87,74,67,
2015-05-29,758,620,628,682,491,380,99,108,,144,164,79,,,72,,98,72,72,
2015-05-30,763,643,662,668,494,379,107,115,69,149,165,82,,,69,,94,74,,
2015-05-31,762,643,658,667,488,382,95,130,,155,167,81,,,67,,98,73,67,
2015-06-01,784,652,681,684,504,391,91,132,,153,168,85,,,69,,98,79,69,
2015-06-02,756,635,662,678,484,376,92,,,146,163,81,,26,26,,97,76,,60
2015-06-03,810,678,691,696,491,385,236,139,175,166,184,,,,82,,110,82,,109
2015-06-04,771,684,687,659,456,368,242,146,167,173,191,76,,,76,,106,,,109
2015-06-05,727,664,643,651,377,346,241,125,169,163,184,75,,,75,,101,,,107
2015-06-06,744,684,665,656,397,363,241,138,173,168,186,78,,,78,,104,,,108
2015-06-07,734,654,654,604,397,345,237,139,170,169,176,78,,,78,,99,,,103
2015-06-08,736,631,654,606,396,338,232,145,168,169,172,74,,,74,,97,,,104
2015-06-09,794,628,690,644,500,372,247,154,174,191,164,,,,78,,80,78,,107
2015-06-10,762,624,704,654,487,382,245,,173,173,162,78,,29,29,,79,,,105
2015-06-11,841,712,724,712,560,423,251,181,178,193,170,105,,,104,,104,,,112
2015-06-12,846,669,717,709,555,410,256,,179,200,166,102,,29,29,,,,,112
2015-06-13,812,662,693,658,493,399,145,171,,189,143,97,,,68,,94,72,68,
2015-06-14,819,681,705,690,495,401,133,,63,185,137,96,,29,29,,88,,,60
2015-06-15,818,682,698,677,492,402,133,168,,184,135,95,,,69,,92,74,69,
2015-06-16,1012,703,710,683,471,390,132,171,63,184,133,97,,31,31,,,,,59
2015-06-17,995,675,681,675,456,380,134,155,67,174,131,98,,31,31,,,,,60
2015-06-18,961,685,680,613,382,370,127,162,65,168,127,96,,,65,,85,,65,
2015-06-19,977,655,674,617,371,355,129,167,66,167,127,95,,31,31,43,,,,
2015-06-20,996,653,658,612,374,364,119,170,63,168,124,97,,,63,,87,63,,
2015-06-21,1050,696,691,654,449,360,249,186,184,183,150,100,,31,31,48,,,,
2015-06-22,1056,693,675,631,449,364,249,190,183,182,150,98,45,32,32,,,,,
