date,Rotterdam,Amsterdam,Utrecht,"The Hague",Apeldoorn,Nijmegen,Eindhoven,Zwolle,"Almere Stad",Enschede,Tilburg,Groningen,Breda,Maastricht,"See More"
2015-05-28,106,196,108,86,28,41,62,13,13,21,22,17,8,6,6
2015-05-28,101,197,107,86,29,40,62,14,13,24,24,17,8,6,6
2015-05-29,97,197,107,79,32,41,62,15,13,23,25,19,9,6,6
2015-05-30,96,196,99,77,32,40,62,15,13,23,25,18,9,6,6
2015-05-31,92,190,98,76,32,40,62,14,12,22,25,18,9,6,6
2015-06-01,93,194,99,76,35,38,59,14,11,22,29,20,10,6,6
2015-06-02,90,186,96,79,39,39,61,14,10,23,28,21,12,6,6
2015-06-03,88,188,95,83,37,44,63,16,11,22,31,23,12,5,5
2015-06-04,89,195,95,82,37,46,57,16,13,21,35,23,12,6,6
2015-06-05,84,183,97,83,39,46,56,14,14,21,35,23,12,5,5
2015-06-06,82,179,96,83,37,46,54,13,14,21,34,23,12,5,5
2015-06-07,81,178,93,82,37,45,54,13,14,20,34,23,12,5,5
2015-06-08,85,178,95,82,37,45,54,14,13,19,35,23,12,5,5
2015-06-09,88,171,105,86,39,45,53,14,13,19,38,26,13,6,6
2015-06-10,88,186,104,87,39,49,53,13,13,20,43,25,13,7,7
2015-06-11,91,183,127,85,36,47,51,16,13,19,42,25,12,8,8
2015-06-12,95,186,126,86,38,48,51,15,15,19,43,27,10,7,7
2015-06-13,95,186,126,85,38,48,48,15,15,19,43,29,10,7,7
2015-06-14,93,180,127,84,38,45,47,15,15,19,43,29,10,7,7
2015-06-15,93,181,130,81,40,45,53,14,15,22,43,29,11,7,7
2015-06-16,97,178,131,83,43,45,53,17,16,22,42,27,12,7,7
2015-06-17,96,187,123,85,41,47,54,18,15,21,38,27,13,7,7
2015-06-18,100,186,124,73,40,48,57,19,14,21,39,28,15,7,7
2015-06-19,80,184,118,76,32,50,55,21,13,22,38,27,18,8,8
2015-06-20,78,178,116,74,31,48,54,21,13,21,37,26,18,8,8
2015-06-21,75,174,114,75,31,46,52,21,13,19,36,26,18,7,7
2015-06-22,97,179,118,78,29,47,50,20,13,20,37,30,19,9,9
2015-06-23,94,181,120,88,30,43,50,20,15,19,37,31,18,9,9
2015-06-24,95,201,119,81,30,40,53,21,17,20,36,28,17,9,9
2015-06-25,100,195,118,85,27,47,53,25,16,13,35,30,17,9,9
2015-06-26,424,287,197,202,59,86,65,104,47,111,73,50,50,10,10
2015-06-27,634,544,359,322,126,168,154,158,128,148,123,106,91,26,26
2015-06-28,720,622,389,347,145,195,190,161,145,157,138,120,106,33,33
2015-06-29,790,712,460,427,154,220,241,179,178,179,162,137,120,38,38
2015-06-30,805,722,472,428,171,226,251,182,186,186,170,137,119,35,35
2015-07-01,813,737,481,430,172,222,248,181,187,185,163,126,116,34,34
2015-07-02,835,739,494,444,173,230,261,190,198,193,165,128,122,39,39
2015-07-03,822,738,479,434,171,222,257,186,170,187,167,126,113,35,35
2015-07-04,809,731,472,430,169,213,259,185,164,181,160,124,114,36,36
2015-07-05,804,731,470,424,166,220,257,180,164,176,161,121,118,38,38
2015-07-07,845,798,513,462,199,259,274,255,194,140,181,138,135,42,42
2015-07-08,844,776,528,455,235,289,264,261,195,172,193,134,141,42,42
2015-07-09,873,772,542,458,235,289,266,202,192,173,193,137,136,42,42
2015-07-10,885,781,546,459,239,297,263,206,199,173,188,139,133,41,41
2015-07-11,851,744,484,375,262,273,222,188,193,162,183,139,127,38,38
2015-07-12,825,731,473,367,258,269,223,186,186,162,180,136,127,38,38
2015-07-13,833,743,474,366,279,269,225,188,187,168,175,134,128,39,39
2015-07-14,850,777,526,417,277,292,257,198,204,190,179,143,132,47,47
2015-07-15,871,771,527,424,277,294,254,113,207,184,178,142,131,46,46
2015-07-16,889,798,550,447,291,301,257,172,200,190,169,143,134,48,48
2015-07-17,883,790,551,438,293,292,253,162,199,190,163,142,136,47,47
2015-07-18,881,773,540,424,271,264,256,160,189,169,173,141,132,48,48
2015-07-19,856,769,532,424,269,266,255,158,187,165,172,141,132,47,47
2015-07-20,832,754,508,427,264,256,248,222,175,168,159,140,127,45,45
