date,PwC,Bosch,Microsoft,GfK,"Deloitte Deutschland",Deloitte,Fraunhofer-Gesellschaft,BASF,Teradata,"Allianz Group","Deutsche Bahn","See More","AutoVision GmbH (Ein Unternehmen im Volkswagen Konzern)","Airbus Group",Continental,"Computer Futures, ein Geschäftszweig der SThree GmbH"
2015-05-27,61,9,11,,9,6,7,7,5,,,5,,5,,5
2015-05-27,61,9,11,,9,6,7,7,6,,,5,,5,,
2015-05-28,61,9,11,,9,6,7,,6,,,5,,5,,
2015-05-28,61,9,11,,9,6,7,,5,,,5,,5,,
2015-05-29,61,9,11,,9,6,7,,5,,,5,,5,,
2015-05-30,,,11,,9,,,,5,,,,,,,
2015-05-31,,,11,,9,,,,5,,,,,,,
2015-06-01,61,8,11,,9,8,6,,5,,,5,,5,,
2015-06-02,61,8,11,,9,8,6,,6,,,5,,5,,
2015-06-03,63,11,11,,9,9,6,,6,,,5,5,5,,
2015-06-04,63,11,11,,9,8,5,,6,6,,5,,5,5,
2015-06-05,63,11,11,6,9,8,5,,6,6,,5,,5,5,
2015-06-06,63,11,11,6,9,9,5,,6,6,,5,,5,5,
2015-06-07,,,11,,9,,,,6,,,,,,,
2015-06-08,64,11,11,6,9,6,5,,6,6,,5,6,5,5,
2015-06-09,,,12,,9,,,,6,,,,,,,
2015-06-10,64,11,12,6,9,7,5,,6,6,,5,6,5,5,
2015-06-11,,,12,,9,,,,6,,,,,,,
2015-06-12,,,12,,9,,,,6,,,,,,,
2015-06-13,,,12,,9,,,,6,,,,,,,
2015-06-14,,,12,,9,,,,6,,,,,,,
2015-06-15,61,13,12,7,9,7,6,,6,,,5,7,5,,
2015-06-16,59,13,17,7,6,8,6,,6,5,,5,7,5,,
2015-06-17,60,13,17,8,8,8,6,,6,6,,5,7,5,,
2015-06-18,,,17,,8,,,,6,,,,,,,
2015-06-19,60,11,17,6,8,9,6,,6,5,,5,8,,,
2015-06-20,,,17,,8,,,,6,,,,,,,
2015-06-21,,,17,,8,,,,6,,,,,,,
2015-06-22,,,17,,8,,,,6,,,,,,,
2015-06-23,60,9,17,7,8,8,7,6,6,5,,5,7,,,
2015-06-24,61,10,17,8,8,8,7,6,6,5,,5,7,,,
2015-06-25,61,10,17,8,8,7,7,6,6,5,,5,7,,,
2015-06-26,,,17,,8,,,,6,,,,,,,
2015-06-27,,,17,,8,,,,6,,,,,,,
2015-06-28,,,17,,8,,,,6,,,,,,,
2015-06-29,61,10,17,8,7,7,7,6,6,5,5,5,,,,
2015-06-30,61,10,9,8,8,7,7,6,5,5,5,5,,,,
